Vtes01       Ites01       Rtes01       Ptes01       Ptot01       Vtes02       Ites02       Rtes02       Ptes02       Ptot02       Vtes03       Ites03       Rtes03       Ptes03       Ptot03       Vtes04       Ites04       Rtes04       Ptes04       Ptot04       Vtes05       Ites05       Rtes05       Ptes05       Ptot05       Vtes06       Ites06       Rtes06       Ptes06       Ptot06       Vtes07       Ites07       Rtes07       Ptes07       Ptot07       Vtes08       Ites08       Rtes08       Ptes08       Ptot08       Vtes09       Ites09       Rtes09       Ptes09       Ptot09       Vtes10       Ites10       Rtes10       Ptes10       Ptot10       Vtes11       Ites11       Rtes11       Ptes11       Ptot11       Vtes12       Ites12       Rtes12       Ptes12       Ptot12       Vtes13       Ites13       Rtes13       Ptes13       Ptot13       Vtes14       Ites14       Rtes14       Ptes14       Ptot14       Vtes15       Ites15       Rtes15       Ptes15       Ptot15       
1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 6.652898e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 6.868059e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 7.093717e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 7.329870e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 7.576519e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 7.833664e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 8.101304e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 8.379440e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 8.668072e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 8.967199e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 9.276823e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 9.596941e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 9.927556e+02 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 1.026867e+03 1.402972e+00 3.245793e+02 4.322434e+00 4.553758e+02 1.062027e+03 
1.398585e+00 3.235862e+02 4.322140e+00 4.525629e+02 6.624769e+02 1.398586e+00 3.235772e+02 4.322265e+00 4.525506e+02 6.839808e+02 1.398586e+00 3.235798e+02 4.322229e+00 4.525542e+02 7.065501e+02 1.398587e+00 3.235705e+02 4.322357e+00 4.525416e+02 7.301529e+02 1.398587e+00 3.235741e+02 4.322307e+00 4.525465e+02 7.548227e+02 1.398588e+00 3.235639e+02 4.322449e+00 4.525327e+02 7.805233e+02 1.398586e+00 3.235766e+02 4.322274e+00 4.525498e+02 8.073044e+02 1.398587e+00 3.235729e+02 4.322324e+00 4.525449e+02 8.351132e+02 1.398587e+00 3.235725e+02 4.322329e+00 4.525444e+02 8.639758e+02 1.398586e+00 3.235774e+02 4.322263e+00 4.525509e+02 8.938951e+02 1.398588e+00 3.235683e+02 4.322388e+00 4.525386e+02 9.248451e+02 1.398588e+00 3.235633e+02 4.322458e+00 4.525318e+02 9.568502e+02 1.398587e+00 3.235717e+02 4.322341e+00 4.525433e+02 9.899231e+02 1.398586e+00 3.235818e+02 4.322201e+00 4.525569e+02 1.024048e+03 1.398587e+00 3.235721e+02 4.322335e+00 4.525438e+02 1.059195e+03 
1.394198e+00 3.225896e+02 4.321894e+00 4.497538e+02 6.596678e+02 1.394199e+00 3.225841e+02 4.321970e+00 4.497465e+02 6.811766e+02 1.394199e+00 3.225844e+02 4.321967e+00 4.497467e+02 7.037427e+02 1.394200e+00 3.225743e+02 4.322107e+00 4.497332e+02 7.273444e+02 1.394200e+00 3.225755e+02 4.322090e+00 4.497348e+02 7.520109e+02 1.394200e+00 3.225739e+02 4.322112e+00 4.497326e+02 7.777232e+02 1.394201e+00 3.225733e+02 4.322121e+00 4.497318e+02 8.044865e+02 1.394201e+00 3.225723e+02 4.322134e+00 4.497305e+02 8.322987e+02 1.394200e+00 3.225779e+02 4.322056e+00 4.497381e+02 8.611695e+02 1.394199e+00 3.225856e+02 4.321950e+00 4.497484e+02 8.910925e+02 1.394200e+00 3.225779e+02 4.322056e+00 4.497381e+02 9.220445e+02 1.394201e+00 3.225731e+02 4.322123e+00 4.497315e+02 9.540499e+02 1.394201e+00 3.225733e+02 4.322121e+00 4.497318e+02 9.871116e+02 1.394199e+00 3.225833e+02 4.321981e+00 4.497454e+02 1.021236e+03 1.394200e+00 3.225779e+02 4.322056e+00 4.497381e+02 1.056389e+03 
1.389809e+00 3.216042e+02 4.321490e+00 4.469686e+02 6.568826e+02 1.389811e+00 3.215962e+02 4.321602e+00 4.469578e+02 6.783880e+02 1.389812e+00 3.215853e+02 4.321753e+00 4.469432e+02 7.009391e+02 1.389813e+00 3.215792e+02 4.321838e+00 4.469351e+02 7.245463e+02 1.389811e+00 3.215907e+02 4.321678e+00 4.469505e+02 7.492266e+02 1.389813e+00 3.215833e+02 4.321781e+00 4.469405e+02 7.749311e+02 1.389813e+00 3.215790e+02 4.321840e+00 4.469348e+02 8.016894e+02 1.389812e+00 3.215887e+02 4.321706e+00 4.469478e+02 8.295160e+02 1.389813e+00 3.215821e+02 4.321798e+00 4.469389e+02 8.583703e+02 1.389812e+00 3.215845e+02 4.321765e+00 4.469421e+02 8.882863e+02 1.389813e+00 3.215788e+02 4.321843e+00 4.469345e+02 9.192410e+02 1.389813e+00 3.215782e+02 4.321852e+00 4.469337e+02 9.512521e+02 1.389813e+00 3.215811e+02 4.321812e+00 4.469375e+02 9.843173e+02 1.389811e+00 3.215923e+02 4.321655e+00 4.469526e+02 1.018443e+03 1.389814e+00 3.215768e+02 4.321871e+00 4.469318e+02 1.053583e+03 
1.385420e+00 3.206235e+02 4.321019e+00 4.441983e+02 6.541122e+02 1.385424e+00 3.205999e+02 4.321348e+00 4.441667e+02 6.755969e+02 1.385425e+00 3.205941e+02 4.321429e+00 4.441589e+02 6.981548e+02 1.385426e+00 3.205870e+02 4.321527e+00 4.441495e+02 7.217607e+02 1.385425e+00 3.205913e+02 4.321468e+00 4.441551e+02 7.464313e+02 1.385426e+00 3.205876e+02 4.321519e+00 4.441503e+02 7.721409e+02 1.385426e+00 3.205866e+02 4.321533e+00 4.441489e+02 7.989036e+02 1.385425e+00 3.205913e+02 4.321468e+00 4.441551e+02 8.267234e+02 1.385426e+00 3.205870e+02 4.321527e+00 4.441495e+02 8.555809e+02 1.385424e+00 3.205947e+02 4.321421e+00 4.441597e+02 8.855039e+02 1.385426e+00 3.205828e+02 4.321586e+00 4.441438e+02 9.164503e+02 1.385426e+00 3.205822e+02 4.321595e+00 4.441430e+02 9.484614e+02 1.385426e+00 3.205860e+02 4.321541e+00 4.441481e+02 9.815279e+02 1.385425e+00 3.205931e+02 4.321443e+00 4.441576e+02 1.015648e+03 1.385426e+00 3.205830e+02 4.321584e+00 4.441441e+02 1.050796e+03 
1.381033e+00 3.196303e+02 4.320719e+00 4.414199e+02 6.513339e+02 1.381037e+00 3.196023e+02 4.321111e+00 4.413825e+02 6.728127e+02 1.381037e+00 3.196007e+02 4.321134e+00 4.413804e+02 6.953763e+02 1.381040e+00 3.195839e+02 4.321368e+00 4.413581e+02 7.189693e+02 1.381039e+00 3.195898e+02 4.321286e+00 4.413659e+02 7.436420e+02 1.381040e+00 3.195799e+02 4.321424e+00 4.413527e+02 7.693433e+02 1.381041e+00 3.195749e+02 4.321495e+00 4.413460e+02 7.961006e+02 1.381039e+00 3.195896e+02 4.321289e+00 4.413656e+02 8.239338e+02 1.381040e+00 3.195811e+02 4.321407e+00 4.413543e+02 8.527857e+02 1.381040e+00 3.195821e+02 4.321393e+00 4.413556e+02 8.826998e+02 1.381040e+00 3.195833e+02 4.321376e+00 4.413573e+02 9.136637e+02 1.381041e+00 3.195722e+02 4.321531e+00 4.413425e+02 9.456608e+02 1.381040e+00 3.195785e+02 4.321444e+00 4.413508e+02 9.787306e+02 1.381039e+00 3.195892e+02 4.321294e+00 4.413651e+02 1.012856e+03 1.381041e+00 3.195742e+02 4.321503e+00 4.413452e+02 1.047997e+03 
1.376645e+00 3.186419e+02 4.320350e+00 4.386566e+02 6.485706e+02 1.376650e+00 3.186022e+02 4.320907e+00 4.386039e+02 6.700340e+02 1.376651e+00 3.185996e+02 4.320944e+00 4.386004e+02 6.925963e+02 1.376653e+00 3.185855e+02 4.321142e+00 4.385816e+02 7.161929e+02 1.376652e+00 3.185933e+02 4.321032e+00 4.385921e+02 7.408682e+02 1.376653e+00 3.185851e+02 4.321148e+00 4.385811e+02 7.665717e+02 1.376653e+00 3.185820e+02 4.321190e+00 4.385771e+02 7.933317e+02 1.376653e+00 3.185881e+02 4.321105e+00 4.385851e+02 8.211534e+02 1.376654e+00 3.185782e+02 4.321244e+00 4.385720e+02 8.500034e+02 1.376652e+00 3.185909e+02 4.321066e+00 4.385889e+02 8.799330e+02 1.376653e+00 3.185822e+02 4.321187e+00 4.385773e+02 9.108838e+02 1.376656e+00 3.185679e+02 4.321388e+00 4.385583e+02 9.428767e+02 1.376654e+00 3.185816e+02 4.321196e+00 4.385765e+02 9.759564e+02 1.376651e+00 3.185984e+02 4.320961e+00 4.385988e+02 1.010090e+03 1.376654e+00 3.185794e+02 4.321227e+00 4.385736e+02 1.045225e+03 
1.372255e+00 3.176652e+02 4.319814e+00 4.359175e+02 6.458315e+02 1.372262e+00 3.176178e+02 4.320481e+00 4.358548e+02 6.672850e+02 1.372263e+00 3.176076e+02 4.320625e+00 4.358412e+02 6.898371e+02 1.372265e+00 3.175955e+02 4.320796e+00 4.358252e+02 7.134364e+02 1.372265e+00 3.175938e+02 4.320818e+00 4.358230e+02 7.380992e+02 1.372266e+00 3.175902e+02 4.320869e+00 4.358182e+02 7.638088e+02 1.372266e+00 3.175890e+02 4.320886e+00 4.358166e+02 7.905713e+02 1.372265e+00 3.175957e+02 4.320793e+00 4.358254e+02 8.183937e+02 1.372265e+00 3.175959e+02 4.320790e+00 4.358257e+02 8.472571e+02 1.372266e+00 3.175874e+02 4.320909e+00 4.358145e+02 8.771586e+02 1.372267e+00 3.175848e+02 4.320946e+00 4.358110e+02 9.081175e+02 1.372267e+00 3.175805e+02 4.321005e+00 4.358054e+02 9.401238e+02 1.372267e+00 3.175799e+02 4.321014e+00 4.358046e+02 9.731844e+02 1.372265e+00 3.175957e+02 4.320793e+00 4.358254e+02 1.007316e+03 1.372266e+00 3.175864e+02 4.320923e+00 4.358131e+02 1.042465e+03 
1.367862e+00 3.167048e+02 4.319045e+00 4.332086e+02 6.431226e+02 1.367874e+00 3.166294e+02 4.320108e+00 4.331090e+02 6.645392e+02 1.367876e+00 3.166145e+02 4.320319e+00 4.330893e+02 6.870853e+02 1.367877e+00 3.166047e+02 4.320458e+00 4.330763e+02 7.106876e+02 1.367878e+00 3.165990e+02 4.320538e+00 4.330689e+02 7.353450e+02 1.367879e+00 3.165956e+02 4.320586e+00 4.330643e+02 7.610549e+02 1.367879e+00 3.165956e+02 4.320586e+00 4.330643e+02 7.878190e+02 1.367878e+00 3.165996e+02 4.320529e+00 4.330697e+02 8.156379e+02 1.367878e+00 3.166016e+02 4.320501e+00 4.330723e+02 8.445037e+02 1.367879e+00 3.165926e+02 4.320629e+00 4.330603e+02 8.744045e+02 1.367879e+00 3.165930e+02 4.320623e+00 4.330609e+02 9.053673e+02 1.367880e+00 3.165883e+02 4.320689e+00 4.330547e+02 9.373731e+02 1.367880e+00 3.165839e+02 4.320751e+00 4.330489e+02 9.704287e+02 1.367878e+00 3.166004e+02 4.320518e+00 4.330707e+02 1.004562e+03 1.367879e+00 3.165899e+02 4.320666e+00 4.330569e+02 1.039708e+03 
1.363471e+00 3.157392e+02 4.318344e+00 4.305012e+02 6.404151e+02 1.363487e+00 3.156332e+02 4.319845e+00 4.303616e+02 6.617918e+02 1.363489e+00 3.156171e+02 4.320073e+00 4.303404e+02 6.843363e+02 1.363491e+00 3.156040e+02 4.320259e+00 4.303232e+02 7.079344e+02 1.363491e+00 3.156006e+02 4.320307e+00 4.303186e+02 7.325948e+02 1.363491e+00 3.156050e+02 4.320245e+00 4.303245e+02 7.583151e+02 1.363492e+00 3.155945e+02 4.320393e+00 4.303107e+02 7.850653e+02 1.363492e+00 3.155935e+02 4.320407e+00 4.303094e+02 8.128776e+02 1.363493e+00 3.155921e+02 4.320427e+00 4.303075e+02 8.417389e+02 1.363492e+00 3.155973e+02 4.320353e+00 4.303144e+02 8.716586e+02 1.363494e+00 3.155818e+02 4.320573e+00 4.302940e+02 9.026005e+02 1.363494e+00 3.155818e+02 4.320573e+00 4.302940e+02 9.346123e+02 1.363494e+00 3.155854e+02 4.320522e+00 4.302987e+02 9.676786e+02 1.363493e+00 3.155927e+02 4.320419e+00 4.303083e+02 1.001799e+03 1.363494e+00 3.155858e+02 4.320516e+00 4.302993e+02 1.036951e+03 
