R C Rsh L
1 1 146.97 614.07 
1 5 154.79 615.26 
1 6 154.68 607.42 
1 7 148.39 607.10 
2 1 149.06 591.55 
2 2 148.30 531.32 
2 3 147.50 605.33 
2 5 148.75 606.77 
2 6 151.68 604.12 
2 7 151.52 620.15 
3 1 141.64 553.01 
3 2 135.76 504.98 
3 3 158.05 634.61 
3 4 145.17 559.40 
3 5 150.24 608.65 
3 7 148.44 617.23 
3 8 152.57 625.80 
4 1 151.12 552.87 
4 2 148.78 529.48 
4 3 151.61 613.19 
4 4 162.72 619.14 
4 6 153.84 618.69 
4 7 142.19 593.85 
4 8 150.15 630.22 
5 1 147.00 186.63 
5 2 145.95 189.37 
5 3 150.13 203.33 
5 4 150.43 187.54 
5 6 156.12 203.29 
5 7 150.01 207.21 
5 8 156.99 205.01 
6 1 142.62 542.69 
6 2 145.71 488.34 
6 3 143.42 570.60 
6 4 129.07 504.73 
6 6 157.08 611.67 
6 8 148.35 607.18 
7 1 149.08 545.32 
7 2 150.29 535.01 
7 3 147.39 607.15 
7 4 160.99 621.41 
7 7 154.10 608.13 
8 1 148.23 553.83 
8 2 152.01 535.04 
8 3 152.31 615.19 
8 4 145.29 569.84 
8 5 152.76 616.92 
8 6 155.87 605.41 
8 7 152.26 617.33 
9 1 147.94 558.61 
9 2 149.10 544.22 
9 3 149.06 607.82 
9 4 147.12 569.47 
9 6 143.58 580.08 
9 7 153.85 616.81 
9 8 147.53 601.76 
10 1 147.25 548.01 
10 3 152.53 627.15 
10 4 156.41 625.84 
10 7 152.26 619.38 
10 8 152.03 610.15 
11 1 151.68 574.67 
11 2 152.93 570.15 
11 3 115.39 478.94 
11 4 135.46 531.31 
11 5 149.56 612.41 
11 7 153.18 610.06 
11 8 152.34 610.43 
12 1 149.80 554.47 
12 2 141.69 523.68 
12 3 151.03 611.50 
12 5 152.57 621.26 
12 8 153.10 614.19 
13 1 149.94 578.22 
13 2 135.79 531.10 
13 3 147.94 599.40 
13 4 163.38 626.60 
13 5 153.60 619.85 
13 6 150.25 605.35 
13 7 151.90 618.55 
13 8 149.88 605.68 
14 1 147.74 598.98 
14 2 126.06 506.10 
14 3 147.18 600.31 
14 4 149.16 595.13 
14 5 143.15 602.80 
14 6 155.39 621.47 
14 7 153.04 604.63 
14 8 149.03 609.30 
15 1 148.36 594.57 
15 2 136.74 562.06 
15 3 146.33 607.90 
15 4 158.80 628.10 
15 6 153.20 612.69 
15 7 153.08 607.51 
15 8 145.89 609.59 
16 1 151.10 608.04 
16 2 129.93 535.49 
16 3 150.24 608.99 
16 5 141.59 599.92 
16 6 154.81 600.60 
16 7 150.60 593.78 
16 8 150.08 602.61 
17 1 151.65 600.10 
17 2 140.94 571.19 
17 3 152.29 620.01 
17 4 159.80 627.98 
17 5 140.39 587.33 
17 6 148.00 612.16 
17 7 150.15 605.46 
17 8 150.84 591.46 
18 1 149.66 595.89 
18 3 152.57 610.79 
18 4 153.22 593.68 
18 5 151.84 611.44 
18 6 154.02 617.03 
18 8 152.97 609.79 
19 1 142.14 570.52 
19 2 131.05 530.82 
19 3 149.14 607.02 
19 4 159.59 634.04 
19 5 156.76 634.60 
19 6 151.40 613.86 
19 7 148.04 587.44 
19 8 151.84 609.04 
20 1 151.26 178.83 
20 3 157.63 626.70 
20 4 140.21 554.95 
20 5 153.07 614.71 
20 6 152.90 621.68 
20 7 149.72 608.30 
20 8 145.42 600.61 
21 1 160.94 634.57 
21 2 153.59 624.55 
21 3 150.71 612.55 
21 4 139.40 550.85 
21 5 149.18 620.00 
21 6 153.04 610.04 
21 7 150.63 606.74 
21 8 153.46 618.47 
22 1 149.94 599.31 
22 2 149.71 618.09 
22 4 154.35 623.71 
22 5 150.20 612.75 
22 6 153.93 609.07 
23 1 130.12 550.59 
23 2 150.53 618.66 
23 3 151.61 602.53 
23 4 140.54 559.03 
23 5 145.96 611.75 
23 6 153.56 617.68 
23 7 152.31 601.85 
23 8 149.39 614.88 
24 2 151.31 613.97 
24 4 138.07 555.38 
24 5 147.88 622.53 
24 6 148.99 606.58 
24 7 150.57 610.55 
24 8 151.65 626.53 
25 1 149.21 579.59 
25 2 148.33 585.43 
25 3 155.41 615.93 
25 4 156.43 623.76 
25 5 150.12 608.97 
25 6 151.45 613.17 
25 7 151.17 616.00 
25 8 146.47 585.05 
26 1 149.77 425.77 
26 2 154.24 445.16 
26 3 152.73 443.73 
26 4 159.65 448.28 
26 5 153.09 450.55 
26 6 153.35 444.47 
26 7 156.79 440.37 
26 8 154.54 436.21 
27 1 152.17 603.18 
27 2 139.12 561.99 
27 3 149.47 598.35 
27 4 135.88 527.89 
27 5 151.08 614.64 
27 6 145.02 605.87 
27 7 149.20 590.75 
28 1 147.69 590.47 
28 2 151.62 610.71 
28 3 151.11 617.47 
28 4 154.31 625.83 
28 5 152.30 628.27 
28 6 154.52 614.00 
28 7 155.64 616.92 
29 1 149.71 600.17 
29 2 149.55 604.08 
29 3 149.92 598.10 
29 4 155.14 629.47 
29 5 139.32 594.07 
29 6 155.64 621.16 
29 7 149.23 588.46 
30 1 149.82 602.34 
30 3 151.59 599.05 
30 4 132.59 527.93 
30 5 149.27 614.97 
30 6 151.01 606.48 
30 8 143.14 587.09 
31 1 154.93 600.13 
31 2 131.40 514.39 
31 4 158.03 622.74 
31 5 145.88 611.80 
31 6 142.93 604.10 
31 7 151.53 605.22 
31 8 153.00 442.89 
32 1 150.10 609.52 
32 2 151.14 606.83 
32 3 150.13 592.64 
32 7 152.92 605.98 
