f Pxx 
0.000000e+00 3.553781e-19 
7.398201e-01 1.682987e-19 
1.479640e+00 2.866819e-19 
2.219460e+00 2.699070e-19 
2.959280e+00 3.364133e-19 
3.699100e+00 4.461988e-19 
4.438920e+00 1.512811e-19 
5.178741e+00 5.463939e-19 
5.918561e+00 4.714417e-19 
6.658381e+00 4.089630e-19 
7.398201e+00 3.183274e-19 
8.138021e+00 2.542732e-19 
8.877841e+00 2.870258e-19 
9.617661e+00 5.552529e-19 
1.035748e+01 3.415238e-19 
1.109730e+01 3.862766e-19 
1.183712e+01 2.643404e-19 
1.257694e+01 1.732164e-19 
1.331676e+01 2.823378e-19 
1.405658e+01 3.487178e-19 
1.479640e+01 2.835273e-19 
1.553622e+01 3.693098e-19 
1.627604e+01 2.493006e-19 
1.701586e+01 5.868546e-19 
1.775568e+01 4.768996e-19 
1.849550e+01 3.997727e-19 
1.923532e+01 3.403936e-19 
1.997514e+01 1.019367e-19 
2.071496e+01 2.392162e-19 
2.145478e+01 1.467092e-19 
2.219460e+01 2.789321e-19 
2.293442e+01 5.441332e-19 
2.367424e+01 3.140311e-19 
2.441406e+01 1.698488e-19 
2.515388e+01 2.102659e-19 
2.589370e+01 1.568188e-19 
2.663352e+01 1.875218e-19 
2.737334e+01 3.743635e-19 
2.811316e+01 2.133284e-19 
2.885298e+01 1.961637e-19 
2.959280e+01 1.174292e-19 
3.033262e+01 2.270990e-19 
3.107244e+01 1.442232e-19 
3.181226e+01 2.786250e-19 
3.255208e+01 3.254769e-19 
3.329190e+01 2.007345e-19 
3.403172e+01 1.427057e-19 
3.477154e+01 1.737002e-19 
3.551136e+01 9.824048e-20 
3.625118e+01 1.532281e-19 
3.699100e+01 2.129765e-19 
3.773082e+01 2.443411e-19 
3.847064e+01 1.663063e-19 
3.921046e+01 1.725940e-19 
3.995028e+01 1.386871e-19 
4.069010e+01 1.476541e-19 
4.142992e+01 1.271044e-19 
4.216974e+01 2.048516e-19 
4.290956e+01 1.985749e-19 
4.364938e+01 1.402609e-19 
4.438920e+01 2.819523e-19 
4.512902e+01 2.029846e-19 
4.586884e+01 1.494417e-19 
4.660866e+01 1.120208e-19 
4.734848e+01 1.251208e-19 
4.808830e+01 1.826736e-19 
4.882813e+01 8.549977e-20 
4.956795e+01 1.137733e-19 
5.030777e+01 8.473723e-20 
5.104759e+01 7.972824e-20 
5.178741e+01 1.502674e-19 
5.252723e+01 1.008141e-19 
5.326705e+01 9.851183e-20 
5.400687e+01 1.508731e-19 
5.474669e+01 1.196161e-19 
5.548651e+01 1.722712e-19 
5.622633e+01 1.315189e-19 
5.696615e+01 2.172675e-19 
5.770597e+01 9.929421e-20 
5.844579e+01 1.171950e-19 
5.918561e+01 9.595055e-20 
5.992543e+01 2.474622e-19 
6.066525e+01 1.116658e-19 
6.140507e+01 1.019826e-19 
6.214489e+01 1.381608e-19 
6.288471e+01 3.604267e-20 
6.362453e+01 1.866791e-19 
6.436435e+01 1.490281e-19 
6.510417e+01 1.492583e-19 
6.584399e+01 1.109272e-19 
6.658381e+01 7.501244e-20 
6.732363e+01 1.267650e-19 
6.806345e+01 6.684117e-20 
6.880327e+01 1.041052e-19 
6.954309e+01 8.786699e-20 
7.028291e+01 1.172465e-19 
7.102273e+01 1.210853e-19 
7.176255e+01 8.951239e-20 
7.250237e+01 6.672957e-20 
7.324219e+01 9.891350e-20 
7.398201e+01 7.567527e-20 
7.472183e+01 1.064782e-19 
7.546165e+01 7.926876e-20 
7.620147e+01 1.236679e-19 
7.694129e+01 4.052347e-20 
7.768111e+01 7.381917e-20 
7.842093e+01 7.205265e-20 
7.916075e+01 7.765393e-20 
7.990057e+01 6.894090e-20 
8.064039e+01 5.942290e-20 
8.138021e+01 5.807544e-20 
8.212003e+01 5.161098e-20 
8.285985e+01 1.415973e-19 
8.359967e+01 9.420133e-20 
8.433949e+01 8.634564e-20 
8.507931e+01 1.150899e-19 
8.581913e+01 1.052568e-19 
8.655895e+01 4.990417e-20 
8.729877e+01 9.575213e-20 
8.803859e+01 5.899298e-20 
8.877841e+01 8.004707e-20 
8.951823e+01 5.215713e-20 
9.025805e+01 6.593830e-20 
9.099787e+01 4.964784e-20 
9.173769e+01 1.151505e-19 
9.247751e+01 5.677611e-20 
9.321733e+01 7.203091e-20 
9.395715e+01 9.252647e-20 
9.469697e+01 4.809215e-20 
9.543679e+01 1.308812e-19 
9.617661e+01 5.588668e-20 
9.691643e+01 4.904923e-20 
9.765625e+01 6.279001e-20 
9.839607e+01 5.868622e-20 
9.913589e+01 6.534563e-20 
