freq           unkown         trans
1.10000E+00    3.37255E-03    9.96633E-01
1.20000E+00    3.40237E-03    9.96603E-01
1.30000E+00    3.42647E-03    9.96579E-01
1.40000E+00    3.44628E-03    9.96560E-01
1.50000E+00    3.46279E-03    9.96543E-01
1.60000E+00    3.47691E-03    9.96529E-01
1.70000E+00    3.48903E-03    9.96517E-01
1.80000E+00    3.49966E-03    9.96506E-01
1.90000E+00    3.50909E-03    9.96497E-01
2.00000E+00    3.51763E-03    9.96489E-01
2.10000E+00    3.52538E-03    9.96481E-01
2.20000E+00    3.53243E-03    9.96474E-01
2.30000E+00    3.53908E-03    9.96467E-01
2.40000E+00    3.54534E-03    9.96461E-01
2.50000E+00    3.55122E-03    9.96455E-01
2.60000E+00    3.55693E-03    9.96449E-01
2.70000E+00    3.56237E-03    9.96444E-01
2.80000E+00    3.56765E-03    9.96439E-01
2.90000E+00    3.57285E-03    9.96434E-01
3.00000E+00    3.57795E-03    9.96428E-01
3.10000E+00    3.58296E-03    9.96423E-01
3.20000E+00    3.58789E-03    9.96419E-01
3.30000E+00    3.59291E-03    9.96414E-01
3.40000E+00    3.59784E-03    9.96409E-01
3.50000E+00    3.60278E-03    9.96404E-01
3.60000E+00    3.60763E-03    9.96399E-01
3.70000E+00    3.61270E-03    9.96394E-01
3.80000E+00    3.61767E-03    9.96389E-01
3.90000E+00    3.62276E-03    9.96384E-01
4.00000E+00    3.62785E-03    9.96379E-01
4.10000E+00    3.63296E-03    9.96374E-01
4.20000E+00    3.63818E-03    9.96368E-01
4.30000E+00    3.64351E-03    9.96363E-01
4.40000E+00    3.64886E-03    9.96358E-01
4.50000E+00    3.65432E-03    9.96352E-01
4.60000E+00    3.65989E-03    9.96347E-01
4.70000E+00    3.66548E-03    9.96341E-01
4.80000E+00    3.67118E-03    9.96336E-01
4.90000E+00    3.67700E-03    9.96330E-01
5.00000E+00    3.68284E-03    9.96324E-01
5.10000E+00    3.68879E-03    9.96318E-01
5.20000E+00    3.69484E-03    9.96312E-01
5.30000E+00    3.70101E-03    9.96306E-01
5.40000E+00    3.70731E-03    9.96300E-01
5.50000E+00    3.71370E-03    9.96293E-01
5.60000E+00    3.72010E-03    9.96287E-01
5.70000E+00    3.72662E-03    9.96280E-01
5.80000E+00    3.73333E-03    9.96274E-01
5.90000E+00    3.74005E-03    9.96267E-01
6.00000E+00    3.74688E-03    9.96260E-01
6.10000E+00    3.75382E-03    9.96253E-01
6.20000E+00    3.76088E-03    9.96246E-01
6.30000E+00    3.76805E-03    9.96239E-01
6.40000E+00    3.77525E-03    9.96232E-01
6.50000E+00    3.78266E-03    9.96224E-01
6.60000E+00    3.79016E-03    9.96217E-01
6.70000E+00    3.79770E-03    9.96210E-01
6.80000E+00    3.80547E-03    9.96202E-01
6.90000E+00    3.81325E-03    9.96194E-01
7.00000E+00    3.82127E-03    9.96186E-01
7.10000E+00    3.82930E-03    9.96178E-01
7.20000E+00    3.83746E-03    9.96170E-01
7.30000E+00    3.84585E-03    9.96162E-01
7.40000E+00    3.85427E-03    9.96153E-01
7.50000E+00    3.86283E-03    9.96145E-01
7.60000E+00    3.87160E-03    9.96136E-01
7.70000E+00    3.88041E-03    9.96127E-01
7.80000E+00    3.88936E-03    9.96118E-01
7.90000E+00    3.89853E-03    9.96109E-01
8.00000E+00    3.90775E-03    9.96100E-01
8.10000E+00    3.91711E-03    9.96091E-01
8.20000E+00    3.92660E-03    9.96081E-01
8.30000E+00    3.93624E-03    9.96071E-01
8.40000E+00    3.94614E-03    9.96062E-01
8.50000E+00    3.95610E-03    9.96052E-01
8.60000E+00    3.96624E-03    9.96042E-01
8.70000E+00    3.97658E-03    9.96031E-01
8.80000E+00    3.98727E-03    9.96021E-01
8.90000E+00    3.99828E-03    9.96010E-01
9.00000E+00    4.01015E-03    9.95998E-01
9.10000E+00    4.02494E-03    9.95983E-01
9.20000E+00    4.07132E-03    9.95937E-01
9.30000E+00    4.04679E-03    9.95961E-01
9.40000E+00    4.05432E-03    9.95954E-01
9.50000E+00    4.06461E-03    9.95944E-01
9.60000E+00    4.07589E-03    9.95932E-01
9.70000E+00    4.08757E-03    9.95921E-01
9.80000E+00    4.09973E-03    9.95909E-01
9.90000E+00    4.11268E-03    9.95896E-01
1.00000E+01    4.12689E-03    9.95882E-01
1.01000E+01    4.14524E-03    9.95863E-01
1.02000E+01    4.19274E-03    9.95816E-01
1.03000E+01    4.17957E-03    9.95829E-01
1.04000E+01    4.17946E-03    9.95829E-01
1.05000E+01    4.18918E-03    9.95820E-01
1.06000E+01    4.20296E-03    9.95806E-01
1.07000E+01    4.21429E-03    9.95795E-01
1.08000E+01    4.22833E-03    9.95781E-01
1.09000E+01    4.24552E-03    9.95763E-01
1.10000E+01    4.27407E-03    9.95735E-01
1.11000E+01    4.31505E-03    9.95694E-01
1.12000E+01    4.29028E-03    9.95719E-01
1.13000E+01    4.29714E-03    9.95712E-01
1.14000E+01    4.30857E-03    9.95701E-01
1.15000E+01    4.32164E-03    9.95688E-01
1.16000E+01    4.33534E-03    9.95674E-01
1.17000E+01    4.34961E-03    9.95660E-01
1.18000E+01    4.36435E-03    9.95645E-01
1.19000E+01    4.37899E-03    9.95631E-01
1.20000E+01    4.39407E-03    9.95616E-01
1.21000E+01    4.40939E-03    9.95600E-01
1.22000E+01    4.42486E-03    9.95585E-01
1.23000E+01    4.44065E-03    9.95569E-01
1.24000E+01    4.45662E-03    9.95553E-01
1.25000E+01    4.47282E-03    9.95537E-01
1.26000E+01    4.48923E-03    9.95521E-01
1.27000E+01    4.50577E-03    9.95504E-01
1.28000E+01    4.52260E-03    9.95488E-01
1.29000E+01    4.53967E-03    9.95471E-01
1.30000E+01    4.55695E-03    9.95453E-01
1.31000E+01    4.57445E-03    9.95436E-01
1.32000E+01    4.59219E-03    9.95418E-01
