freq         bp           mode1_abs    mode2_abs    
2.998031e+02 9.550000e-03 5.143046e-01 6.567276e-01 
3.013249e+02 1.108000e-02 5.749238e-01 7.113936e-01 
3.028467e+02 1.349000e-02 6.239382e-01 7.539524e-01 
3.043686e+02 1.631000e-02 6.630380e-01 7.862751e-01 
3.058904e+02 1.916000e-02 6.939134e-01 8.102330e-01 
3.074123e+02 2.325000e-02 7.182546e-01 8.276973e-01 
3.089341e+02 2.861000e-02 7.377517e-01 8.405393e-01 
3.104559e+02 3.439000e-02 7.540883e-01 8.506221e-01 
3.119778e+02 4.121000e-02 7.684184e-01 8.591856e-01 
3.134996e+02 5.005000e-02 7.809984e-01 8.664118e-01 
3.150214e+02 6.142000e-02 7.919974e-01 8.723803e-01 
3.165433e+02 7.480000e-02 8.015915e-01 8.771906e-01 
3.180651e+02 9.190000e-02 8.099840e-01 8.810202e-01 
3.195869e+02 1.132200e-01 8.173846e-01 8.840651e-01 
3.211088e+02 1.388200e-01 8.239939e-01 8.865117e-01 
3.226306e+02 1.744900e-01 8.299273e-01 8.884566e-01 
3.241525e+02 2.184500e-01 8.352537e-01 8.899476e-01 
3.256743e+02 2.667600e-01 8.400409e-01 8.910318e-01 
3.271961e+02 3.228000e-01 8.443488e-01 8.917523e-01 
3.287180e+02 3.872800e-01 8.482269e-01 8.921481e-01 
3.302398e+02 4.641400e-01 8.517245e-01 8.922577e-01 
3.317616e+02 5.353200e-01 8.548848e-01 8.921142e-01 
3.332835e+02 5.949100e-01 8.577356e-01 8.917372e-01 
3.348053e+02 6.532000e-01 8.603026e-01 8.911444e-01 
3.363271e+02 7.019800e-01 8.626102e-01 8.903524e-01 
3.378490e+02 7.352300e-01 8.646770e-01 8.893737e-01 
3.393708e+02 7.526900e-01 8.665190e-01 8.882189e-01 
3.408927e+02 7.646800e-01 8.681520e-01 8.868989e-01 
3.424145e+02 7.689300e-01 8.695886e-01 8.854214e-01 
3.439363e+02 7.686300e-01 8.708384e-01 8.837925e-01 
3.454582e+02 7.722200e-01 8.719108e-01 8.820178e-01 
3.469800e+02 7.715900e-01 8.728143e-01 8.801023e-01 
3.485018e+02 7.791900e-01 8.735551e-01 8.780494e-01 
3.500237e+02 7.911900e-01 8.741390e-01 8.758622e-01 
3.515455e+02 7.903900e-01 8.745718e-01 8.735438e-01 
3.530673e+02 7.835400e-01 8.748575e-01 8.710962e-01 
3.545892e+02 7.800500e-01 8.749998e-01 8.685213e-01 
3.561110e+02 7.709800e-01 8.750022e-01 8.658209e-01 
3.576329e+02 7.456200e-01 8.748675e-01 8.629952e-01 
3.591547e+02 7.008600e-01 8.745977e-01 8.600435e-01 
3.606765e+02 6.374100e-01 8.741949e-01 8.569653e-01 
3.621984e+02 5.710300e-01 8.736605e-01 8.537615e-01 
3.637202e+02 4.966100e-01 8.729955e-01 8.504351e-01 
3.652420e+02 4.126800e-01 8.722006e-01 8.469892e-01 
3.667639e+02 3.340500e-01 8.712761e-01 8.434217e-01 
3.682857e+02 2.683000e-01 8.702217e-01 8.397181e-01 
3.698075e+02 2.153100e-01 8.690369e-01 8.358619e-01 
3.713294e+02 1.725700e-01 8.677211e-01 8.318441e-01 
3.728512e+02 1.371200e-01 8.662726e-01 8.276984e-01 
3.743731e+02 1.082100e-01 8.646897e-01 8.234743e-01 
3.758949e+02 8.686000e-02 8.629705e-01 8.192126e-01 
3.774167e+02 7.101000e-02 8.611124e-01 8.148177e-01 
3.789386e+02 5.854000e-02 8.591121e-01 8.100855e-01 
3.804604e+02 4.859000e-02 8.569665e-01 8.048135e-01 
3.819822e+02 4.014000e-02 8.546716e-01 7.991228e-01 
3.835041e+02 3.329000e-02 8.522227e-01 7.936800e-01 
3.850259e+02 2.901000e-02 8.496149e-01 7.892040e-01 
3.865477e+02 2.501000e-02 8.468428e-01 7.860498e-01 
3.880696e+02 2.121000e-02 8.438999e-01 7.831897e-01 
3.895914e+02 1.835000e-02 8.407794e-01 7.792671e-01 
3.911133e+02 1.605000e-02 8.374742e-01 7.730726e-01 
3.926351e+02 1.391000e-02 8.339739e-01 7.647551e-01 
3.941569e+02 1.222000e-02 8.302667e-01 7.551997e-01 
3.956788e+02 1.086000e-02 8.263407e-01 7.452987e-01 
3.972006e+02 9.520000e-03 8.221839e-01 7.359443e-01 
3.987224e+02 8.310000e-03 8.177845e-01 7.280288e-01 
4.002443e+02 7.020000e-03 8.131304e-01 7.224445e-01 
