theta        pow          
0.000000e+00 1.000000e+00 
5.729578e-02 9.999802e-01 
1.145916e-01 9.999208e-01 
1.718873e-01 9.998217e-01 
2.291831e-01 9.996830e-01 
2.864789e-01 9.995048e-01 
3.437747e-01 9.992870e-01 
4.010705e-01 9.990296e-01 
4.583662e-01 9.987327e-01 
5.156620e-01 9.983964e-01 
5.729578e-01 9.980206e-01 
6.302536e-01 9.976054e-01 
6.875494e-01 9.971508e-01 
7.448451e-01 9.966569e-01 
8.021409e-01 9.961238e-01 
8.594367e-01 9.955515e-01 
9.167325e-01 9.949400e-01 
9.740283e-01 9.942895e-01 
1.031324e+00 9.936000e-01 
1.088620e+00 9.928716e-01 
1.145916e+00 9.921043e-01 
1.203211e+00 9.912983e-01 
1.260507e+00 9.904537e-01 
1.317803e+00 9.895704e-01 
1.375099e+00 9.886488e-01 
1.432394e+00 9.876887e-01 
1.489690e+00 9.866904e-01 
1.546986e+00 9.856539e-01 
1.604282e+00 9.845795e-01 
1.661578e+00 9.834671e-01 
1.718873e+00 9.823169e-01 
1.776169e+00 9.811290e-01 
1.833465e+00 9.799036e-01 
1.890761e+00 9.786409e-01 
1.948057e+00 9.773408e-01 
2.005352e+00 9.760037e-01 
2.062648e+00 9.746295e-01 
2.119944e+00 9.732186e-01 
2.177240e+00 9.717710e-01 
2.234535e+00 9.702869e-01 
2.291831e+00 9.687665e-01 
2.349127e+00 9.672099e-01 
2.406423e+00 9.656172e-01 
2.463719e+00 9.639888e-01 
2.521014e+00 9.623247e-01 
2.578310e+00 9.606251e-01 
2.635606e+00 9.588903e-01 
2.692902e+00 9.571204e-01 
2.750197e+00 9.553155e-01 
2.807493e+00 9.534760e-01 
2.864789e+00 9.516019e-01 
2.922085e+00 9.496936e-01 
2.979381e+00 9.477512e-01 
3.036676e+00 9.457749e-01 
3.093972e+00 9.437649e-01 
3.151268e+00 9.417214e-01 
3.208564e+00 9.396448e-01 
3.265859e+00 9.375351e-01 
3.323155e+00 9.353926e-01 
3.380451e+00 9.332176e-01 
3.437747e+00 9.310103e-01 
3.495043e+00 9.287709e-01 
3.552338e+00 9.264997e-01 
3.609634e+00 9.241969e-01 
3.666930e+00 9.218627e-01 
3.724226e+00 9.194975e-01 
3.781521e+00 9.171014e-01 
3.838817e+00 9.146747e-01 
3.896113e+00 9.122176e-01 
3.953409e+00 9.097305e-01 
4.010705e+00 9.072136e-01 
4.068000e+00 9.046672e-01 
4.125296e+00 9.020914e-01 
4.182592e+00 8.994867e-01 
4.239888e+00 8.968533e-01 
4.297183e+00 8.941914e-01 
4.354479e+00 8.915013e-01 
4.411775e+00 8.887833e-01 
4.469071e+00 8.860378e-01 
4.526367e+00 8.832649e-01 
4.583662e+00 8.804650e-01 
4.640958e+00 8.776384e-01 
4.698254e+00 8.747853e-01 
4.755550e+00 8.719061e-01 
4.812845e+00 8.690011e-01 
4.870141e+00 8.660705e-01 
4.927437e+00 8.631146e-01 
4.984733e+00 8.601338e-01 
5.042029e+00 8.571284e-01 
5.099324e+00 8.540987e-01 
5.156620e+00 8.510449e-01 
5.213916e+00 8.479675e-01 
5.271212e+00 8.448666e-01 
5.328507e+00 8.417427e-01 
5.385803e+00 8.385961e-01 
5.443099e+00 8.354270e-01 
5.500395e+00 8.322357e-01 
5.557691e+00 8.290227e-01 
5.614986e+00 8.257883e-01 
5.672282e+00 8.225326e-01 
5.729578e+00 8.192562e-01 
5.786874e+00 8.159592e-01 
5.844170e+00 8.126421e-01 
5.901465e+00 8.093052e-01 
5.958761e+00 8.059488e-01 
6.016057e+00 8.025732e-01 
6.073353e+00 7.991787e-01 
6.130648e+00 7.957658e-01 
6.187944e+00 7.923346e-01 
6.245240e+00 7.888857e-01 
6.302536e+00 7.854193e-01 
6.359832e+00 7.819357e-01 
6.417127e+00 7.784352e-01 
6.474423e+00 7.749183e-01 
6.531719e+00 7.713853e-01 
6.589015e+00 7.678365e-01 
6.646310e+00 7.642722e-01 
6.703606e+00 7.606928e-01 
6.760902e+00 7.570986e-01 
6.818198e+00 7.534900e-01 
6.875494e+00 7.498673e-01 
6.932789e+00 7.462308e-01 
6.990085e+00 7.425810e-01 
7.047381e+00 7.389181e-01 
7.104677e+00 7.352425e-01 
7.161972e+00 7.315545e-01 
7.219268e+00 7.278544e-01 
7.276564e+00 7.241427e-01 
7.333860e+00 7.204197e-01 
