tp           bump         bump_conv    
-2.000000e+00 1.596678e-05 1.314584e-06 
-1.990000e+00 1.782647e-05 1.474178e-06 
-1.980000e+00 1.989177e-05 1.652265e-06 
-1.970000e+00 2.218409e-05 1.850877e-06 
-1.960000e+00 2.472692e-05 2.072257e-06 
-1.950000e+00 2.754600e-05 2.318879e-06 
-1.940000e+00 3.066954e-05 2.593467e-06 
-1.930000e+00 3.412842e-05 2.899025e-06 
-1.920000e+00 3.795642e-05 3.238856e-06 
-1.910000e+00 4.219047e-05 3.616595e-06 
-1.900000e+00 4.687095e-05 4.036238e-06 
-1.890000e+00 5.204191e-05 4.502175e-06 
-1.880000e+00 5.775146e-05 5.019225e-06 
-1.870000e+00 6.405201e-05 5.592679e-06 
-1.860000e+00 7.100072e-05 6.228336e-06 
-1.850000e+00 7.865982e-05 6.932552e-06 
-1.840000e+00 8.709701e-05 7.712289e-06 
-1.830000e+00 9.638595e-05 8.575167e-06 
-1.820000e+00 1.066067e-04 9.529521e-06 
-1.810000e+00 1.178461e-04 1.058446e-05 
-1.800000e+00 1.301985e-04 1.174995e-05 
-1.790000e+00 1.437664e-04 1.303685e-05 
-1.780000e+00 1.586604e-04 1.445701e-05 
-1.770000e+00 1.750008e-04 1.602338e-05 
-1.760000e+00 1.929175e-04 1.775005e-05 
-1.750000e+00 2.125511e-04 1.965236e-05 
-1.740000e+00 2.340536e-04 2.174701e-05 
-1.730000e+00 2.575890e-04 2.405218e-05 
-1.720000e+00 2.833346e-04 2.658760e-05 
-1.710000e+00 3.114813e-04 2.937474e-05 
-1.700000e+00 3.422351e-04 3.243689e-05 
-1.690000e+00 3.758178e-04 3.579930e-05 
-1.680000e+00 4.124680e-04 3.948936e-05 
-1.670000e+00 4.524424e-04 4.353677e-05 
-1.660000e+00 4.960169e-04 4.797366e-05 
-1.650000e+00 5.434879e-04 5.283480e-05 
-1.640000e+00 5.951733e-04 5.815780e-05 
-1.630000e+00 6.514140e-04 6.398331e-05 
-1.620000e+00 7.125756e-04 7.035522e-05 
-1.610000e+00 7.790494e-04 7.732090e-05 
-1.600000e+00 8.512540e-04 8.493146e-05 
-1.590000e+00 9.296372e-04 9.324197e-05 
-1.580000e+00 1.014677e-03 1.023118e-04 
-1.570000e+00 1.106885e-03 1.122047e-04 
-1.560000e+00 1.206806e-03 1.229895e-04 
-1.550000e+00 1.315020e-03 1.347400e-04 
-1.540000e+00 1.432147e-03 1.475356e-04 
-1.530000e+00 1.558845e-03 1.614615e-04 
-1.520000e+00 1.695815e-03 1.766091e-04 
-1.510000e+00 1.843801e-03 1.930763e-04 
-1.500000e+00 2.003594e-03 2.109682e-04 
-1.490000e+00 2.176034e-03 2.303973e-04 
-1.480000e+00 2.362011e-03 2.514838e-04 
-1.470000e+00 2.562466e-03 2.743564e-04 
-1.460000e+00 2.778399e-03 2.991526e-04 
-1.450000e+00 3.010864e-03 3.260192e-04 
-1.440000e+00 3.260978e-03 3.551128e-04 
-1.430000e+00 3.529920e-03 3.866005e-04 
-1.420000e+00 3.818932e-03 4.206604e-04 
-1.410000e+00 4.129326e-03 4.574819e-04 
-1.400000e+00 4.462483e-03 4.972669e-04 
-1.390000e+00 4.819856e-03 5.402298e-04 
-1.380000e+00 5.202976e-03 5.865988e-04 
-1.370000e+00 5.613448e-03 6.366158e-04 
-1.360000e+00 6.052959e-03 6.905378e-04 
-1.350000e+00 6.523279e-03 7.486374e-04 
-1.340000e+00 7.026262e-03 8.112031e-04 
-1.330000e+00 7.563849e-03 8.785408e-04 
-1.320000e+00 8.138072e-03 9.509739e-04 
-1.310000e+00 8.751054e-03 1.028845e-03 
-1.300000e+00 9.405012e-03 1.112514e-03 
-1.290000e+00 1.010226e-02 1.202365e-03 
-1.280000e+00 1.084521e-02 1.298798e-03 
-1.270000e+00 1.163637e-02 1.402240e-03 
-1.260000e+00 1.247835e-02 1.513136e-03 
-1.250000e+00 1.337386e-02 1.631959e-03 
-1.240000e+00 1.432573e-02 1.759203e-03 
-1.230000e+00 1.533688e-02 1.895390e-03 
-1.220000e+00 1.641033e-02 2.041065e-03 
-1.210000e+00 1.754921e-02 2.196803e-03 
-1.200000e+00 1.875678e-02 2.363206e-03 
-1.190000e+00 2.003637e-02 2.540904e-03 
-1.180000e+00 2.139144e-02 2.730560e-03 
-1.170000e+00 2.282554e-02 2.932862e-03 
-1.160000e+00 2.434234e-02 3.148535e-03 
-1.150000e+00 2.594560e-02 3.378333e-03 
-1.140000e+00 2.763919e-02 3.623043e-03 
-1.130000e+00 2.942707e-02 3.883488e-03 
-1.120000e+00 3.131331e-02 4.160524e-03 
-1.110000e+00 3.330206e-02 4.455042e-03 
-1.100000e+00 3.539756e-02 4.767971e-03 
-1.090000e+00 3.760414e-02 5.100273e-03 
-1.080000e+00 3.992622e-02 5.452952e-03 
-1.070000e+00 4.236829e-02 5.827045e-03 
-1.060000e+00 4.493490e-02 6.223631e-03 
-1.050000e+00 4.763068e-02 6.643826e-03 
-1.040000e+00 5.046032e-02 7.088784e-03 
-1.030000e+00 5.342855e-02 7.559701e-03 
-1.020000e+00 5.654014e-02 8.057810e-03 
-1.010000e+00 5.979991e-02 8.584386e-03 
-1.000000e+00 6.321270e-02 9.140740e-03 
-9.900000e-01 6.678337e-02 9.728228e-03 
-9.800000e-01 7.051679e-02 1.034824e-02 
-9.700000e-01 7.441780e-02 1.100221e-02 
-9.600000e-01 7.849126e-02 1.169161e-02 
-9.500000e-01 8.274199e-02 1.241795e-02 
-9.400000e-01 8.717475e-02 1.318277e-02 
-9.300000e-01 9.179430e-02 1.398766e-02 
-9.200000e-01 9.660527e-02 1.483424e-02 
-9.100000e-01 1.016123e-01 1.572417e-02 
-9.000000e-01 1.068197e-01 1.665913e-02 
-8.900000e-01 1.122321e-01 1.764085e-02 
-8.800000e-01 1.178536e-01 1.867110e-02 
-8.700000e-01 1.236884e-01 1.975164e-02 
-8.600000e-01 1.297403e-01 2.088429e-02 
-8.500000e-01 1.360132e-01 2.207090e-02 
-8.400000e-01 1.425107e-01 2.331334e-02 
-8.300000e-01 1.492362e-01 2.461348e-02 
-8.200000e-01 1.561927e-01 2.597323e-02 
-8.100000e-01 1.633833e-01 2.739453e-02 
-8.000000e-01 1.708106e-01 2.887931e-02 
-7.900000e-01 1.784769e-01 3.042952e-02 
-7.800000e-01 1.863843e-01 3.204712e-02 
-7.700000e-01 1.945346e-01 3.373410e-02 
-7.600000e-01 2.029292e-01 3.549240e-02 
-7.500000e-01 2.115692e-01 3.732402e-02 
-7.400000e-01 2.204553e-01 3.923090e-02 
-7.300000e-01 2.295877e-01 4.121502e-02 
-7.200000e-01 2.389665e-01 4.327831e-02 
-7.100000e-01 2.485910e-01 4.542271e-02 
-7.000000e-01 2.584605e-01 4.765013e-02 
-6.900000e-01 2.685734e-01 4.996246e-02 
-6.800000e-01 2.789279e-01 5.236155e-02 
-6.700000e-01 2.895217e-01 5.484924e-02 
-6.600000e-01 3.003519e-01 5.742730e-02 
-6.500000e-01 3.114152e-01 6.009748e-02 
-6.400000e-01 3.227078e-01 6.286148e-02 
-6.300000e-01 3.342252e-01 6.572095e-02 
-6.200000e-01 3.459626e-01 6.867747e-02 
-6.100000e-01 3.579145e-01 7.173257e-02 
-6.000000e-01 3.700748e-01 7.488770e-02 
-5.900000e-01 3.824371e-01 7.814426e-02 
-5.800000e-01 3.949941e-01 8.150356e-02 
-5.700000e-01 4.077381e-01 8.496681e-02 
-5.600000e-01 4.206610e-01 8.853516e-02 
-5.500000e-01 4.337538e-01 9.220965e-02 
-5.400000e-01 4.470072e-01 9.599123e-02 
-5.300000e-01 4.604113e-01 9.988075e-02 
-5.200000e-01 4.739554e-01 1.038789e-01 
-5.100000e-01 4.876287e-01 1.079864e-01 
-5.000000e-01 5.014194e-01 1.122037e-01 
-4.900000e-01 5.153154e-01 1.165313e-01 
-4.800000e-01 5.293042e-01 1.209692e-01 
-4.700000e-01 5.433725e-01 1.255178e-01 
-4.600000e-01 5.575068e-01 1.301769e-01 
-4.500000e-01 5.716930e-01 1.349465e-01 
-4.400000e-01 5.859165e-01 1.398262e-01 
-4.300000e-01 6.001623e-01 1.448157e-01 
-4.200000e-01 6.144151e-01 1.499143e-01 
-4.100000e-01 6.286591e-01 1.551214e-01 
-4.000000e-01 6.428782e-01 1.604360e-01 
-3.900000e-01 6.570559e-01 1.658571e-01 
-3.800000e-01 6.711756e-01 1.713835e-01 
-3.700000e-01 6.852201e-01 1.770139e-01 
-3.600000e-01 6.991724e-01 1.827467e-01 
-3.500000e-01 7.130148e-01 1.885803e-01 
-3.400000e-01 7.267298e-01 1.945128e-01 
-3.300000e-01 7.402997e-01 2.005421e-01 
-3.200000e-01 7.537067e-01 2.066662e-01 
-3.100000e-01 7.669328e-01 2.128827e-01 
-3.000000e-01 7.799601e-01 2.191890e-01 
-2.900000e-01 7.927708e-01 2.255826e-01 
-2.800000e-01 8.053470e-01 2.320606e-01 
-2.700000e-01 8.176711e-01 2.386200e-01 
-2.600000e-01 8.297254e-01 2.452576e-01 
-2.500000e-01 8.414925e-01 2.519703e-01 
-2.400000e-01 8.529554e-01 2.587545e-01 
-2.300000e-01 8.640971e-01 2.656066e-01 
-2.200000e-01 8.749010e-01 2.725230e-01 
-2.100000e-01 8.853510e-01 2.794997e-01 
-2.000000e-01 8.954311e-01 2.865328e-01 
-1.900000e-01 9.051260e-01 2.936181e-01 
-1.800000e-01 9.144207e-01 3.007513e-01 
-1.700000e-01 9.233009e-01 3.079281e-01 
-1.600000e-01 9.317526e-01 3.151440e-01 
-1.500000e-01 9.397625e-01 3.223944e-01 
-1.400000e-01 9.473179e-01 3.296746e-01 
-1.300000e-01 9.544070e-01 3.369798e-01 
-1.200000e-01 9.610181e-01 3.443052e-01 
