Loop         R0           prn          alpha        beta         Lcrit        teff         
3.973145e-03 3.499220e-03 1.000000e+00 5.690235e-02 0.000000e+00 3.794076e+01 1.185701e+01 
5.591453e-03 3.485605e-03 9.961090e-01 1.246371e-01 0.000000e+00 3.686219e+01 1.183961e+01 
1.315854e-02 3.482577e-03 9.952436e-01 5.209912e-01 0.000000e+00 3.385676e+01 1.175886e+01 
2.527794e-02 3.491332e-03 9.977457e-01 1.444832e+00 0.000000e+00 3.097768e+01 1.163174e+01 
1.787518e+00 2.920439e-03 8.345969e-01 1.335374e+02 2.919890e-01 6.191518e+00 5.278234e+00 
2.530608e+00 2.607842e-03 7.452636e-01 1.870525e+02 5.114397e-01 5.338705e+00 4.740520e+00 
3.450117e+00 2.483275e-03 7.096651e-01 2.705691e+02 6.723299e-01 4.605955e+00 4.162979e+00 
4.473315e+00 2.325047e-03 6.644471e-01 3.682374e+02 8.778690e-01 4.125063e+00 3.790073e+00 
5.506607e+00 2.109235e-03 6.027729e-01 4.642305e+02 1.159947e+00 3.851217e+00 3.632378e+00 
7.903196e+00 1.560471e-03 4.459481e-01 6.438235e+02 2.351732e+00 3.881936e+00 3.897344e+00 
