fwhm_over    teffb        teff6        teff10       teff20       
6.370000e-03 1.247772e-04 7.943562e-05 4.766137e-05 2.383069e-05 
6.800000e-03 1.309496e-04 8.336512e-05 5.001907e-05 2.500954e-05 
7.270000e-03 1.374274e-04 8.748901e-05 5.249341e-05 2.624670e-05 
7.790000e-03 1.442256e-04 9.181690e-05 5.509014e-05 2.754507e-05 
8.350000e-03 1.513602e-04 9.635887e-05 5.781532e-05 2.890766e-05 
8.970000e-03 1.588476e-04 1.011255e-04 6.067532e-05 3.033766e-05 
9.650000e-03 1.667054e-04 1.061280e-04 6.367679e-05 3.183839e-05 
1.039000e-02 1.749520e-04 1.113779e-04 6.682674e-05 3.341337e-05 
1.120000e-02 1.836065e-04 1.168875e-04 7.013251e-05 3.506625e-05 
1.208000e-02 1.926891e-04 1.226697e-04 7.360180e-05 3.680090e-05 
1.305000e-02 2.022210e-04 1.287379e-04 7.724272e-05 3.862136e-05 
1.411000e-02 2.122244e-04 1.351062e-04 8.106374e-05 4.053187e-05 
1.526000e-02 2.227226e-04 1.417896e-04 8.507378e-05 4.253689e-05 
1.651000e-02 2.337402e-04 1.488037e-04 8.928219e-05 4.464110e-05 
1.788000e-02 2.453028e-04 1.561646e-04 9.369878e-05 4.684939e-05 
1.936000e-02 2.574374e-04 1.638898e-04 9.833385e-05 4.916693e-05 
2.098000e-02 2.701723e-04 1.719970e-04 1.031982e-04 5.159910e-05 
2.273000e-02 2.835371e-04 1.805053e-04 1.083032e-04 5.415160e-05 
2.463000e-02 2.975630e-04 1.894345e-04 1.136607e-04 5.683035e-05 
2.669000e-02 3.122828e-04 1.988054e-04 1.192832e-04 5.964162e-05 
2.892000e-02 3.277307e-04 2.086399e-04 1.251839e-04 6.259196e-05 
3.133000e-02 3.439428e-04 2.189608e-04 1.313765e-04 6.568825e-05 
3.393000e-02 3.609569e-04 2.297923e-04 1.378754e-04 6.893770e-05 
3.674000e-02 3.788127e-04 2.411596e-04 1.446958e-04 7.234789e-05 
3.976000e-02 3.975517e-04 2.530893e-04 1.518536e-04 7.592678e-05 
4.302000e-02 4.172177e-04 2.656090e-04 1.593654e-04 7.968270e-05 
4.652000e-02 4.378565e-04 2.787481e-04 1.672489e-04 8.362443e-05 
5.028000e-02 4.595163e-04 2.925371e-04 1.755223e-04 8.776114e-05 
5.431000e-02 4.822475e-04 3.070083e-04 1.842050e-04 9.210249e-05 
5.863000e-02 5.061032e-04 3.221953e-04 1.933172e-04 9.665859e-05 
6.324000e-02 5.311390e-04 3.381336e-04 2.028801e-04 1.014401e-04 
6.817000e-02 5.574132e-04 3.548603e-04 2.129162e-04 1.064581e-04 
