R C R0 Loop beta teff_pred sI_pred
1 1 4.106399e+00 8.239622e+00 2.992226e-01 1.347754e+00 7.484386e-01
1 5 4.842153e+00 5.361129e+00 6.971332e-02 1.638699e+00 6.922982e-01
1 6 4.492612e+00 7.747283e+00 2.384984e-01 1.361308e+00 7.173714e-01
1 7 1.240510e+00 3.593420e+00 2.577912e+00 5.037790e+00 4.880914e-01
2 1 3.560205e+00 1.374287e+01 7.366264e-01 1.113537e+00 7.835043e-01
2 2 3.694110e+00 1.245217e+01 5.585747e-01 1.104886e+00 7.761847e-01
2 3 3.597844e+00 1.366720e+01 7.417309e-01 1.121767e+00 7.744899e-01
2 5 3.959776e+00 8.886194e+00 4.722111e-01 1.404395e+00 7.486567e-01
2 6 4.169474e+00 8.337887e+00 3.090286e-01 1.342281e+00 7.404286e-01
2 7 1.344060e+00 1.013056e+01 5.197355e+00 3.856743e+00 5.984723e-01
3 1 3.657766e+00 1.119747e+01 5.387323e-01 1.197448e+00 7.964756e-01
3 2 3.307515e+00 1.218970e+01 7.231376e-01 1.227131e+00 8.466988e-01
3 3 4.015893e+00 1.163006e+01 5.580222e-01 1.171159e+00 7.240464e-01
3 4 3.554397e+00 1.241529e+01 7.923542e-01 1.248915e+00 7.839738e-01
3 5 3.703210e+00 7.285734e+00 3.704872e-01 1.571722e+00 7.329014e-01
3 7 1.161992e+00 7.837090e+00 3.851058e+00 3.944423e+00 6.144206e-01
3 8 1.260507e+00 7.993028e+00 4.805638e+00 4.286899e+00 5.477373e-01
4 1 3.503994e+00 1.594425e+01 3.598415e-01 7.871231e-01 8.186121e-01
4 2 3.237044e+00 1.201935e+01 8.858176e-01 1.349041e+00 7.701323e-01
4 3 3.506122e+00 1.605438e+01 7.694970e-01 9.878452e-01 7.834485e-01
4 4 3.615547e+00 1.231536e+01 8.281940e-01 1.286213e+00 7.024965e-01
4 6 5.376132e+00 3.871205e+00 2.998485e-08 2.010445e+00 6.552224e-01
4 7 1.329799e+00 9.529860e+00 4.160205e+00 3.576910e+00 6.584411e-01
4 8 1.186264e+00 9.789826e+00 6.259377e+00 4.345559e+00 5.527197e-01
5 1 2.993600e+00 9.012493e+00 1.174352e+00 1.927305e+00 7.290064e-01
5 2 3.534792e+00 8.097340e+00 9.127228e-01 1.881393e+00 7.272372e-01
5 3 2.968685e+00 8.999743e+00 1.202617e+00 1.948911e+00 7.325824e-01
5 4 3.597540e+00 7.860789e+00 8.208835e-01 1.851922e+00 7.297455e-01
5 6 4.162315e+00 7.678240e+00 4.792659e-01 1.594021e+00 6.950440e-01
5 7 6.342511e-01 5.044068e+00 3.756553e+00 5.285028e+00 5.737217e-01
5 8 3.623499e+00 5.368892e+00 2.400647e-01 1.869771e+00 6.836131e-01
6 1 3.804265e+00 9.547736e+00 6.025727e-01 1.418466e+00 7.688283e-01
6 2 4.159787e+00 7.321553e+00 2.402392e-01 1.431256e+00 7.561983e-01
6 3 3.745329e+00 9.505245e+00 5.044559e-01 1.350352e+00 7.936346e-01
6 4 3.683051e+00 7.337774e+00 2.751893e-01 1.462213e+00 8.443073e-01
6 6 4.304937e+00 6.495791e+00 1.788338e-01 1.519858e+00 7.132613e-01
6 8 1.541390e+00 5.457344e+00 2.309417e+00 3.821961e+00 5.912108e-01
7 1 3.888896e+00 8.763908e+00 4.806273e-01 1.428090e+00 7.561590e-01
7 2 3.932778e+00 9.784226e+00 4.342170e-01 1.266176e+00 7.564335e-01
7 3 4.010607e+00 8.803846e+00 4.538490e-01 1.401160e+00 7.363662e-01
7 4 4.177334e+00 1.000516e+01 5.079410e-01 1.295623e+00 7.081143e-01
7 7 1.144915e+00 6.645367e+00 4.931043e+00 4.794317e+00 5.150896e-01
8 1 3.895256e+00 9.150758e+00 4.044693e-01 1.318022e+00 7.584771e-01
8 2 4.071577e+00 7.422745e+00 3.288205e-01 1.500286e+00 7.391337e-01
8 3 3.956109e+00 9.308109e+00 4.234051e-01 1.313642e+00 7.454867e-01
8 4 4.008420e+00 7.297344e+00 3.030731e-01 1.497676e+00 7.515409e-01
8 5 3.825865e+00 6.894469e+00 1.659609e-01 1.441129e+00 7.392234e-01
8 6 3.125396e+00 8.749511e+00 8.234469e-01 1.718283e+00 7.217804e-01
8 7 2.974167e+00 5.627815e+00 1.333860e+00 2.886571e+00 6.237649e-01
9 1 3.650834e+00 1.056807e+01 5.164708e-01 1.245488e+00 7.762359e-01
9 2 3.565823e+00 1.164561e+01 7.155429e-01 1.273012e+00 7.701061e-01
9 3 3.706287e+00 1.044733e+01 5.114979e-01 1.254412e+00 7.640081e-01
9 4 3.545569e+00 1.145805e+01 7.183430e-01 1.293000e+00 7.699163e-01
9 6 4.290198e+00 5.326532e+00 4.146610e-02 1.617138e+00 7.453884e-01
9 7 3.282889e+00 4.159307e+00 4.322263e-01 2.541630e+00 6.385369e-01
9 8 2.742116e+00 7.406709e+00 2.381333e+00 3.077939e+00 6.182798e-01
10 1 3.449921e+00 1.377144e+01 7.386955e-01 1.113975e+00 7.938612e-01
10 3 3.607763e+00 1.413876e+01 8.051201e-01 1.124034e+00 7.586567e-01
10 7 3.519390e+00 7.492079e+00 5.639455e-01 1.712307e+00 7.245073e-01
10 8 3.396908e+00 6.164943e+00 6.559050e-01 2.094746e+00 6.923489e-01
11 1 3.298520e+00 1.372052e+01 1.185377e+00 1.362983e+00 7.520520e-01
11 2 3.200618e+00 9.626587e+00 9.436677e-01 1.669579e+00 7.244230e-01
11 3 2.576950e+00 1.367381e+01 1.167028e+00 1.357224e+00 9.643192e-01
11 4 2.828370e+00 9.628256e+00 9.659335e-01 1.685427e+00 8.121233e-01
11 5 3.942195e+00 8.394493e+00 4.054034e-01 1.418156e+00 7.527044e-01
11 7 3.521034e+00 9.617367e+00 7.891599e-01 1.553793e+00 7.306122e-01
11 8 3.442874e+00 1.057134e+01 1.089151e+00 1.630212e+00 7.316023e-01
12 1 3.911275e+00 6.213499e+00 4.076482e-01 1.822027e+00 7.153935e-01
12 2 4.030257e+00 6.202235e+00 2.669057e-01 1.672956e+00 7.521988e-01
12 3 3.996533e+00 6.188670e+00 3.766382e-01 1.795438e+00 7.076850e-01
12 5 4.767653e+00 5.098921e+00 8.628827e-03 1.628778e+00 7.088576e-01
12 8 3.776441e+00 8.342627e+00 6.626415e-01 1.641061e+00 7.181046e-01
13 1 3.699120e+00 9.996413e+00 5.763949e-01 1.349473e+00 7.592343e-01
13 2 3.911128e+00 6.258532e+00 2.492422e-01 1.640186e+00 7.938479e-01
13 3 3.698166e+00 9.968020e+00 5.686964e-01 1.347222e+00 7.595714e-01
13 4 4.608711e+00 6.383809e+00 2.226069e-01 1.584960e+00 6.842512e-01
13 5 3.529018e+00 9.889262e+00 5.215453e-01 1.327152e+00 7.552564e-01
13 6 3.097080e+00 9.813235e+00 8.968498e-01 1.614059e+00 7.370061e-01
13 7 4.491268e+00 5.138728e+00 3.054748e-02 1.650579e+00 7.178624e-01
13 8 4.074286e+00 6.351838e+00 1.889499e-02 1.377039e+00 7.476101e-01
14 1 3.769830e+00 9.174192e+00 5.991225e-01 1.466797e+00 7.513297e-01
14 2 3.105144e+00 9.036617e+00 5.317179e-01 1.435413e+00 8.995096e-01
14 3 3.817660e+00 9.023106e+00 5.791137e-01 1.472189e+00 7.407612e-01
14 4 3.713445e+00 9.064101e+00 5.772279e-01 1.466796e+00 7.479263e-01
14 5 3.723888e+00 9.835451e+00 5.062803e-01 1.315390e+00 7.760967e-01
14 6 4.061188e+00 7.231820e+00 1.797157e-01 1.392868e+00 7.348691e-01
14 7 3.702231e+00 6.814972e+00 5.722617e-01 1.851524e+00 7.067024e-01
14 8 3.641021e+00 9.985073e+00 8.806883e-01 1.563890e+00 7.402664e-01
15 1 3.580137e+00 1.078174e+01 6.656419e-01 1.326564e+00 7.662318e-01
15 2 3.459867e+00 8.860218e+00 5.362411e-01 1.463837e+00 7.976791e-01
15 3 3.562373e+00 1.077704e+01 6.919127e-01 1.344648e+00 7.670930e-01
15 4 3.916755e+00 8.860000e+00 5.196716e-01 1.450351e+00 7.096033e-01
15 6 3.939524e+00 8.452293e+00 3.616536e-01 1.375834e+00 7.363699e-01
15 7 3.431625e+00 7.220675e+00 8.910186e-01 2.048274e+00 6.923178e-01
15 8 3.590416e+00 6.503846e+00 5.497693e-01 1.902025e+00 7.143993e-01
16 1 3.680439e+00 9.351416e+00 5.700319e-01 1.425874e+00 7.366629e-01
16 2 3.138720e+00 9.494056e+00 6.664893e-01 1.479494e+00 8.498365e-01
16 3 3.615939e+00 9.521931e+00 5.846181e-01 1.415213e+00 7.484144e-01
16 5 3.864771e+00 7.393094e+00 3.151483e-01 1.491786e+00 7.880179e-01
16 6 5.606885e+00 2.899986e+00 8.193716e-08 2.498003e+00 6.172993e-01
16 7 3.746126e+00 5.809816e+00 3.099349e-01 1.824241e+00 7.058643e-01
16 8 2.877109e+00 2.246453e+01 3.894990e+00 1.764002e+00 7.341476e-01
17 1 3.466550e+00 1.065069e+01 8.884987e-01 1.492235e+00 7.376205e-01
17 2 3.106183e+00 8.675641e+00 8.987599e-01 1.777696e+00 7.766368e-01
17 3 3.524708e+00 1.094157e+01 9.102088e-01 1.472044e+00 7.310806e-01
17 4 3.601349e+00 8.850867e+00 9.338112e-01 1.774061e+00 6.734588e-01
17 5 3.513474e+00 6.141634e+00 1.152256e-01 1.531613e+00 7.980949e-01
17 6 2.806575e+00 1.421660e+01 1.529722e+00 1.505968e+00 7.673062e-01
17 7 3.850730e+00 7.627812e+00 4.564835e-01 1.586100e+00 7.257866e-01
17 8 4.555801e+00 4.142195e+00 1.061621e-01 2.071461e+00 6.783775e-01
18 1 2.972435e+00 9.713863e+00 1.217485e+00 1.844173e+00 7.377976e-01
18 3 3.106159e+00 9.528480e+00 1.150879e+00 1.828354e+00 7.086509e-01
18 5 3.578796e+00 1.221162e+01 3.964808e-01 1.024649e+00 7.864381e-01
