R C totP 
1 5 2.532943e+01 
1 6 3.289176e+01 
1 7 3.136546e+01 
2 1 3.211153e+01 
2 2 2.146930e+01 
2 3 4.079757e+01 
2 5 2.484225e+01 
2 6 2.475103e+01 
3 1 2.057075e+01 
3 2 1.968027e+01 
3 3 2.305863e+01 
3 4 2.413652e+01 
3 5 2.515778e+01 
3 8 4.038582e+01 
4 1 2.337548e+01 
4 2 2.250705e+01 
4 3 2.615869e+01 
4 4 1.202792e+02 
4 6 2.269415e+01 
4 7 3.342887e+01 
4 8 3.730201e+01 
5 1 2.230446e+01 
5 2 2.057809e+01 
5 4 4.770524e+01 
5 6 2.744819e+01 
5 7 4.202194e+01 
5 8 9.853977e+01 
6 1 2.160851e+01 
6 2 1.939160e+01 
6 3 2.344381e+01 
6 4 2.008733e+01 
6 6 2.270655e+01 
6 8 3.953283e+01 
7 1 2.163727e+01 
7 2 2.435268e+01 
7 3 7.862574e+01 
7 4 3.043546e+01 
7 7 3.771322e+01 
8 1 2.632543e+01 
8 2 1.948738e+01 
8 3 2.463040e+01 
8 4 2.490931e+01 
8 5 7.589932e+01 
8 6 2.486076e+01 
8 7 2.721565e+01 
9 1 2.256647e+01 
9 2 2.173692e+01 
9 3 2.249585e+01 
9 4 2.338367e+01 
9 6 2.174996e+01 
9 7 2.346424e+01 
9 8 1.186812e+02 
10 1 2.395126e+01 
10 3 3.281538e+01 
10 7 2.704632e+01 
10 8 2.998072e+01 
11 1 2.338578e+01 
11 2 2.604372e+01 
11 3 1.865735e+01 
11 4 2.491074e+01 
11 5 2.388640e+01 
11 7 2.731603e+01 
11 8 3.175668e+01 
12 1 2.028304e+01 
12 2 1.934586e+01 
12 3 2.874023e+01 
12 5 2.457319e+01 
12 8 2.859702e+01 
13 1 2.434829e+01 
13 2 1.937967e+01 
13 3 2.425935e+01 
13 4 2.395155e+01 
13 5 2.997157e+01 
13 6 2.563621e+01 
13 7 2.409682e+01 
13 8 2.926113e+01 
14 1 2.577741e+01 
14 2 2.051906e+01 
14 3 3.227963e+01 
14 4 2.328839e+01 
14 5 2.513490e+01 
14 6 2.497233e+01 
14 7 2.297061e+01 
14 8 2.940084e+01 
15 1 2.622904e+01 
15 2 2.284632e+01 
15 3 2.351884e+01 
15 4 2.457715e+01 
15 6 3.009367e+01 
15 7 2.678496e+01 
15 8 2.737315e+01 
16 1 2.603485e+01 
16 2 2.270881e+01 
16 3 2.569682e+01 
16 5 2.133960e+01 
16 6 1.964477e+01 
16 7 2.315230e+01 
16 8 1.169908e+02 
17 1 2.587036e+01 
17 2 2.363352e+01 
17 3 2.525896e+01 
17 4 3.478810e+01 
17 5 1.968676e+01 
17 6 2.726905e+01 
17 7 2.316577e+01 
17 8 2.375582e+01 
18 1 4.685920e+01 
18 3 2.703531e+01 
18 5 2.830381e+01 
18 6 2.459897e+01 
18 8 2.736031e+01 
19 1 2.377487e+01 
19 2 2.376997e+01 
19 3 2.555193e+01 
19 4 2.487092e+01 
19 5 4.130743e+01 
19 6 2.731312e+01 
19 7 2.899665e+01 
19 8 2.787826e+01 
20 1 2.619895e+01 
20 3 2.978658e+01 
20 5 2.423451e+01 
20 6 2.565915e+01 
20 7 2.304691e+01 
20 8 2.710316e+01 
21 1 2.600974e+01 
21 2 2.528238e+01 
21 3 3.010494e+01 
21 4 2.521928e+01 
21 5 2.436959e+01 
21 6 2.556092e+01 
21 7 2.393524e+01 
21 8 3.063827e+01 
22 1 2.433724e+01 
22 2 2.614253e+01 
22 4 2.614928e+01 
22 5 2.748790e+01 
22 6 2.577041e+01 
23 1 2.236278e+01 
23 2 3.430005e+01 
23 3 2.504845e+01 
23 4 2.604703e+01 
23 5 2.545530e+01 
23 6 2.532087e+01 
23 8 2.885771e+01 
24 2 2.942222e+01 
24 4 2.657926e+01 
24 6 2.394148e+01 
24 7 2.822553e+01 
24 8 2.719446e+01 
25 1 2.393026e+01 
25 2 2.516731e+01 
25 3 3.003037e+01 
25 4 7.148152e+01 
25 5 2.499436e+01 
25 6 2.051368e+01 
25 7 2.539007e+01 
25 8 3.017953e+01 
26 1 2.233452e+01 
26 2 3.023630e+01 
26 3 3.998269e+01 
26 4 7.929690e+01 
26 5 2.646056e+01 
26 6 2.568554e+01 
26 7 2.625770e+01 
26 8 7.715077e+01 
27 1 3.342516e+01 
27 2 2.184628e+01 
27 3 2.483713e+01 
27 4 2.694184e+01 
27 5 2.318385e+01 
27 6 2.401754e+01 
27 7 2.834919e+01 
28 1 2.193494e+01 
28 2 2.312572e+01 
28 3 2.682242e+01 
28 4 3.348763e+01 
28 5 5.758184e+01 
28 6 2.373701e+01 
28 7 3.189993e+01 
29 1 2.060264e+01 
29 2 2.584304e+01 
29 3 3.386669e+01 
29 4 3.015795e+01 
29 5 2.185943e+01 
29 6 2.818447e+01 
29 7 6.690739e+01 
30 1 4.034259e+01 
30 3 2.409620e+01 
30 4 NaN 
30 5 3.613535e+01 
30 6 3.284718e+01 
30 8 NaN 
31 1 2.177329e+01 
31 2 3.118095e+01 
31 4 2.942943e+01 
31 5 2.500835e+01 
31 6 2.764478e+01 
31 7 2.375332e+01 
31 8 2.974310e+01 
32 1 2.774150e+01 
32 2 2.365647e+01 
32 3 2.719245e+01 
32 7 2.677923e+01 
