f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
4.768372e-01 4.560384e-10 4.936904e-10 5.475981e-10 5.816461e-10 6.379058e-10 7.149965e-10 7.257163e-10 8.007237e-10 1.127013e-15 1.124879e-15 1.122256e-15 1.120974e-15 1.119817e-15 1.118795e-15 1.118721e-15 1.118155e-15 
7.152557e-01 4.559981e-10 4.936521e-10 5.475628e-10 5.816105e-10 6.378731e-10 7.149719e-10 7.256862e-10 8.006986e-10 1.126913e-15 1.124791e-15 1.122184e-15 1.120905e-15 1.119760e-15 1.118757e-15 1.118675e-15 1.118120e-15 
9.536743e-01 4.559416e-10 4.935984e-10 5.475133e-10 5.815606e-10 6.378274e-10 7.149375e-10 7.256440e-10 8.006634e-10 1.126774e-15 1.124669e-15 1.122082e-15 1.120809e-15 1.119679e-15 1.118703e-15 1.118610e-15 1.118071e-15 
1.192093e+00 4.558691e-10 4.935294e-10 5.474498e-10 5.814965e-10 6.377686e-10 7.148933e-10 7.255899e-10 8.006182e-10 1.126595e-15 1.124512e-15 1.121952e-15 1.120685e-15 1.119576e-15 1.118634e-15 1.118526e-15 1.118008e-15 
1.430511e+00 4.557806e-10 4.934451e-10 5.473722e-10 5.814182e-10 6.376968e-10 7.148393e-10 7.255237e-10 8.005629e-10 1.126376e-15 1.124320e-15 1.121793e-15 1.120535e-15 1.119450e-15 1.118549e-15 1.118424e-15 1.117931e-15 
1.668930e+00 4.556760e-10 4.933456e-10 5.472805e-10 5.813257e-10 6.376120e-10 7.147755e-10 7.254455e-10 8.004977e-10 1.126117e-15 1.124093e-15 1.121605e-15 1.120356e-15 1.119301e-15 1.118449e-15 1.118304e-15 1.117840e-15 
1.907349e+00 4.555554e-10 4.932309e-10 5.471747e-10 5.812190e-10 6.375141e-10 7.147019e-10 7.253553e-10 8.004224e-10 1.125819e-15 1.123832e-15 1.121389e-15 1.120151e-15 1.119129e-15 1.118334e-15 1.118164e-15 1.117735e-15 
2.145767e+00 4.554189e-10 4.931009e-10 5.470550e-10 5.810981e-10 6.374033e-10 7.146185e-10 7.252531e-10 8.003371e-10 1.125482e-15 1.123535e-15 1.121143e-15 1.119918e-15 1.118935e-15 1.118203e-15 1.118007e-15 1.117615e-15 
2.384186e+00 4.552664e-10 4.929558e-10 5.469212e-10 5.809632e-10 6.372795e-10 7.145253e-10 7.251389e-10 8.002418e-10 1.125105e-15 1.123205e-15 1.120869e-15 1.119658e-15 1.118717e-15 1.118058e-15 1.117831e-15 1.117482e-15 
2.622604e+00 4.550982e-10 4.927956e-10 5.467735e-10 5.808141e-10 6.371427e-10 7.144223e-10 7.250128e-10 8.001365e-10 1.124689e-15 1.122840e-15 1.120566e-15 1.119370e-15 1.118477e-15 1.117897e-15 1.117637e-15 1.117335e-15 
