t            ydata32k     ydata31k     ydata30k     ydata29k     ydata28k     ydata27k     ydata26k     ydata25k     yfit32k      yfit31k      yfit30k      yfit29k      yfit28k      yfit27k      yfit26k      yfit25k      
0.000000e+00 -5.998151e-04 -3.366216e-04 1.322699e-03 9.574654e-04 4.917491e-04 -1.670571e-03 -7.997847e-04 -2.189219e-03 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
6.400000e-02 3.259906e-04 -7.906272e-05 1.339371e-03 8.609300e-04 -5.079599e-04 -1.533960e-03 -1.357284e-03 -3.483220e-04 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
1.280000e-01 -5.038223e-04 -1.744069e-03 2.261829e-03 3.593539e-05 1.763164e-04 -7.885414e-04 -9.609744e-04 3.273434e-04 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
1.920000e-01 -4.261267e-04 -1.248480e-03 2.546911e-03 -7.586474e-04 -3.470816e-04 -2.955171e-04 -9.341027e-04 -4.990248e-04 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
2.560000e-01 -6.841976e-04 -1.952974e-03 1.144414e-03 1.023581e-03 -4.948479e-04 1.119257e-03 -2.031002e-03 -1.377331e-03 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
3.200000e-01 -7.206735e-04 -1.720510e-03 1.920137e-04 8.443218e-04 -6.189924e-04 2.697617e-04 -1.383198e-03 -1.699514e-03 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
3.840000e-01 -1.280784e-03 2.028765e-04 5.097772e-04 -9.157736e-05 -5.311174e-04 3.736736e-04 -1.546042e-03 -2.822628e-03 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
4.480000e-01 -2.116943e-04 -1.171435e-04 -6.255432e-04 -7.345689e-04 -1.290535e-04 6.858661e-04 -1.324296e-03 -2.558105e-03 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
5.120000e-01 9.223977e-04 3.509121e-04 -1.345405e-03 -8.642769e-04 5.479837e-04 4.471623e-04 -7.205549e-04 -2.919083e-03 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
5.760000e-01 -2.390799e-04 5.490954e-05 -1.054538e-03 -2.635539e-04 -3.968395e-04 -3.611286e-04 -5.491878e-04 -3.120352e-03 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00 
