t            Tb_tes       
0.000000e+00 -7.803422e-02 
3.200000e-02 -7.825250e-02 
6.400000e-02 -8.098108e-02 
9.600000e-02 -7.252249e-02 
1.280000e-01 -9.173167e-02 
1.600000e-01 -7.879822e-02 
1.920000e-01 -7.907108e-02 
2.240000e-01 -9.178624e-02 
2.560000e-01 -7.781593e-02 
2.880000e-01 -8.545594e-02 
3.200000e-01 -8.076279e-02 
3.520000e-01 -8.316394e-02 
3.840000e-01 -7.470535e-02 
4.160000e-01 -7.928936e-02 
4.480000e-01 -8.354594e-02 
4.800000e-01 -8.403708e-02 
5.120000e-01 -8.545594e-02 
5.440000e-01 -8.392794e-02 
5.760000e-01 -8.294565e-02 
6.080000e-01 -8.043536e-02 
6.400000e-01 -8.430994e-02 
6.720000e-01 -8.676566e-02 
7.040000e-01 -7.574221e-02 
7.360000e-01 -7.514193e-02 
7.680000e-01 -7.923479e-02 
8.000000e-01 -8.158137e-02 
8.320000e-01 -8.485566e-02 
8.640000e-01 -8.070822e-02 
8.960000e-01 -8.098108e-02 
9.280000e-01 -8.005336e-02 
9.600000e-01 -7.896193e-02 
9.920000e-01 -7.415964e-02 
1.024000e+00 -7.983508e-02 
1.056000e+00 -8.125394e-02 
1.088000e+00 -8.092651e-02 
1.120000e+00 -8.922138e-02 
1.152000e+00 -7.672450e-02 
1.184000e+00 -7.950765e-02 
1.216000e+00 -8.070822e-02 
1.248000e+00 -8.643823e-02 
1.280000e+00 -7.295907e-02 
1.312000e+00 -8.098108e-02 
1.344000e+00 -7.372307e-02 
1.376000e+00 -7.574221e-02 
1.408000e+00 -8.343680e-02 
1.440000e+00 -7.950765e-02 
1.472000e+00 -8.458280e-02 
1.504000e+00 -8.796623e-02 
1.536000e+00 -8.185422e-02 
1.568000e+00 -8.370965e-02 
1.600000e+00 -7.606964e-02 
1.632000e+00 -8.616537e-02 
1.664000e+00 -8.169051e-02 
1.696000e+00 -8.316394e-02 
1.728000e+00 -8.338223e-02 
1.760000e+00 -7.650621e-02 
1.792000e+00 -7.961679e-02 
1.824000e+00 -8.720223e-02 
1.856000e+00 -8.349137e-02 
1.888000e+00 -8.179965e-02 
1.920000e+00 -7.879822e-02 
1.952000e+00 -8.141765e-02 
1.984000e+00 -8.272737e-02 
2.016000e+00 -7.666993e-02 
2.048000e+00 -8.081736e-02 
2.080000e+00 -7.825250e-02 
2.112000e+00 -8.016251e-02 
2.144000e+00 -7.426878e-02 
2.176000e+00 -7.421421e-02 
2.208000e+00 -7.732479e-02 
2.240000e+00 -8.147222e-02 
2.272000e+00 -7.928936e-02 
2.304000e+00 -7.879822e-02 
2.336000e+00 -8.027165e-02 
2.368000e+00 -7.552393e-02 
2.400000e+00 -7.967136e-02 
2.432000e+00 -7.912565e-02 
2.464000e+00 -8.261822e-02 
2.496000e+00 -8.114479e-02 
2.528000e+00 -8.310937e-02 
2.560000e+00 -7.606964e-02 
2.592000e+00 -7.994422e-02 
2.624000e+00 -7.857993e-02 
2.656000e+00 -7.546936e-02 
2.688000e+00 -7.759764e-02 
2.720000e+00 -8.600166e-02 
2.752000e+00 -7.366850e-02 
2.784000e+00 -7.978051e-02 
2.816000e+00 -7.945308e-02 
2.848000e+00 -8.010793e-02 
2.880000e+00 -7.443250e-02 
2.912000e+00 -8.119936e-02 
2.944000e+00 -8.420080e-02 
2.976000e+00 -7.481450e-02 
3.008000e+00 -8.010793e-02 
3.040000e+00 -7.312278e-02 
3.072000e+00 -7.677907e-02 
3.104000e+00 -7.345021e-02 
3.136000e+00 -7.503278e-02 
3.168000e+00 -6.979392e-02 
3.200000e+00 -7.388678e-02 
3.232000e+00 -7.306821e-02 
3.264000e+00 -8.223622e-02 
3.296000e+00 -7.421421e-02 
3.328000e+00 -7.077620e-02 
3.360000e+00 -8.038079e-02 
3.392000e+00 -7.536021e-02 
3.424000e+00 -8.403708e-02 
3.456000e+00 -7.743393e-02 
3.488000e+00 -7.639707e-02 
3.520000e+00 -8.376423e-02 
3.552000e+00 -8.043536e-02 
3.584000e+00 -8.583794e-02 
3.616000e+00 -7.781593e-02 
3.648000e+00 -7.776136e-02 
3.680000e+00 -8.021708e-02 
3.712000e+00 -8.179965e-02 
3.744000e+00 -8.256365e-02 
3.776000e+00 -7.830707e-02 
3.808000e+00 -7.847079e-02 
3.840000e+00 -7.765222e-02 
3.872000e+00 -7.770679e-02 
3.904000e+00 -6.766563e-02 
3.936000e+00 -7.295907e-02 
3.968000e+00 -7.781593e-02 
4.000000e+00 -7.606964e-02 
4.032000e+00 -7.366850e-02 
4.064000e+00 -7.383221e-02 
4.096000e+00 -7.759764e-02 
4.128000e+00 -7.825250e-02 
4.160000e+00 -7.012135e-02 
4.192000e+00 -8.021708e-02 
4.224000e+00 -8.179965e-02 
4.256000e+00 -7.727022e-02 
4.288000e+00 -7.410507e-02 
4.320000e+00 -7.388678e-02 
4.352000e+00 -8.218165e-02 
4.384000e+00 -7.694279e-02 
4.416000e+00 -6.832049e-02 
4.448000e+00 -7.956222e-02 
4.480000e+00 -7.694279e-02 
4.512000e+00 -8.381880e-02 
4.544000e+00 -7.661536e-02 
4.576000e+00 -7.623336e-02 
4.608000e+00 -6.973935e-02 
4.640000e+00 -7.508735e-02 
4.672000e+00 -7.437792e-02 
4.704000e+00 -7.601507e-02 
4.736000e+00 -7.950765e-02 
4.768000e+00 -7.470535e-02 
4.800000e+00 -8.010793e-02 
4.832000e+00 -6.995763e-02 
4.864000e+00 -7.263164e-02 
4.896000e+00 -7.847079e-02 
4.928000e+00 -7.377764e-02 
4.960000e+00 -7.366850e-02 
4.992000e+00 -8.234537e-02 
5.024000e+00 -7.536021e-02 
5.056000e+00 -7.912565e-02 
5.088000e+00 -7.541478e-02 
5.120000e+00 -8.136308e-02 
5.152000e+00 -8.043536e-02 
5.184000e+00 -7.978051e-02 
5.216000e+00 -7.557850e-02 
5.248000e+00 -6.428219e-02 
5.280000e+00 -7.459621e-02 
5.312000e+00 -7.939850e-02 
5.344000e+00 -7.557850e-02 
5.376000e+00 -7.699736e-02 
5.408000e+00 -7.808879e-02 
5.440000e+00 -6.952106e-02 
5.472000e+00 -7.224964e-02 
5.504000e+00 -6.684706e-02 
5.536000e+00 -8.032622e-02 
5.568000e+00 -7.967136e-02 
5.600000e+00 -7.426878e-02 
5.632000e+00 -7.617879e-02 
5.664000e+00 -8.212708e-02 
5.696000e+00 -7.661536e-02 
5.728000e+00 -8.714766e-02 
5.760000e+00 -8.300022e-02 
5.792000e+00 -7.437792e-02 
5.824000e+00 -6.859334e-02 
5.856000e+00 -7.623336e-02 
5.888000e+00 -7.776136e-02 
5.920000e+00 -7.481450e-02 
5.952000e+00 -8.119936e-02 
5.984000e+00 -6.930277e-02 
6.016000e+00 -7.776136e-02 
6.048000e+00 -7.781593e-02 
6.080000e+00 -7.923479e-02 
6.112000e+00 -8.152679e-02 
6.144000e+00 -7.956222e-02 
6.176000e+00 -7.710650e-02 
6.208000e+00 -7.885279e-02 
6.240000e+00 -8.201794e-02 
6.272000e+00 -8.098108e-02 
6.304000e+00 -7.596050e-02 
6.336000e+00 -7.945308e-02 
6.368000e+00 -7.536021e-02 
6.400000e+00 -7.579678e-02 
6.432000e+00 -7.596050e-02 
6.464000e+00 -7.803422e-02 
6.496000e+00 -7.874365e-02 
6.528000e+00 -8.294565e-02 
6.560000e+00 -7.530564e-02 
6.592000e+00 -7.394135e-02 
6.624000e+00 -7.743393e-02 
6.656000e+00 -7.536021e-02 
6.688000e+00 -7.563307e-02 
6.720000e+00 -8.081736e-02 
6.752000e+00 -7.672450e-02 
6.784000e+00 -8.474651e-02 
6.816000e+00 -7.301364e-02 
6.848000e+00 -7.956222e-02 
6.880000e+00 -7.983508e-02 
6.912000e+00 -7.754307e-02 
6.944000e+00 -8.392794e-02 
6.976000e+00 -7.306821e-02 
7.008000e+00 -7.399592e-02 
7.040000e+00 -8.245451e-02 
7.072000e+00 -7.639707e-02 
7.104000e+00 -8.223622e-02 
7.136000e+00 -8.316394e-02 
7.168000e+00 -7.459621e-02 
7.200000e+00 -7.334107e-02 
7.232000e+00 -7.901650e-02 
7.264000e+00 -8.403708e-02 
7.296000e+00 -7.907108e-02 
7.328000e+00 -7.219506e-02 
7.360000e+00 -7.890736e-02 
7.392000e+00 -8.027165e-02 
7.424000e+00 -8.496480e-02 
7.456000e+00 -7.939850e-02 
7.488000e+00 -7.808879e-02 
7.520000e+00 -7.519650e-02 
7.552000e+00 -7.983508e-02 
7.584000e+00 -8.414623e-02 
7.616000e+00 -7.574221e-02 
7.648000e+00 -7.907108e-02 
7.680000e+00 -7.754307e-02 
7.712000e+00 -8.048994e-02 
7.744000e+00 -7.814336e-02 
7.776000e+00 -7.808879e-02 
7.808000e+00 -8.185422e-02 
7.840000e+00 -9.156795e-02 
7.872000e+00 -8.403708e-02 
7.904000e+00 -8.403708e-02 
7.936000e+00 -7.514193e-02 
7.968000e+00 -7.879822e-02 
8.000000e+00 -8.092651e-02 
8.032000e+00 -8.867566e-02 
8.064000e+00 -7.186764e-02 
8.096000e+00 -8.420080e-02 
8.128000e+00 -7.737936e-02 
8.160000e+00 -8.316394e-02 
8.192000e+00 -8.589252e-02 
8.224000e+00 -7.541478e-02 
8.256000e+00 -7.432335e-02 
8.288000e+00 -7.345021e-02 
8.320000e+00 -7.803422e-02 
8.352000e+00 -8.747509e-02 
8.384000e+00 -8.294565e-02 
8.416000e+00 -7.836165e-02 
8.448000e+00 -7.596050e-02 
8.480000e+00 -8.092651e-02 
8.512000e+00 -8.119936e-02 
8.544000e+00 -7.967136e-02 
8.576000e+00 -8.616537e-02 
8.608000e+00 -8.261822e-02 
8.640000e+00 -7.759764e-02 
8.672000e+00 -7.857993e-02 
8.704000e+00 -8.474651e-02 
8.736000e+00 -7.115821e-02 
8.768000e+00 -7.301364e-02 
8.800000e+00 -7.721564e-02 
8.832000e+00 -8.087194e-02 
8.864000e+00 -7.454164e-02 
8.896000e+00 -8.212708e-02 
8.928000e+00 -7.617879e-02 
8.960000e+00 -8.070822e-02 
8.992000e+00 -7.159478e-02 
9.024000e+00 -7.863450e-02 
9.056000e+00 -7.525107e-02 
9.088000e+00 -7.737936e-02 
9.120000e+00 -8.447366e-02 
9.152000e+00 -8.114479e-02 
9.184000e+00 -7.650621e-02 
