freq         Pxx_raw      Pxx_cm       Pxx_nocm     Pxx_nocm_np  
1.562500e-03 1.421138e-06 1.411745e-06 2.822976e-08 1.056006e-08 
3.125000e-03 1.506291e-06 1.496288e-06 2.818908e-08 9.369111e-09 
4.687500e-03 1.221931e-06 1.210083e-06 2.495558e-08 8.770411e-09 
6.250000e-03 1.178970e-06 1.171639e-06 2.056486e-08 8.924680e-09 
7.812500e-03 9.087634e-07 9.063835e-07 1.034972e-08 9.192400e-09 
9.375000e-03 8.625126e-07 8.570586e-07 8.435973e-09 6.782335e-09 
1.093750e-02 7.326491e-07 7.281454e-07 7.703112e-09 7.060253e-09 
1.250000e-02 7.455281e-07 7.405231e-07 6.412139e-09 5.531237e-09 
1.406250e-02 5.043340e-07 4.983593e-07 7.078765e-09 5.926414e-09 
1.562500e-02 4.356075e-07 4.316420e-07 5.759139e-09 5.103974e-09 
1.718750e-02 4.146413e-07 4.099150e-07 6.017346e-09 5.055646e-09 
1.875000e-02 3.101407e-07 3.058849e-07 6.020416e-09 5.300869e-09 
2.031250e-02 3.235968e-07 3.186541e-07 6.246526e-09 5.379495e-09 
2.187500e-02 2.621760e-07 2.599952e-07 3.910209e-09 3.530830e-09 
2.343750e-02 2.922465e-07 2.897386e-07 4.272016e-09 3.708485e-09 
2.500000e-02 2.548211e-07 2.533425e-07 3.464376e-09 3.119891e-09 
2.656250e-02 1.977968e-07 1.954049e-07 3.705257e-09 3.207707e-09 
2.812500e-02 1.775152e-07 1.759556e-07 2.559402e-09 2.186985e-09 
2.968750e-02 1.697496e-07 1.684201e-07 2.235040e-09 1.819112e-09 
3.125000e-02 1.159820e-07 1.149436e-07 2.192801e-09 1.865481e-09 
3.281250e-02 1.130421e-07 1.121225e-07 2.109601e-09 1.797440e-09 
3.437500e-02 1.323586e-07 1.316204e-07 2.281310e-09 2.106186e-09 
3.593750e-02 1.449153e-07 1.439258e-07 2.468696e-09 2.306141e-09 
3.750000e-02 1.337194e-07 1.335602e-07 2.526208e-09 2.589067e-09 
3.906250e-02 1.400097e-07 1.387438e-07 3.703690e-09 3.491262e-09 
4.062500e-02 1.171631e-07 1.174219e-07 3.390385e-09 3.419978e-09 
4.218750e-02 1.132514e-07 1.124886e-07 4.080355e-09 3.888539e-09 
4.375000e-02 1.135374e-07 1.122985e-07 4.523490e-09 4.391231e-09 
4.531250e-02 9.541604e-08 9.374612e-08 4.491665e-09 4.328794e-09 
4.687500e-02 8.758681e-08 8.673409e-08 4.213536e-09 4.110345e-09 
4.843750e-02 9.299940e-08 9.152831e-08 4.519896e-09 4.349232e-09 
5.000000e-02 8.568457e-08 8.601011e-08 3.860132e-09 3.943455e-09 
5.156250e-02 7.890125e-08 7.805464e-08 3.737330e-09 3.676835e-09 
5.312500e-02 7.917666e-08 7.866626e-08 3.432531e-09 3.486319e-09 
5.468750e-02 7.907142e-08 7.856306e-08 3.046608e-09 3.025247e-09 
5.625000e-02 7.090371e-08 6.972714e-08 2.696446e-09 2.537185e-09 
5.781250e-02 6.214741e-08 6.212656e-08 2.793231e-09 2.824010e-09 
5.937500e-02 6.504671e-08 6.389299e-08 2.894793e-09 2.786710e-09 
6.093750e-02 6.901153e-08 6.773839e-08 2.532797e-09 2.358968e-09 
6.250000e-02 6.557472e-08 6.455876e-08 2.448871e-09 2.312448e-09 
6.406250e-02 5.296902e-08 5.198305e-08 2.436266e-09 2.305725e-09 
6.562500e-02 5.778151e-08 5.706302e-08 2.312727e-09 2.200723e-09 
6.718750e-02 6.400569e-08 6.292962e-08 2.278799e-09 2.121351e-09 
6.875000e-02 6.329304e-08 6.161022e-08 2.355407e-09 2.110042e-09 
7.031250e-02 4.698315e-08 4.645487e-08 1.665923e-09 1.573208e-09 
7.187500e-02 5.384534e-08 5.376629e-08 1.615875e-09 1.626476e-09 
7.343750e-02 4.959523e-08 4.864743e-08 1.919777e-09 1.810520e-09 
7.500000e-02 4.867334e-08 4.792543e-08 1.820946e-09 1.746028e-09 
7.656250e-02 5.580816e-08 5.487931e-08 2.223571e-09 2.111800e-09 
7.812500e-02 5.287173e-08 5.271638e-08 2.264978e-09 2.278684e-09 
7.968750e-02 5.614321e-08 5.578988e-08 2.278118e-09 2.268990e-09 
8.125000e-02 5.802146e-08 5.752544e-08 2.295545e-09 2.263693e-09 
8.281250e-02 5.413114e-08 5.383863e-08 2.129961e-09 2.103274e-09 
8.437500e-02 5.093696e-08 5.141429e-08 1.874219e-09 1.961832e-09 
8.593750e-02 5.739754e-08 5.779926e-08 1.805687e-09 1.891049e-09 
8.750000e-02 4.564446e-08 4.503070e-08 1.753934e-09 1.716886e-09 
8.906250e-02 4.665307e-08 4.527875e-08 2.486485e-09 2.364644e-09 
9.062500e-02 4.354583e-08 4.282410e-08 2.372103e-09 2.306448e-09 
9.218750e-02 4.570937e-08 4.515909e-08 2.869805e-09 2.818265e-09 
9.375000e-02 4.130581e-08 4.191327e-08 3.431408e-09 3.461522e-09 
9.531250e-02 4.226031e-08 4.265534e-08 3.401452e-09 3.416883e-09 
9.687500e-02 3.627286e-08 3.737549e-08 3.547412e-09 3.602234e-09 
9.843750e-02 3.833405e-08 4.028341e-08 3.462524e-09 3.582009e-09 
1.000000e-01 3.194237e-08 3.430820e-08 3.372967e-09 3.523326e-09 
1.015625e-01 3.082422e-08 3.170481e-08 3.216858e-09 3.273981e-09 
1.031250e-01 3.435138e-08 3.428458e-08 3.420911e-09 3.425072e-09 
1.046875e-01 3.498350e-08 3.374472e-08 3.000547e-09 2.916519e-09 
1.062500e-01 3.891829e-08 3.736951e-08 2.900242e-09 2.818225e-09 
1.078125e-01 4.061680e-08 3.939931e-08 2.820008e-09 2.751867e-09 
1.093750e-01 4.047599e-08 3.867280e-08 2.983076e-09 2.878202e-09 
1.109375e-01 4.277490e-08 4.089506e-08 2.990654e-09 2.880594e-09 
1.125000e-01 3.595099e-08 3.540268e-08 2.513581e-09 2.479921e-09 
1.140625e-01 3.550286e-08 3.513643e-08 2.568371e-09 2.548360e-09 
1.156250e-01 3.317460e-08 3.397841e-08 2.491797e-09 2.561684e-09 
1.171875e-01 3.351821e-08 3.472365e-08 2.629789e-09 2.729565e-09 
1.187500e-01 3.437572e-08 3.428712e-08 2.843666e-09 2.833710e-09 
1.203125e-01 3.580227e-08 3.598148e-08 2.609153e-09 2.623247e-09 
1.218750e-01 3.389858e-08 3.436710e-08 2.935939e-09 2.962742e-09 
1.234375e-01 3.380418e-08 3.391685e-08 2.995809e-09 2.993748e-09 
1.250000e-01 3.314695e-08 3.328144e-08 2.539054e-09 2.543711e-09 
1.265625e-01 3.430323e-08 3.356504e-08 2.704416e-09 2.642697e-09 
1.281250e-01 3.129884e-08 3.070528e-08 2.598954e-09 2.535426e-09 
1.296875e-01 3.089588e-08 3.093776e-08 2.206945e-09 2.194316e-09 
1.312500e-01 2.567200e-08 2.581463e-08 2.260839e-09 2.263635e-09 
1.328125e-01 2.919248e-08 2.881657e-08 2.034224e-09 2.000541e-09 
1.343750e-01 2.808872e-08 2.747139e-08 1.990200e-09 1.941605e-09 
1.359375e-01 2.608932e-08 2.513618e-08 1.939894e-09 1.896667e-09 
1.375000e-01 2.738760e-08 2.648457e-08 1.897318e-09 1.865791e-09 
1.390625e-01 2.983598e-08 2.945075e-08 2.058737e-09 2.060265e-09 
1.406250e-01 3.147578e-08 3.056609e-08 2.091583e-09 2.052283e-09 
1.421875e-01 3.220310e-08 3.084832e-08 2.253956e-09 2.172240e-09 
1.437500e-01 2.881256e-08 2.841659e-08 2.347223e-09 2.338522e-09 
1.453125e-01 2.705677e-08 2.720551e-08 2.686510e-09 2.708853e-09 
1.468750e-01 2.696686e-08 2.771453e-08 2.798816e-09 2.854650e-09 
1.484375e-01 2.316776e-08 2.447627e-08 2.769390e-09 2.845876e-09 
1.500000e-01 2.300250e-08 2.345939e-08 2.664014e-09 2.693280e-09 
1.515625e-01 2.391863e-08 2.481319e-08 2.849157e-09 2.901381e-09 
1.531250e-01 2.581044e-08 2.615969e-08 2.811192e-09 2.832967e-09 
1.546875e-01 2.522120e-08 2.441014e-08 2.629516e-09 2.592102e-09 
1.562500e-01 2.496703e-08 2.476809e-08 2.371982e-09 2.376847e-09 
1.578125e-01 2.622350e-08 2.505472e-08 2.481360e-09 2.415886e-09 
1.593750e-01 2.655243e-08 2.635855e-08 2.554793e-09 2.549739e-09 
1.609375e-01 2.371371e-08 2.443232e-08 2.978943e-09 3.018188e-09 
1.625000e-01 2.290277e-08 2.351710e-08 2.658246e-09 2.699183e-09 
1.640625e-01 2.226847e-08 2.291410e-08 2.676873e-09 2.716842e-09 
1.656250e-01 2.384495e-08 2.402210e-08 2.746140e-09 2.764512e-09 
1.671875e-01 2.250178e-08 2.247321e-08 2.589683e-09 2.599816e-09 
1.687500e-01 2.073553e-08 2.060687e-08 2.915950e-09 2.918080e-09 
1.703125e-01 2.337920e-08 2.284342e-08 2.477631e-09 2.448498e-09 
1.718750e-01 2.449655e-08 2.390452e-08 2.374063e-09 2.334823e-09 
1.734375e-01 2.294959e-08 2.292891e-08 2.202316e-09 2.196172e-09 
1.750000e-01 2.302886e-08 2.303176e-08 2.591750e-09 2.595020e-09 
1.765625e-01 2.240462e-08 2.165558e-08 3.229876e-09 3.196653e-09 
1.781250e-01 2.438535e-08 2.299880e-08 3.477869e-09 3.417434e-09 
1.796875e-01 2.473833e-08 2.379345e-08 3.404342e-09 3.362164e-09 
1.812500e-01 2.329578e-08 2.142345e-08 3.411394e-09 3.338876e-09 
1.828125e-01 2.293522e-08 2.056153e-08 3.407444e-09 3.321039e-09 
