Popt         G            n            Tc           Gerr         nerr         Tcerr
0.000000e+00 6.049346e+00 3.410728e+00 1.190341e+03 1.306487e-01 2.432779e-01 1.045050e+00
1.000000e+01 6.069585e+00 3.410728e+00 1.191991e+03 1.326711e-01 2.432779e-01 1.079021e+00
2.000000e+01 6.089795e+00 3.410728e+00 1.193636e+03 1.346924e-01 2.432779e-01 1.113382e+00
3.000000e+01 6.109978e+00 3.410728e+00 1.195276e+03 1.367126e-01 2.432779e-01 1.148124e+00
4.000000e+01 6.130133e+00 3.410728e+00 1.196910e+03 1.387315e-01 2.432779e-01 1.183237e+00
5.000000e+01 6.150260e+00 3.410728e+00 1.198538e+03 1.407493e-01 2.432779e-01 1.218710e+00
6.000000e+01 6.170361e+00 3.410728e+00 1.200161e+03 1.427658e-01 2.432780e-01 1.254536e+00
7.000000e+01 6.190434e+00 3.410728e+00 1.201779e+03 1.447811e-01 2.432780e-01 1.290706e+00
8.000000e+01 6.210480e+00 3.410728e+00 1.203392e+03 1.467950e-01 2.432780e-01 1.327211e+00
9.000000e+01 6.230499e+00 3.410728e+00 1.205000e+03 1.488077e-01 2.432780e-01 1.364044e+00
1.000000e+02 6.250492e+00 3.410728e+00 1.206602e+03 1.508191e-01 2.432780e-01 1.401198e+00
1.100000e+02 6.270458e+00 3.410728e+00 1.208200e+03 1.528291e-01 2.432780e-01 1.438665e+00
1.200000e+02 6.290398e+00 3.410728e+00 1.209792e+03 1.548378e-01 2.432780e-01 1.476438e+00
1.300000e+02 6.310312e+00 3.410728e+00 1.211379e+03 1.568451e-01 2.432780e-01 1.514512e+00
1.400000e+02 6.330200e+00 3.410728e+00 1.212961e+03 1.588510e-01 2.432780e-01 1.552879e+00
1.500000e+02 6.350062e+00 3.410728e+00 1.214539e+03 1.608556e-01 2.432780e-01 1.591534e+00
1.600000e+02 6.369898e+00 3.410728e+00 1.216111e+03 1.628588e-01 2.432780e-01 1.630471e+00
1.700000e+02 6.389708e+00 3.410728e+00 1.217678e+03 1.648606e-01 2.432780e-01 1.669684e+00
1.800000e+02 6.409493e+00 3.410728e+00 1.219241e+03 1.668609e-01 2.432780e-01 1.709168e+00
1.900000e+02 6.429253e+00 3.410728e+00 1.220799e+03 1.688599e-01 2.432780e-01 1.748918e+00
2.000000e+02 6.448987e+00 3.410728e+00 1.222352e+03 1.708574e-01 2.432780e-01 1.788927e+00
2.100000e+02 6.468697e+00 3.410728e+00 1.223900e+03 1.728536e-01 2.432780e-01 1.829192e+00
2.200000e+02 6.488382e+00 3.410728e+00 1.225444e+03 1.748482e-01 2.432781e-01 1.869708e+00
2.300000e+02 6.508042e+00 3.410728e+00 1.226982e+03 1.768415e-01 2.432781e-01 1.910469e+00
2.400000e+02 6.527677e+00 3.410728e+00 1.228517e+03 1.788334e-01 2.432781e-01 1.951472e+00
2.500000e+02 6.547288e+00 3.410728e+00 1.230046e+03 1.808238e-01 2.432781e-01 1.992712e+00
2.600000e+02 6.566874e+00 3.410728e+00 1.231571e+03 1.828127e-01 2.432781e-01 2.034184e+00
2.700000e+02 6.586437e+00 3.410728e+00 1.233092e+03 1.848003e-01 2.432781e-01 2.075884e+00
2.800000e+02 6.605975e+00 3.410728e+00 1.234608e+03 1.867864e-01 2.432781e-01 2.117809e+00
2.900000e+02 6.625489e+00 3.410728e+00 1.236119e+03 1.887711e-01 2.432781e-01 2.159954e+00
3.000000e+02 6.644980e+00 3.410728e+00 1.237627e+03 1.907543e-01 2.432781e-01 2.202316e+00
