Vtes01       Ites01       Rtes01       Ptes01       Ptot01       Vtes02       Ites02       Rtes02       Ptes02       Ptot02       Vtes03       Ites03       Rtes03       Ptes03       Ptot03       Vtes04       Ites04       Rtes04       Ptes04       Ptot04       Vtes05       Ites05       Rtes05       Ptes05       Ptot05       Vtes06       Ites06       Rtes06       Ptes06       Ptot06       Vtes07       Ites07       Rtes07       Ptes07       Ptot07       Vtes08       Ites08       Rtes08       Ptes08       Ptot08       Vtes09       Ites09       Rtes09       Ptes09       Ptot09       Vtes10       Ites10       Rtes10       Ptes10       Ptot10       Vtes11       Ites11       Rtes11       Ptes11       Ptot11       Vtes12       Ites12       Rtes12       Ptes12       Ptot12       Vtes13       Ites13       Rtes13       Ptes13       Ptot13       Vtes14       Ites14       Rtes14       Ptes14       Ptot14       Vtes15       Ites15       Rtes15       Ptes15       Ptot15       
1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 6.765815e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 6.984629e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 7.214116e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 7.454278e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 7.705113e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 7.966622e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 8.238805e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 8.521662e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 8.815192e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 9.119397e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 9.434275e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 9.759827e+02 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 1.009605e+03 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 1.044295e+03 1.426785e+00 3.245793e+02 4.395797e+00 4.631047e+02 1.080053e+03 
1.422323e+00 3.235862e+02 4.395498e+00 4.602441e+02 6.737209e+02 1.422324e+00 3.235772e+02 4.395626e+00 4.602316e+02 6.955898e+02 1.422324e+00 3.235798e+02 4.395589e+00 4.602352e+02 7.185421e+02 1.422325e+00 3.235705e+02 4.395719e+00 4.602225e+02 7.425455e+02 1.422325e+00 3.235741e+02 4.395668e+00 4.602275e+02 7.676340e+02 1.422326e+00 3.235639e+02 4.395813e+00 4.602133e+02 7.937708e+02 1.422324e+00 3.235766e+02 4.395634e+00 4.602308e+02 8.210066e+02 1.422325e+00 3.235729e+02 4.395685e+00 4.602258e+02 8.492873e+02 1.422325e+00 3.235725e+02 4.395691e+00 4.602252e+02 8.786398e+02 1.422324e+00 3.235774e+02 4.395623e+00 4.602319e+02 9.090668e+02 1.422325e+00 3.235683e+02 4.395750e+00 4.602194e+02 9.405422e+02 1.422326e+00 3.235633e+02 4.395821e+00 4.602125e+02 9.730905e+02 1.422325e+00 3.235717e+02 4.395702e+00 4.602241e+02 1.006725e+03 1.422323e+00 3.235818e+02 4.395561e+00 4.602380e+02 1.041429e+03 1.422325e+00 3.235721e+02 4.395697e+00 4.602247e+02 1.077173e+03 
1.417861e+00 3.225896e+02 4.395248e+00 4.573873e+02 6.708641e+02 1.417862e+00 3.225841e+02 4.395325e+00 4.573799e+02 6.927380e+02 1.417862e+00 3.225844e+02 4.395322e+00 4.573801e+02 7.156871e+02 1.417864e+00 3.225743e+02 4.395464e+00 4.573663e+02 7.396894e+02 1.417863e+00 3.225755e+02 4.395447e+00 4.573680e+02 7.647746e+02 1.417864e+00 3.225739e+02 4.395470e+00 4.573658e+02 7.909233e+02 1.417864e+00 3.225733e+02 4.395478e+00 4.573650e+02 8.181407e+02 1.417864e+00 3.225723e+02 4.395493e+00 4.573636e+02 8.464250e+02 1.417863e+00 3.225779e+02 4.395413e+00 4.573713e+02 8.757858e+02 1.417862e+00 3.225856e+02 4.395305e+00 4.573818e+02 9.062168e+02 1.417863e+00 3.225779e+02 4.395413e+00 4.573713e+02 9.376941e+02 1.417864e+00 3.225731e+02 4.395481e+00 4.573647e+02 9.702427e+02 1.417864e+00 3.225733e+02 4.395478e+00 4.573650e+02 1.003866e+03 1.417862e+00 3.225833e+02 4.395336e+00 4.573788e+02 1.038569e+03 1.417863e+00 3.225779e+02 4.395413e+00 4.573713e+02 1.074319e+03 
1.413398e+00 3.216042e+02 4.394837e+00 4.545549e+02 6.680316e+02 1.413399e+00 3.215962e+02 4.394951e+00 4.545439e+02 6.899020e+02 1.413401e+00 3.215853e+02 4.395105e+00 4.545290e+02 7.128359e+02 1.413402e+00 3.215792e+02 4.395191e+00 4.545208e+02 7.368438e+02 1.413400e+00 3.215907e+02 4.395028e+00 4.545364e+02 7.619430e+02 1.413401e+00 3.215833e+02 4.395134e+00 4.545263e+02 7.880837e+02 1.413402e+00 3.215790e+02 4.395193e+00 4.545205e+02 8.152963e+02 1.413401e+00 3.215887e+02 4.395057e+00 4.545337e+02 8.435951e+02 1.413402e+00 3.215821e+02 4.395151e+00 4.545246e+02 8.729391e+02 1.413401e+00 3.215845e+02 4.395117e+00 4.545279e+02 9.033629e+02 1.413402e+00 3.215788e+02 4.395196e+00 4.545202e+02 9.348430e+02 1.413402e+00 3.215782e+02 4.395205e+00 4.545194e+02 9.673974e+02 1.413402e+00 3.215811e+02 4.395165e+00 4.545232e+02 1.001024e+03 1.413400e+00 3.215923e+02 4.395005e+00 4.545386e+02 1.035729e+03 1.413402e+00 3.215768e+02 4.395225e+00 4.545175e+02 1.071465e+03 
1.408934e+00 3.206235e+02 4.394358e+00 4.517375e+02 6.652143e+02 1.408938e+00 3.205999e+02 4.394692e+00 4.517054e+02 6.870636e+02 1.408939e+00 3.205941e+02 4.394775e+00 4.516975e+02 7.100044e+02 1.408940e+00 3.205870e+02 4.394875e+00 4.516879e+02 7.340109e+02 1.408939e+00 3.205913e+02 4.394815e+00 4.516936e+02 7.591002e+02 1.408940e+00 3.205876e+02 4.394867e+00 4.516887e+02 7.852462e+02 1.408940e+00 3.205866e+02 4.394881e+00 4.516873e+02 8.124631e+02 1.408939e+00 3.205913e+02 4.394815e+00 4.516936e+02 8.407551e+02 1.408940e+00 3.205870e+02 4.394875e+00 4.516879e+02 8.701024e+02 1.408939e+00 3.205947e+02 4.394767e+00 4.516983e+02 9.005332e+02 1.408941e+00 3.205828e+02 4.394935e+00 4.516821e+02 9.320049e+02 1.408941e+00 3.205822e+02 4.394944e+00 4.516813e+02 9.645593e+02 1.408940e+00 3.205860e+02 4.394890e+00 4.516865e+02 9.981871e+02 1.408939e+00 3.205931e+02 4.394790e+00 4.516961e+02 1.032887e+03 1.408941e+00 3.205830e+02 4.394932e+00 4.516824e+02 1.068630e+03 
1.404473e+00 3.196303e+02 4.394053e+00 4.489119e+02 6.623887e+02 1.404477e+00 3.196023e+02 4.394452e+00 4.488740e+02 6.842321e+02 1.404477e+00 3.196007e+02 4.394475e+00 4.488718e+02 7.071787e+02 1.404480e+00 3.195839e+02 4.394713e+00 4.488491e+02 7.311721e+02 1.404479e+00 3.195898e+02 4.394630e+00 4.488570e+02 7.562636e+02 1.404480e+00 3.195799e+02 4.394770e+00 4.488436e+02 7.824011e+02 1.404481e+00 3.195749e+02 4.394842e+00 4.488368e+02 8.096126e+02 1.404479e+00 3.195896e+02 4.394633e+00 4.488567e+02 8.379182e+02 1.404480e+00 3.195811e+02 4.394753e+00 4.488453e+02 8.672598e+02 1.404480e+00 3.195821e+02 4.394739e+00 4.488466e+02 8.976816e+02 1.404480e+00 3.195833e+02 4.394721e+00 4.488483e+02 9.291711e+02 1.404481e+00 3.195722e+02 4.394879e+00 4.488332e+02 9.617112e+02 1.404480e+00 3.195785e+02 4.394790e+00 4.488417e+02 9.953423e+02 1.404479e+00 3.195892e+02 4.394638e+00 4.488562e+02 1.030047e+03 1.404481e+00 3.195742e+02 4.394850e+00 4.488360e+02 1.065784e+03 
1.400010e+00 3.186419e+02 4.393678e+00 4.461018e+02 6.595786e+02 1.400016e+00 3.186022e+02 4.394244e+00 4.460481e+02 6.814063e+02 1.400016e+00 3.185996e+02 4.394282e+00 4.460446e+02 7.043515e+02 1.400018e+00 3.185855e+02 4.394483e+00 4.460255e+02 7.283486e+02 1.400017e+00 3.185933e+02 4.394371e+00 4.460361e+02 7.534427e+02 1.400019e+00 3.185851e+02 4.394489e+00 4.460250e+02 7.795825e+02 1.400019e+00 3.185820e+02 4.394532e+00 4.460209e+02 8.067967e+02 1.400018e+00 3.185881e+02 4.394446e+00 4.460291e+02 8.350905e+02 1.400020e+00 3.185782e+02 4.394587e+00 4.460157e+02 8.644302e+02 1.400018e+00 3.185909e+02 4.394406e+00 4.460329e+02 8.948678e+02 1.400019e+00 3.185822e+02 4.394529e+00 4.460212e+02 9.263439e+02 1.400021e+00 3.185679e+02 4.394733e+00 4.460018e+02 9.588798e+02 1.400019e+00 3.185816e+02 4.394538e+00 4.460203e+02 9.925209e+02 1.400016e+00 3.185984e+02 4.394299e+00 4.460430e+02 1.027234e+03 1.400019e+00 3.185794e+02 4.394570e+00 4.460174e+02 1.062965e+03 
1.395545e+00 3.176652e+02 4.393133e+00 4.433162e+02 6.567930e+02 1.395553e+00 3.176178e+02 4.393811e+00 4.432524e+02 6.786106e+02 1.395554e+00 3.176076e+02 4.393958e+00 4.432386e+02 7.015455e+02 1.395556e+00 3.175955e+02 4.394131e+00 4.432223e+02 7.255453e+02 1.395556e+00 3.175938e+02 4.394154e+00 4.432201e+02 7.506267e+02 1.395557e+00 3.175902e+02 4.394206e+00 4.432152e+02 7.767727e+02 1.395557e+00 3.175890e+02 4.394223e+00 4.432136e+02 8.039894e+02 1.395556e+00 3.175957e+02 4.394128e+00 4.432225e+02 8.322840e+02 1.395556e+00 3.175959e+02 4.394125e+00 4.432228e+02 8.616373e+02 1.395557e+00 3.175874e+02 4.394246e+00 4.432114e+02 8.920464e+02 1.395558e+00 3.175848e+02 4.394284e+00 4.432079e+02 9.235307e+02 1.395558e+00 3.175805e+02 4.394344e+00 4.432022e+02 9.560802e+02 1.395558e+00 3.175799e+02 4.394353e+00 4.432014e+02 9.897020e+02 1.395556e+00 3.175957e+02 4.394128e+00 4.432225e+02 1.024413e+03 1.395557e+00 3.175864e+02 4.394261e+00 4.432101e+02 1.060158e+03 
1.391079e+00 3.167048e+02 4.392350e+00 4.405613e+02 6.540381e+02 1.391090e+00 3.166294e+02 4.393432e+00 4.404601e+02 6.758182e+02 1.391092e+00 3.166145e+02 4.393646e+00 4.404400e+02 6.987469e+02 1.391094e+00 3.166047e+02 4.393788e+00 4.404268e+02 7.227498e+02 1.391095e+00 3.165990e+02 4.393869e+00 4.404192e+02 7.478258e+02 1.391095e+00 3.165956e+02 4.393918e+00 4.404146e+02 7.739721e+02 1.391095e+00 3.165956e+02 4.393918e+00 4.404146e+02 8.011904e+02 1.391095e+00 3.165996e+02 4.393860e+00 4.404200e+02 8.294815e+02 1.391094e+00 3.166016e+02 4.393831e+00 4.404227e+02 8.588372e+02 1.391096e+00 3.165926e+02 4.393962e+00 4.404105e+02 8.892455e+02 1.391096e+00 3.165930e+02 4.393956e+00 4.404111e+02 9.207339e+02 1.391096e+00 3.165883e+02 4.394022e+00 4.404048e+02 9.532828e+02 1.391097e+00 3.165839e+02 4.394086e+00 4.403989e+02 9.868995e+02 1.391094e+00 3.166004e+02 4.393849e+00 4.404211e+02 1.021612e+03 1.391096e+00 3.165899e+02 4.393999e+00 4.404070e+02 1.057355e+03 
1.386612e+00 3.157392e+02 4.391638e+00 4.378079e+02 6.512847e+02 1.386629e+00 3.156332e+02 4.393164e+00 4.376660e+02 6.730242e+02 1.386631e+00 3.156171e+02 4.393397e+00 4.376444e+02 6.959513e+02 1.386633e+00 3.156040e+02 4.393585e+00 4.376269e+02 7.199499e+02 1.386634e+00 3.156006e+02 4.393635e+00 4.376223e+02 7.450289e+02 1.386633e+00 3.156050e+02 4.393571e+00 4.376282e+02 7.711857e+02 1.386634e+00 3.155945e+02 4.393722e+00 4.376142e+02 7.983900e+02 1.386635e+00 3.155935e+02 4.393736e+00 4.376129e+02 8.266743e+02 1.386635e+00 3.155921e+02 4.393757e+00 4.376110e+02 8.560255e+02 1.386634e+00 3.155973e+02 4.393681e+00 4.376180e+02 8.864529e+02 1.386636e+00 3.155818e+02 4.393905e+00 4.375972e+02 9.179200e+02 1.386636e+00 3.155818e+02 4.393905e+00 4.375972e+02 9.504752e+02 1.386636e+00 3.155854e+02 4.393852e+00 4.376021e+02 9.841027e+02 1.386635e+00 3.155927e+02 4.393748e+00 4.376118e+02 1.018802e+03 1.386636e+00 3.155858e+02 4.393847e+00 4.376026e+02 1.054551e+03 
