time         dI           resid
0.000000e+00 3.173652e-03 3.173652e+00
3.200000e-01 -7.891829e-04 -7.891829e-01
6.400000e-01 4.733221e-02 1.751011e+01
9.600000e-01 1.558201e-01 9.731119e+00
1.280000e+00 2.547785e-01 6.735370e+00
1.600000e+00 3.244563e-01 -1.299037e+01
1.920000e+00 3.877299e-01 -2.811448e+01
2.240000e+00 4.562578e-01 -2.833339e+01
2.560000e+00 5.289829e-01 -1.589234e+01
2.880000e+00 5.998111e-01 2.072941e+00
3.200000e+00 6.571889e-01 1.309531e+01
3.520000e+00 6.976470e-01 1.290441e+01
3.840000e+00 7.271306e-01 6.743054e+00
4.160000e+00 7.518092e-01 1.645162e-01
4.480000e+00 7.774960e-01 -1.557909e+00
4.800000e+00 8.009854e-01 -2.103648e+00
5.120000e+00 8.264379e-01 2.272483e+00
5.440000e+00 8.525809e-01 9.933674e+00
5.760000e+00 8.673503e-01 8.496328e+00
6.080000e+00 8.796133e-01 6.547686e+00
6.400000e+00 8.901811e-01 4.653347e+00
6.720000e+00 8.956399e-01 -8.158701e-01
7.040000e+00 9.077213e-01 1.682775e+00
7.360000e+00 9.179280e-01 3.486330e+00
7.680000e+00 9.264327e-01 4.622401e+00
8.000000e+00 9.320983e-01 3.826347e+00
8.320000e+00 9.403193e-01 6.381251e+00
8.640000e+00 9.439575e-01 5.050760e+00
8.960000e+00 9.463109e-01 3.047232e+00
9.280000e+00 9.494950e-01 2.410727e+00
9.600000e+00 9.526951e-01 2.260472e+00
9.920000e+00 9.571177e-01 3.745177e+00
1.024000e+01 9.575571e-01 1.608385e+00
1.056000e+01 9.597328e-01 1.524997e+00
1.088000e+01 9.614288e-01 1.240035e+00
1.120000e+01 9.635884e-01 1.662516e+00
1.152000e+01 9.642390e-01 7.897700e-01
1.184000e+01 9.657147e-01 9.297012e-01
1.216000e+01 9.686115e-01 2.655152e+00
1.248000e+01 9.660854e-01 -8.980758e-01
1.280000e+01 9.693083e-01 1.424178e+00
1.312000e+01 9.700172e-01 1.343254e+00
1.344000e+01 9.690832e-01 -2.833886e-01
1.376000e+01 9.692655e-01 -7.083860e-01
1.408000e+01 9.696223e-01 -8.841539e-01
1.440000e+01 9.712846e-01 3.111288e-01
1.472000e+01 9.716228e-01 2.398815e-01
1.504000e+01 9.726389e-01 8.968062e-01
1.536000e+01 9.732767e-01 1.219756e+00
1.568000e+01 9.732447e-01 9.115912e-01
1.600000e+01 9.720045e-01 -5.707283e-01
1.632000e+01 9.739004e-01 1.112782e+00
1.664000e+01 9.717285e-01 -1.245321e+00
1.696000e+01 9.719086e-01 -1.228484e+00
1.728000e+01 9.753453e-01 2.065081e+00
1.760000e+01 9.757009e-01 2.295130e+00
1.792000e+01 9.747332e-01 1.217301e+00
1.824000e+01 9.725732e-01 -1.039235e+00
1.856000e+01 9.722447e-01 -1.452324e+00
1.888000e+01 9.751372e-01 1.365911e+00
1.920000e+01 9.744075e-01 5.710660e-01
1.952000e+01 9.741885e-01 2.949889e-01
1.984000e+01 9.741835e-01 2.399608e-01
2.016000e+01 9.737767e-01 -2.107786e-01
2.048000e+01 9.746085e-01 5.825709e-01
2.080000e+01 9.737867e-01 -2.729443e-01
2.112000e+01 9.732574e-01 -8.318458e-01
2.144000e+01 9.739539e-01 -1.613342e-01
2.176000e+01 9.724107e-01 -1.727260e+00
2.208000e+01 9.747094e-01 5.514696e-01
2.240000e+01 9.738774e-01 -2.980540e-01
2.272000e+01 9.754680e-01 1.277214e+00
2.304000e+01 9.758241e-01 1.619859e+00
2.336000e+01 9.761820e-01 1.965933e+00
2.368000e+01 9.752628e-01 1.036396e+00
2.400000e+01 9.751302e-01 8.947267e-01
2.432000e+01 9.759402e-01 1.696761e+00
2.464000e+01 9.755691e-01 1.318704e+00
2.496000e+01 9.754741e-01 1.217578e+00
2.528000e+01 9.724865e-01 -1.775419e+00
2.560000e+01 9.740571e-01 -2.095115e-01
2.592000e+01 9.768889e-01 2.618199e+00
2.624000e+01 9.757711e-01 1.496758e+00
2.656000e+01 9.725827e-01 -1.694820e+00
2.688000e+01 9.738068e-01 -4.734810e-01
2.720000e+01 9.725205e-01 -1.762202e+00
2.752000e+01 9.745409e-01 2.560331e-01
2.784000e+01 9.727942e-01 -1.492546e+00
2.816000e+01 9.736463e-01 -6.421273e-01
2.848000e+01 9.741505e-01 -1.393623e-01
2.880000e+01 9.747448e-01 4.537336e-01
2.912000e+01 9.765380e-01 2.245758e+00
2.944000e+01 9.736939e-01 -5.993205e-01
2.976000e+01 9.728112e-01 -1.482795e+00
3.008000e+01 9.756163e-01 1.321539e+00
3.040000e+01 9.765747e-01 2.279294e+00
3.072000e+01 9.728541e-01 -1.441885e+00
3.104000e+01 9.749026e-01 6.060443e-01
3.136000e+01 9.751663e-01 8.693620e-01
3.168000e+01 9.742210e-01 -7.636823e-02
3.200000e+01 9.750124e-01 7.147378e-01
3.232000e+01 9.722875e-01 -2.010514e+00
3.264000e+01 9.737217e-01 -5.765493e-01
3.296000e+01 9.737322e-01 -5.662814e-01
3.328000e+01 9.734512e-01 -8.475000e-01
3.360000e+01 9.715891e-01 -2.709799e+00
3.392000e+01 9.748855e-01 5.865093e-01
3.424000e+01 9.749635e-01 6.643780e-01
3.456000e+01 9.744907e-01 1.914483e-01
3.488000e+01 9.738584e-01 -4.409237e-01
3.520000e+01 9.718024e-01 -2.497017e+00
3.552000e+01 9.713458e-01 -2.953758e+00
3.584000e+01 9.725590e-01 -1.740566e+00
3.616000e+01 9.744446e-01 1.449209e-01
3.648000e+01 9.734994e-01 -8.003178e-01
3.680000e+01 9.741081e-01 -1.916257e-01
3.712000e+01 9.732468e-01 -1.053024e+00
3.744000e+01 9.756762e-01 1.376304e+00
3.776000e+01 9.734137e-01 -8.861365e-01
3.808000e+01 9.724182e-01 -1.881670e+00
3.840000e+01 9.734136e-01 -8.863198e-01
3.872000e+01 9.740395e-01 -2.604542e-01
3.904000e+01 9.707801e-01 -3.519907e+00
3.936000e+01 9.724088e-01 -1.891208e+00
3.968000e+01 9.721742e-01 -2.125770e+00
4.000000e+01 9.737959e-01 -5.041644e-01
4.032000e+01 9.722952e-01 -2.004872e+00
4.064000e+01 9.732619e-01 -1.038169e+00
4.096000e+01 9.743910e-01 9.095595e-02
4.128000e+01 9.752577e-01 9.575957e-01
4.160000e+01 9.750322e-01 7.321873e-01
4.192000e+01 9.725690e-01 -1.731065e+00
4.224000e+01 9.725569e-01 -1.743130e+00
4.256000e+01 9.745124e-01 2.123432e-01
4.288000e+01 9.733285e-01 -9.716070e-01
4.320000e+01 9.743571e-01 5.703293e-02
4.352000e+01 9.735248e-01 -7.753064e-01
4.384000e+01 9.761074e-01 1.807343e+00
4.416000e+01 9.742729e-01 -2.719733e-02
4.448000e+01 9.746791e-01 3.790081e-01
4.480000e+01 9.769714e-01 2.671290e+00
4.512000e+01 9.771917e-01 2.891596e+00
4.544000e+01 9.746288e-01 3.287323e-01
4.576000e+01 9.743036e-01 3.518950e-03
4.608000e+01 9.734370e-01 -8.630884e-01
4.640000e+01 9.737515e-01 -5.486452e-01
4.672000e+01 9.734400e-01 -8.601347e-01
4.704000e+01 9.743321e-01 3.199446e-02
4.736000e+01 9.747285e-01 4.283857e-01
4.768000e+01 9.724497e-01 -1.850438e+00
4.800000e+01 9.710741e-01 -3.226013e+00
4.832000e+01 9.735875e-01 -7.126107e-01
4.864000e+01 9.723127e-01 -1.987455e+00
4.896000e+01 9.725429e-01 -1.757213e+00
4.928000e+01 9.735863e-01 -7.137992e-01
4.960000e+01 9.751892e-01 8.890534e-01
4.992000e+01 9.773740e-01 3.073943e+00
5.024000e+01 9.757273e-01 1.427160e+00
5.056000e+01 9.745453e-01 2.451722e-01
5.088000e+01 9.755132e-01 1.213070e+00
5.120000e+01 9.757691e-01 1.469035e+00
5.152000e+01 9.750071e-01 7.069795e-01
5.184000e+01 9.745301e-01 2.299466e-01
5.216000e+01 9.744859e-01 1.857712e-01
5.248000e+01 9.758201e-01 1.520038e+00
5.280000e+01 9.730713e-01 -1.228831e+00
5.312000e+01 9.750275e-01 7.273995e-01
5.344000e+01 9.757568e-01 1.456645e+00
5.376000e+01 9.721221e-01 -2.177978e+00
5.408000e+01 9.709405e-01 -3.359639e+00
5.440000e+01 9.720870e-01 -2.213069e+00
5.472000e+01 9.731459e-01 -1.154172e+00
5.504000e+01 9.743860e-01 8.591091e-02
5.536000e+01 9.713196e-01 -2.980555e+00
5.568000e+01 9.746442e-01 3.440655e-01
5.600000e+01 9.731503e-01 -1.149810e+00
5.632000e+01 9.729314e-01 -1.368666e+00
5.664000e+01 9.740823e-01 -2.177738e-01
5.696000e+01 9.746300e-01 3.299087e-01
5.728000e+01 9.741120e-01 -1.880817e-01
5.760000e+01 9.750193e-01 7.191433e-01
5.792000e+01 9.751731e-01 8.729592e-01
5.824000e+01 9.774721e-01 3.171972e+00
5.856000e+01 9.752201e-01 9.200327e-01
5.888000e+01 9.751678e-01 8.676526e-01
5.920000e+01 9.745703e-01 2.701492e-01
5.952000e+01 9.749780e-01 6.778723e-01
5.984000e+01 9.722509e-01 -2.049196e+00
6.016000e+01 9.736894e-01 -6.107399e-01
6.048000e+01 9.713959e-01 -2.904192e+00
6.080000e+01 9.761452e-01 1.845072e+00
6.112000e+01 9.749522e-01 6.521197e-01
6.144000e+01 9.726120e-01 -1.688136e+00
6.176000e+01 9.751579e-01 8.578114e-01
6.208000e+01 9.735970e-01 -7.030704e-01
6.240000e+01 9.749620e-01 6.619083e-01
6.272000e+01 9.744779e-01 1.777491e-01
6.304000e+01 9.742267e-01 -7.342619e-02
6.336000e+01 9.737304e-01 -5.697313e-01
6.368000e+01 9.749733e-01 6.732233e-01
6.400000e+01 9.722846e-01 -2.015462e+00
6.432000e+01 9.743518e-01 5.171505e-02
6.464000e+01 9.748546e-01 5.544942e-01
6.496000e+01 9.745177e-01 2.176127e-01
6.528000e+01 9.747290e-01 4.289112e-01
6.560000e+01 9.718658e-01 -2.434307e+00
6.592000e+01 9.720303e-01 -2.269834e+00
6.624000e+01 9.738792e-01 -4.209303e-01
6.656000e+01 9.716855e-01 -2.614573e+00
6.688000e+01 9.732132e-01 -1.086894e+00
6.720000e+01 9.730275e-01 -1.272658e+00
6.752000e+01 9.740213e-01 -2.787659e-01
6.784000e+01 9.730537e-01 -1.246434e+00
6.816000e+01 9.718590e-01 -2.441089e+00
6.848000e+01 9.741277e-01 -1.724396e-01
6.880000e+01 9.753265e-01 1.026426e+00
6.912000e+01 9.735653e-01 -7.348414e-01
6.944000e+01 9.731412e-01 -1.158949e+00
6.976000e+01 9.738922e-01 -4.079302e-01
7.008000e+01 9.738642e-01 -4.359574e-01
7.040000e+01 9.729129e-01 -1.387214e+00
7.072000e+01 9.739416e-01 -3.584892e-01
7.104000e+01 9.726717e-01 -1.628420e+00
7.136000e+01 9.745001e-01 2.000286e-01
7.168000e+01 9.737860e-01 -5.141574e-01
7.200000e+01 9.738897e-01 -4.104106e-01
7.232000e+01 9.712249e-01 -3.075227e+00
7.264000e+01 9.722942e-01 -2.005887e+00
7.296000e+01 9.744036e-01 1.034894e-01
7.328000e+01 9.730960e-01 -1.204070e+00
7.360000e+01 9.741676e-01 -1.324793e-01
7.392000e+01 9.741197e-01 -1.804093e-01
7.424000e+01 9.721597e-01 -2.140447e+00
7.456000e+01 9.742540e-01 -4.608450e-02
7.488000e+01 9.756051e-01 1.304985e+00
7.520000e+01 9.765840e-01 2.283894e+00
7.552000e+01 9.733015e-01 -9.985680e-01
7.584000e+01 9.740281e-01 -2.719923e-01
7.616000e+01 9.748753e-01 5.751483e-01
7.648000e+01 9.725106e-01 -1.789495e+00
7.680000e+01 9.748633e-01 5.631842e-01
7.712000e+01 9.761010e-01 1.800907e+00
7.744000e+01 9.732566e-01 -1.043506e+00
7.776000e+01 9.757280e-01 1.427927e+00
7.808000e+01 9.761198e-01 1.819663e+00
7.840000e+01 9.745136e-01 2.135316e-01
7.872000e+01 9.755459e-01 1.245836e+00
7.904000e+01 9.747332e-01 4.330581e-01
7.936000e+01 9.776406e-01 3.340462e+00
7.968000e+01 9.758812e-01 1.581082e+00
8.000000e+01 9.739757e-01 -3.244143e-01
8.032000e+01 9.713514e-01 -2.948724e+00
8.064000e+01 9.733426e-01 -9.574642e-01
8.096000e+01 9.755590e-01 1.258856e+00
8.128000e+01 9.718778e-01 -2.422261e+00
8.160000e+01 9.731527e-01 -1.147423e+00
8.192000e+01 9.727632e-01 -1.536927e+00
8.224000e+01 9.725746e-01 -1.725463e+00
8.256000e+01 9.716504e-01 -2.649729e+00
8.288000e+01 9.750842e-01 7.840430e-01
8.320000e+01 9.746605e-01 3.604294e-01
8.352000e+01 9.752982e-01 9.980517e-01
8.384000e+01 9.724850e-01 -1.815121e+00
8.416000e+01 9.731472e-01 -1.152916e+00
8.448000e+01 9.732513e-01 -1.048782e+00
8.480000e+01 9.723720e-01 -1.928127e+00
8.512000e+01 9.720300e-01 -2.270095e+00
8.544000e+01 9.735556e-01 -7.445169e-01
8.576000e+01 9.735575e-01 -7.425789e-01
8.608000e+01 9.734962e-01 -8.039143e-01
8.640000e+01 9.745066e-01 2.065391e-01
