R C Rsh L
1 1 150.43 605.42 
1 5 155.43 618.08 
1 6 156.22 609.10 
1 7 146.72 602.79 
2 1 149.49 589.91 
2 2 150.70 521.68 
2 3 151.02 567.55 
2 5 149.80 606.87 
2 6 152.24 603.06 
2 7 150.44 609.68 
3 1 144.87 547.78 
3 2 136.21 496.67 
3 3 159.88 609.54 
3 4 146.68 535.72 
3 5 150.66 607.72 
3 7 149.06 610.58 
3 8 154.93 630.13 
4 1 148.90 545.33 
4 2 148.94 522.48 
4 3 152.15 589.05 
4 4 164.31 603.72 
4 6 155.31 611.84 
4 7 142.26 588.22 
4 8 153.86 627.38 
5 1 146.87 185.13 
5 2 145.84 188.13 
5 3 145.68 196.59 
5 4 145.63 184.47 
5 6 157.51 202.12 
5 7 150.53 206.83 
5 8 156.08 205.14 
6 1 145.62 538.78 
6 2 146.95 485.25 
6 3 142.13 550.85 
6 4 131.12 489.23 
6 6 154.34 612.06 
6 8 148.49 609.07 
7 1 147.80 546.53 
7 2 150.88 527.47 
7 3 152.22 582.45 
7 4 160.54 609.41 
7 7 150.98 608.98 
8 1 149.51 550.23 
8 2 149.44 531.26 
8 3 152.16 592.59 
8 4 146.95 557.77 
8 5 151.55 616.88 
8 6 152.56 605.06 
8 7 150.02 610.55 
9 1 148.05 558.21 
9 2 149.10 537.89 
9 3 150.19 581.39 
9 4 148.75 554.57 
9 6 145.27 579.94 
9 7 153.20 610.93 
9 8 147.91 601.49 
10 1 147.79 548.42 
10 3 154.38 598.68 
10 7 150.25 614.46 
10 8 149.79 610.95 
11 1 152.30 565.72 
11 2 152.50 571.97 
11 3 118.80 463.47 
11 4 135.79 515.68 
11 5 148.70 611.24 
11 7 152.26 611.21 
11 8 150.72 608.48 
12 1 148.45 552.04 
12 2 143.29 520.55 
12 3 150.44 587.01 
12 5 151.92 612.42 
12 8 152.28 610.12 
13 1 149.37 576.74 
13 2 136.15 531.04 
13 3 149.29 580.08 
13 4 158.92 611.93 
13 5 151.47 617.36 
13 6 151.48 602.44 
13 7 150.05 610.83 
13 8 150.24 603.91 
14 1 148.43 600.12 
14 2 124.67 506.82 
14 3 150.40 586.28 
14 4 149.30 581.41 
14 5 146.57 604.32 
14 6 152.76 615.87 
14 7 150.63 599.41 
14 8 149.41 606.64 
15 1 148.78 595.80 
15 2 140.18 560.58 
15 3 148.24 586.11 
15 4 157.71 614.59 
15 6 153.17 614.53 
15 7 150.70 602.94 
15 8 148.17 604.72 
16 1 152.83 605.99 
16 2 131.70 535.92 
16 3 150.61 587.12 
16 5 140.32 595.79 
16 6 153.44 605.49 
16 7 151.26 590.47 
16 8 150.10 599.23 
17 1 152.07 599.25 
17 2 139.47 570.59 
17 3 153.68 602.70 
17 4 160.77 615.11 
17 5 138.73 589.37 
17 6 148.74 605.36 
17 7 151.44 600.90 
17 8 149.97 593.31 
18 1 146.85 593.95 
18 3 153.12 596.50 
18 5 150.70 610.21 
18 6 153.83 616.80 
18 8 151.86 603.33 
19 1 141.71 566.45 
19 2 130.63 535.87 
19 3 151.88 584.44 
19 4 160.73 623.88 
19 5 152.83 626.51 
19 6 154.75 612.91 
19 7 146.52 583.40 
19 8 150.98 608.37 
20 1 151.86 178.82 
20 3 155.81 614.82 
20 5 152.75 613.59 
20 6 154.81 615.55 
20 7 150.77 605.36 
20 8 146.89 598.81 
21 1 159.11 630.31 
21 2 153.93 621.92 
21 3 152.54 592.40 
21 4 140.52 544.19 
21 5 150.82 613.75 
21 6 154.09 610.23 
21 7 151.67 606.76 
21 8 153.53 617.90 
22 1 149.75 593.31 
22 2 152.32 619.07 
22 4 155.98 613.31 
22 5 147.85 608.45 
22 6 154.50 609.53 
23 1 131.14 551.77 
23 2 151.18 617.39 
23 3 152.16 591.43 
23 4 140.70 555.15 
23 5 147.36 605.68 
23 6 152.98 619.03 
23 7 150.88 600.40 
23 8 150.01 607.66 
24 2 152.10 615.95 
24 4 140.17 547.20 
24 5 151.34 617.78 
24 6 150.10 599.20 
24 7 149.97 602.44 
24 8 151.20 615.14 
25 1 150.63 572.87 
25 2 147.39 588.47 
25 3 153.35 606.05 
25 4 157.38 617.53 
25 5 150.55 608.41 
25 6 151.93 608.17 
25 7 152.44 609.31 
25 8 144.96 580.59 
26 1 150.21 424.47 
26 2 153.37 445.57 
26 3 151.14 429.02 
26 4 157.30 442.52 
26 5 152.72 449.31 
26 6 153.41 440.79 
26 7 154.70 435.61 
26 8 153.15 434.96 
27 1 150.29 602.65 
27 2 138.56 558.17 
27 3 149.79 583.63 
27 4 134.21 524.94 
27 5 151.74 609.33 
27 6 147.27 603.93 
27 7 146.16 584.14 
28 1 149.14 590.50 
28 2 151.80 607.65 
28 3 152.08 603.01 
28 4 155.45 620.63 
28 5 152.84 623.39 
28 6 154.13 618.49 
28 7 151.74 606.99 
29 1 152.25 597.66 
29 2 150.45 602.22 
29 3 151.60 594.04 
29 4 155.58 622.65 
29 5 139.24 591.95 
29 6 153.33 615.38 
29 7 146.29 584.97 
30 1 150.43 602.95 
30 3 151.44 585.03 
30 4 134.14 529.73 
30 5 148.99 608.33 
30 6 148.87 599.81 
30 8 146.63 590.38 
31 1 149.82 598.22 
31 2 129.82 512.74 
31 4 157.02 620.72 
31 5 149.65 607.02 
31 6 144.07 598.30 
31 7 152.97 602.05 
31 8 150.77 440.88 
32 1 148.53 601.67 
32 2 150.05 602.84 
32 3 151.42 586.49 
32 7 153.46 605.84 
