tauratio     err
1.000000e-02 2.788992e-05 
1.047129e-02 3.998387e-05 
1.096478e-02 5.640372e-05 
1.148154e-02 7.835010e-05 
1.202264e-02 1.072483e-04 
1.258925e-02 1.447632e-04 
1.318257e-02 1.928097e-04 
1.380384e-02 2.535583e-04 
1.445440e-02 3.294349e-04 
1.513561e-02 4.231152e-04 
1.584893e-02 5.375140e-04 
1.659587e-02 6.757694e-04 
1.737801e-02 8.412236e-04 
1.819701e-02 1.037400e-03 
1.905461e-02 1.267981e-03 
1.995262e-02 1.536778e-03 
2.089296e-02 1.847715e-03 
2.187762e-02 2.204797e-03 
2.290868e-02 2.612096e-03 
2.398833e-02 3.073730e-03 
2.511886e-02 3.593850e-03 
2.630268e-02 4.176630e-03 
2.754229e-02 4.826260e-03 
2.884032e-02 5.546943e-03 
3.019952e-02 6.342898e-03 
3.162278e-02 7.218362e-03 
3.311311e-02 8.177603e-03 
3.467369e-02 9.224923e-03 
3.630781e-02 1.036468e-02 
3.801894e-02 1.160128e-02 
3.981072e-02 1.293924e-02 
4.168694e-02 1.438316e-02 
4.365158e-02 1.593774e-02 
4.570882e-02 1.760783e-02 
4.786301e-02 1.939845e-02 
5.011872e-02 2.131479e-02 
5.248075e-02 2.336221e-02 
5.495409e-02 2.554630e-02 
5.754399e-02 2.787289e-02 
6.025596e-02 3.034803e-02 
6.309573e-02 3.297807e-02 
6.606934e-02 3.576960e-02 
6.918310e-02 3.872957e-02 
7.244360e-02 4.186529e-02 
7.585776e-02 4.518433e-02 
7.943282e-02 4.869464e-02 
8.317638e-02 5.240457e-02 
8.709636e-02 5.632285e-02 
9.120108e-02 6.045860e-02 
9.549926e-02 6.482142e-02 
1.000000e-01 6.942129e-02 
1.047129e-01 7.426871e-02 
1.096478e-01 7.937462e-02 
1.148154e-01 8.475046e-02 
1.202264e-01 9.040820e-02 
1.258925e-01 9.636031e-02 
1.318257e-01 1.026198e-01 
1.380384e-01 1.092003e-01 
1.445440e-01 1.161160e-01 
1.513561e-01 1.233816e-01 
1.584893e-01 1.310125e-01 
1.659587e-01 1.390248e-01 
1.737801e-01 1.474352e-01 
1.819701e-01 1.562609e-01 
1.905461e-01 1.655202e-01 
1.995262e-01 1.752317e-01 
2.089296e-01 1.854151e-01 
2.187762e-01 1.960907e-01 
2.290868e-01 2.072796e-01 
2.398833e-01 2.190039e-01 
2.511886e-01 2.312878e-01 
2.630268e-01 2.441526e-01 
2.754229e-01 2.576241e-01 
2.884032e-01 2.717281e-01 
3.019952e-01 2.864915e-01 
3.162278e-01 3.019422e-01 
3.311311e-01 3.181091e-01 
3.467369e-01 3.350226e-01 
3.630781e-01 3.527142e-01 
3.801894e-01 3.712167e-01 
3.981072e-01 3.905644e-01 
4.168694e-01 4.107931e-01 
4.365158e-01 4.319401e-01 
4.570882e-01 4.540443e-01 
4.786301e-01 4.771466e-01 
5.011872e-01 5.012894e-01 
5.248075e-01 5.265173e-01 
5.495409e-01 5.528768e-01 
5.754399e-01 5.804168e-01 
6.025596e-01 6.091882e-01 
6.309573e-01 6.392445e-01 
6.606934e-01 6.706418e-01 
6.918310e-01 7.034387e-01 
7.244360e-01 7.376970e-01 
7.585776e-01 7.734812e-01 
7.943282e-01 8.108528e-01 
8.317638e-01 8.498948e-01 
8.709636e-01 8.906765e-01 
9.120108e-01 9.332763e-01 
9.549926e-01 9.777768e-01 
1.000000e+00 1.024265e+00 
