x0           y0           sigmax       sigmay       theta        rel_amp      sigma_rat    x0_sd        y0_sd        sigmax_sd    sigmay_sd    theta_sd     rel_amp_sd   sigma_rat_sd fwhm         
-2.006088e+00 -5.873734e+00 8.225943e-01 5.382134e-01 6.600343e+01 9.932938e-01 1.526237e+00 4.769242e-03 6.289883e-03 5.326178e-03 8.188425e-03 8.728012e-01 1.368062e-02 1.656698e-02 1.330761e+00 
1.973089e+00 -5.902754e+00 7.983216e-01 5.464043e-01 6.753380e+01 1.063102e+00 1.471184e+00 4.830562e-03 6.278455e-03 5.788338e-03 7.202587e-03 9.732853e-01 1.373976e-02 1.571311e-02 1.320918e+00 
5.933123e+00 -5.972399e+00 8.009756e-01 5.379080e-01 6.606151e+01 1.010921e+00 1.484079e+00 4.959418e-03 6.368527e-03 6.425512e-03 6.737954e-03 9.696237e-01 1.404034e-02 1.571068e-02 1.312785e+00 
9.892828e+00 -6.014318e+00 7.563105e-01 5.483373e-01 6.207306e+01 1.040081e+00 1.387785e+00 5.310976e-03 6.270367e-03 7.715217e-03 6.182535e-03 1.203842e+00 1.449470e-02 1.561137e-02 1.287965e+00 
1.387915e+01 -6.131715e+00 8.333393e-01 5.860200e-01 6.023011e+01 8.216176e-01 1.425754e+00 6.794706e-03 8.067526e-03 9.406967e-03 8.220097e-03 1.299105e+00 1.646097e-02 1.878814e-02 1.397646e+00 
-7.969619e+00 -7.852849e+00 8.633072e-01 5.504221e-01 6.647974e+01 9.530045e-01 1.584338e+00 5.348287e-03 7.299231e-03 6.624250e-03 7.832818e-03 8.623549e-01 1.449221e-02 1.754534e-02 1.378671e+00 
-3.983812e+00 -7.864908e+00 8.497640e-01 5.411545e-01 6.626576e+01 9.760742e-01 1.584423e+00 5.055370e-03 6.779940e-03 6.935205e-03 6.493831e-03 8.321138e-01 1.380131e-02 1.547739e-02 1.356250e+00 
-2.500953e-02 -7.877735e+00 8.104954e-01 5.457058e-01 6.416834e+01 1.019620e+00 1.487083e+00 5.017192e-03 6.376444e-03 5.884429e-03 7.608556e-03 9.534365e-01 1.378207e-02 1.625258e-02 1.330101e+00 
3.958586e+00 -7.940654e+00 8.214309e-01 5.619087e-01 6.420414e+01 1.007665e+00 1.461170e+00 5.078966e-03 6.462311e-03 5.945150e-03 7.747988e-03 9.877078e-01 1.391218e-02 1.621901e-02 1.358778e+00 
7.917559e+00 -7.986917e+00 7.981843e-01 5.573532e-01 6.775367e+01 1.082004e+00 1.430917e+00 5.324687e-03 6.808804e-03 6.749415e-03 7.423487e-03 1.096958e+00 1.456065e-02 1.684852e-02 1.333972e+00 
1.190233e+01 -8.102882e+00 8.541568e-01 5.647957e-01 6.234518e+01 9.477854e-01 1.492873e+00 6.269534e-03 7.810765e-03 7.287550e-03 8.485424e-03 1.030927e+00 1.454210e-02 1.904755e-02 1.389135e+00 
-9.942199e+00 -9.855815e+00 8.988748e-01 5.675745e-01 6.672979e+01 8.115456e-01 1.586790e+00 5.783071e-03 7.815181e-03 6.797490e-03 9.268111e-03 8.812726e-01 1.475497e-02 1.884826e-02 1.428535e+00 
-5.955215e+00 -9.887323e+00 8.945424e-01 5.580140e-01 6.877122e+01 9.101258e-01 1.595708e+00 5.346206e-03 7.418049e-03 8.231871e-03 6.547392e-03 8.473245e-01 1.426765e-02 1.594960e-02 1.413035e+00 
-1.977786e+00 -9.914416e+00 8.718987e-01 5.560078e-01 6.679330e+01 8.961571e-01 1.563537e+00 5.314659e-03 7.143079e-03 7.812568e-03 6.688644e-03 8.938717e-01 1.426465e-02 1.599736e-02 1.392526e+00 
2.008444e+00 -9.953805e+00 8.448587e-01 5.382804e-01 6.562123e+01 9.559523e-01 1.578717e+00 4.877974e-03 6.536014e-03 6.170297e-03 6.774375e-03 8.107024e-01 1.384467e-02 1.578031e-02 1.348734e+00 
5.966193e+00 -9.994012e+00 8.285398e-01 5.497952e-01 6.902217e+01 9.020267e-01 1.511247e+00 5.052101e-03 6.857696e-03 6.321381e-03 7.522713e-03 9.564304e-01 1.408379e-02 1.650983e-02 1.349855e+00 
9.900917e+00 -1.005198e+01 8.652920e-01 5.589042e-01 6.483406e+01 9.236305e-01 1.520654e+00 5.894895e-03 7.848597e-03 6.427751e-03 9.164794e-03 9.680843e-01 1.444282e-02 1.924343e-02 1.390849e+00 
1.393182e+01 -1.012911e+01 8.810604e-01 5.595860e-01 5.770407e+01 7.802371e-01 1.573802e+00 9.614564e-03 1.176333e-02 1.110960e-02 1.351795e-02 1.461080e+00 2.244587e-02 2.858677e-02 1.404321e+00 
-9.909701e+00 -1.187084e+01 9.236451e-01 5.588969e-01 6.790278e+01 7.651847e-01 1.652195e+00 5.836479e-03 8.111523e-03 7.574509e-03 8.204883e-03 8.423656e-01 1.466816e-02 1.834595e-02 1.436972e+00 
-5.921970e+00 -1.191042e+01 9.089075e-01 5.537888e-01 6.774805e+01 8.528158e-01 1.629870e+00 5.441376e-03 7.680303e-03 6.401429e-03 9.088276e-03 8.159081e-01 1.444591e-02 1.865172e-02 1.418933e+00 
-1.940480e+00 -1.195108e+01 9.077066e-01 5.547596e-01 6.822180e+01 8.550612e-01 1.618493e+00 5.361648e-03 7.500562e-03 6.163417e-03 9.145692e-03 8.105825e-01 1.424041e-02 1.853092e-02 1.419238e+00 
2.031813e+00 -1.197936e+01 8.999806e-01 5.336614e-01 6.767526e+01 8.525409e-01 1.694660e+00 5.070382e-03 7.248162e-03 6.139166e-03 7.792754e-03 7.341155e-01 1.410791e-02 1.744745e-02 1.386052e+00 
5.983905e+00 -1.202632e+01 8.929388e-01 5.501504e-01 6.646514e+01 8.111770e-01 1.587989e+00 5.836905e-03 7.952804e-03 8.571666e-03 7.172889e-03 9.219053e-01 1.539295e-02 1.761669e-02 1.401785e+00 
1.400668e+01 -1.224005e+01 1.022083e+00 6.153444e-01 5.887685e+01 6.288864e-01 1.675118e+00 1.254016e-02 1.636668e-02 1.433746e-02 1.797539e-02 1.438841e+00 2.701109e-02 3.686899e-02 1.586106e+00 
-1.186627e+01 -1.396331e+01 1.072984e+00 6.158807e-01 6.812159e+01 4.827061e-01 1.740335e+00 6.625019e-03 9.912924e-03 8.414854e-03 1.078386e-02 7.578351e-01 1.485952e-02 2.099185e-02 1.625829e+00 
-7.884841e+00 -1.395466e+01 9.737252e-01 5.473351e-01 7.076605e+01 7.900475e-01 1.768688e+00 5.783795e-03 8.898597e-03 8.516677e-03 7.565432e-03 7.537297e-01 1.553627e-02 1.836200e-02 1.460074e+00 
