f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
2.384186e-01 1.344295e-08 2.040006e-08 2.180206e-08 1.615287e-08 2.010690e-08 2.062881e-08 1.459186e-08 9.577236e-09 3.558292e-14 4.905997e-14 4.839272e-14 3.381576e-14 3.770054e-14 3.530167e-14 2.381926e-14 1.432626e-14 
4.768372e-01 2.016375e-09 1.893947e-09 2.676922e-09 2.542950e-09 2.471176e-09 2.786517e-09 2.586096e-09 2.965985e-09 5.337256e-15 4.554739e-15 5.941801e-15 5.323623e-15 4.633468e-15 4.768510e-15 4.221456e-15 4.436716e-15 
7.152557e-01 9.235387e-10 9.113336e-10 1.049049e-09 1.157076e-09 1.286194e-09 1.402339e-09 1.307208e-09 1.527653e-09 2.444567e-15 2.191660e-15 2.328511e-15 2.422320e-15 2.411620e-15 2.399795e-15 2.133841e-15 2.285164e-15 
9.536743e-01 7.703385e-10 8.446401e-10 9.289235e-10 9.926162e-10 1.086475e-09 1.009560e-09 1.138455e-09 1.410042e-09 2.039053e-15 2.031269e-15 2.061875e-15 2.078026e-15 2.037146e-15 1.727640e-15 1.858375e-15 2.109234e-15 
1.192093e+00 7.167426e-10 9.395101e-10 9.127391e-10 9.804637e-10 1.040531e-09 1.063550e-09 1.172671e-09 1.189197e-09 1.897186e-15 2.259421e-15 2.025952e-15 2.052584e-15 1.951000e-15 1.820031e-15 1.914229e-15 1.778879e-15 
1.430511e+00 9.142413e-10 1.073220e-09 1.033345e-09 1.074846e-09 8.949484e-10 1.137188e-09 1.254362e-09 1.329733e-09 2.419957e-15 2.580978e-15 2.293653e-15 2.250173e-15 1.678033e-15 1.946046e-15 2.047578e-15 1.989101e-15 
1.668930e+00 6.824636e-10 7.912531e-10 7.839076e-10 9.849449e-10 1.009241e-09 1.082400e-09 1.168276e-09 1.303458e-09 1.806452e-15 1.902879e-15 1.739992e-15 2.061966e-15 1.892331e-15 1.852290e-15 1.907054e-15 1.949799e-15 
1.907349e+00 5.506529e-10 7.308308e-10 8.206707e-10 9.196896e-10 1.077177e-09 9.922551e-10 1.095980e-09 1.234513e-09 1.457554e-15 1.757570e-15 1.821593e-15 1.925355e-15 2.019711e-15 1.698026e-15 1.789041e-15 1.846666e-15 
2.145767e+00 6.893936e-10 7.852869e-10 8.324138e-10 9.164491e-10 1.081281e-09 9.320180e-10 1.436404e-09 1.305485e-09 1.824795e-15 1.888531e-15 1.847658e-15 1.918571e-15 2.027408e-15 1.594944e-15 2.344737e-15 1.952831e-15 
2.384186e+00 8.762112e-10 8.662688e-10 8.116199e-10 9.150105e-10 1.053724e-09 1.140477e-09 1.912859e-09 1.437621e-09 2.319293e-15 2.083284e-15 1.801503e-15 1.915559e-15 1.975737e-15 1.951676e-15 3.122487e-15 2.150489e-15 
2.622604e+00 7.488288e-10 7.693421e-10 8.444633e-10 8.821278e-10 8.980493e-10 1.173724e-09 1.323923e-09 1.097473e-09 1.982117e-15 1.850185e-15 1.874404e-15 1.846720e-15 1.683847e-15 2.008570e-15 2.161126e-15 1.641672e-15 
2.861023e+00 8.154080e-10 7.170618e-10 8.343841e-10 9.885882e-10 9.070919e-10 1.096320e-09 1.162798e-09 1.303658e-09 2.158350e-15 1.724457e-15 1.852032e-15 2.069593e-15 1.700802e-15 1.876111e-15 1.898112e-15 1.950097e-15 
3.099442e+00 7.162526e-10 8.112197e-10 7.415011e-10 1.031690e-09 9.466273e-10 1.041138e-09 1.056192e-09 1.475168e-09 1.895890e-15 1.950896e-15 1.645865e-15 2.159826e-15 1.774931e-15 1.781678e-15 1.724093e-15 2.206653e-15 
3.337860e+00 7.064919e-10 8.163489e-10 7.175869e-10 1.006074e-09 9.360206e-10 1.020178e-09 1.046345e-09 1.271890e-09 1.870053e-15 1.963232e-15 1.592784e-15 2.106199e-15 1.755043e-15 1.745809e-15 1.708019e-15 1.902576e-15 
3.576279e+00 7.111873e-10 8.475033e-10 7.057024e-10 9.549138e-10 9.499916e-10 1.035862e-09 1.041691e-09 1.156364e-09 1.882482e-15 2.038155e-15 1.566405e-15 1.999096e-15 1.781239e-15 1.772650e-15 1.700421e-15 1.729765e-15 
3.814697e+00 7.206337e-10 7.708170e-10 7.678972e-10 8.925110e-10 8.828843e-10 1.012660e-09 1.091448e-09 1.013658e-09 1.907486e-15 1.853732e-15 1.704455e-15 1.868457e-15 1.655413e-15 1.732945e-15 1.781643e-15 1.516296e-15 
4.053116e+00 6.656874e-10 7.423028e-10 8.632773e-10 9.517538e-10 9.324250e-10 1.004325e-09 1.102303e-09 1.103724e-09 1.762046e-15 1.785159e-15 1.916164e-15 1.992481e-15 1.748302e-15 1.718681e-15 1.799362e-15 1.651023e-15 
4.291534e+00 6.264531e-10 7.192969e-10 9.590304e-10 9.408262e-10 9.189183e-10 1.035032e-09 1.083700e-09 1.221394e-09 1.658194e-15 1.729832e-15 2.128702e-15 1.969604e-15 1.722977e-15 1.771230e-15 1.768995e-15 1.827041e-15 
4.529953e+00 7.930553e-10 7.008058e-10 9.049670e-10 8.678875e-10 1.092786e-09 1.078084e-09 1.379325e-09 1.224091e-09 2.099183e-15 1.685363e-15 2.008700e-15 1.816908e-15 2.048978e-15 1.844903e-15 2.251563e-15 1.831075e-15 
4.768372e+00 8.064009e-10 7.633999e-10 8.487063e-10 7.739175e-10 1.061991e-09 1.032171e-09 1.459138e-09 1.267593e-09 2.134508e-15 1.835895e-15 1.883822e-15 1.620183e-15 1.991238e-15 1.766334e-15 2.381847e-15 1.896148e-15 
5.006790e+00 6.784517e-10 7.640264e-10 9.291975e-10 7.603443e-10 9.229814e-10 9.312225e-10 1.061381e-09 1.089575e-09 1.795832e-15 1.837402e-15 2.062483e-15 1.591768e-15 1.730595e-15 1.593582e-15 1.732562e-15 1.629858e-15 
5.245209e+00 6.983935e-10 7.837866e-10 8.511901e-10 9.173162e-10 9.695105e-10 1.057568e-09 1.056132e-09 1.256240e-09 1.848617e-15 1.884923e-15 1.889335e-15 1.920386e-15 1.817837e-15 1.809795e-15 1.723994e-15 1.879167e-15 
5.483627e+00 7.428059e-10 7.645623e-10 8.633855e-10 9.523180e-10 9.835092e-10 9.951479e-10 9.266149e-10 1.478799e-09 1.966175e-15 1.838690e-15 1.916404e-15 1.993662e-15 1.844085e-15 1.702977e-15 1.512575e-15 2.212085e-15 
5.722046e+00 7.048307e-10 8.802149e-10 8.448892e-10 8.174396e-10 1.014914e-09 9.370989e-10 1.024023e-09 1.335626e-09 1.865656e-15 2.116823e-15 1.875349e-15 1.711296e-15 1.902968e-15 1.603638e-15 1.671580e-15 1.997917e-15 
5.960464e+00 6.432943e-10 8.014197e-10 8.470198e-10 9.082701e-10 1.006560e-09 9.126497e-10 1.011525e-09 1.204648e-09 1.702772e-15 1.927328e-15 1.880078e-15 1.901448e-15 1.887305e-15 1.561799e-15 1.651179e-15 1.801992e-15 
6.198883e+00 6.316973e-10 6.540794e-10 8.231070e-10 7.956114e-10 9.524193e-10 9.836100e-10 1.170231e-09 1.012040e-09 1.672075e-15 1.572991e-15 1.827001e-15 1.665599e-15 1.785791e-15 1.683232e-15 1.910246e-15 1.513876e-15 
6.437302e+00 6.898219e-10 7.547583e-10 7.285887e-10 8.186274e-10 1.063378e-09 1.167319e-09 1.201659e-09 1.036783e-09 1.825929e-15 1.815113e-15 1.617204e-15 1.713783e-15 1.993840e-15 1.997610e-15 1.961548e-15 1.550887e-15 
6.675720e+00 8.537435e-10 7.386703e-10 6.991027e-10 8.268952e-10 9.508500e-10 1.029221e-09 1.299859e-09 1.127641e-09 2.259822e-15 1.776423e-15 1.551756e-15 1.731091e-15 1.782849e-15 1.761286e-15 2.121846e-15 1.686799e-15 
6.914139e+00 8.288466e-10 6.463349e-10 8.373672e-10 7.803230e-10 9.891848e-10 1.002509e-09 1.292411e-09 1.214501e-09 2.193921e-15 1.554366e-15 1.858653e-15 1.633593e-15 1.854726e-15 1.715573e-15 2.109689e-15 1.816731e-15 
7.152557e+00 7.142500e-10 7.928105e-10 8.355824e-10 8.004892e-10 9.931387e-10 1.132745e-09 1.212389e-09 1.159845e-09 1.890589e-15 1.906624e-15 1.854692e-15 1.675811e-15 1.862140e-15 1.938444e-15 1.979063e-15 1.734972e-15 
7.390976e+00 7.453818e-10 8.410490e-10 7.141663e-10 8.530093e-10 1.040331e-09 1.054627e-09 1.000043e-09 1.104893e-09 1.972993e-15 2.022633e-15 1.585192e-15 1.785761e-15 1.950626e-15 1.804761e-15 1.632436e-15 1.652772e-15 
7.629395e+00 7.118656e-10 6.867886e-10 7.085172e-10 8.699284e-10 1.046458e-09 1.037525e-09 1.042387e-09 1.100973e-09 1.884277e-15 1.651653e-15 1.572653e-15 1.821181e-15 1.962115e-15 1.775496e-15 1.701557e-15 1.646908e-15 
7.867813e+00 7.254297e-10 7.025080e-10 8.405219e-10 8.334337e-10 9.793476e-10 1.002617e-09 1.017469e-09 1.132450e-09 1.920181e-15 1.689456e-15 1.865655e-15 1.744780e-15 1.836282e-15 1.715758e-15 1.660882e-15 1.693993e-15 
8.106232e+00 7.024902e-10 7.192100e-10 8.743293e-10 7.992445e-10 9.572351e-10 1.073562e-09 1.057680e-09 1.218377e-09 1.859461e-15 1.729623e-15 1.940696e-15 1.673205e-15 1.794821e-15 1.837165e-15 1.726520e-15 1.822529e-15 
8.344650e+00 6.402268e-10 7.118209e-10 7.634090e-10 9.603581e-10 9.557322e-10 1.151350e-09 1.249067e-09 1.268523e-09 1.694653e-15 1.711853e-15 1.694493e-15 2.010494e-15 1.792003e-15 1.970282e-15 2.038934e-15 1.897540e-15 
8.583069e+00 6.836648e-10 7.472674e-10 7.485338e-10 8.492180e-10 1.012196e-09 1.189016e-09 1.289193e-09 1.394155e-09 1.809631e-15 1.797098e-15 1.661475e-15 1.777824e-15 1.897873e-15 2.034739e-15 2.104435e-15 2.085468e-15 
8.821487e+00 5.897503e-10 7.862776e-10 8.648255e-10 6.905461e-10 9.812508e-10 1.028677e-09 1.245712e-09 1.128200e-09 1.561043e-15 1.890914e-15 1.919601e-15 1.445647e-15 1.839850e-15 1.760354e-15 2.033458e-15 1.687635e-15 
9.059906e+00 6.127809e-10 7.035260e-10 8.926911e-10 9.513227e-10 8.741925e-10 9.174608e-10 1.013209e-09 1.136644e-09 1.622004e-15 1.691905e-15 1.981452e-15 1.991578e-15 1.639115e-15 1.570032e-15 1.653928e-15 1.700267e-15 
9.298325e+00 6.757419e-10 7.565837e-10 7.775427e-10 1.057549e-09 1.054920e-09 9.302876e-10 1.166291e-09 1.270162e-09 1.788660e-15 1.819503e-15 1.725864e-15 2.213962e-15 1.977980e-15 1.591982e-15 1.903814e-15 1.899992e-15 
9.536743e+00 6.721444e-10 8.320879e-10 7.952309e-10 7.895191e-10 9.873788e-10 1.034283e-09 1.177850e-09 1.266421e-09 1.779137e-15 2.001082e-15 1.765126e-15 1.652845e-15 1.851340e-15 1.769947e-15 1.922682e-15 1.894396e-15 
9.775162e+00 7.035219e-10 8.457701e-10 8.975406e-10 8.117526e-10 9.711110e-10 9.877766e-10 1.190510e-09 1.143183e-09 1.862192e-15 2.033987e-15 1.992216e-15 1.699390e-15 1.820838e-15 1.690362e-15 1.943348e-15 1.710048e-15 
1.001358e+01 8.382063e-10 7.749566e-10 8.092056e-10 8.023448e-10 9.430813e-10 1.087590e-09 1.055030e-09 1.204827e-09 2.218696e-15 1.863688e-15 1.796145e-15 1.679696e-15 1.768282e-15 1.861171e-15 1.722195e-15 1.802259e-15 
1.025200e+01 7.331150e-10 7.056447e-10 7.336246e-10 8.653938e-10 9.789061e-10 1.126070e-09 9.309833e-10 1.220766e-09 1.940524e-15 1.697000e-15 1.628382e-15 1.811687e-15 1.835454e-15 1.927020e-15 1.519705e-15 1.826102e-15 
1.049042e+01 6.697520e-10 6.260927e-10 7.534579e-10 9.112769e-10 9.770946e-10 1.050354e-09 1.019041e-09 1.121563e-09 1.772805e-15 1.505686e-15 1.672405e-15 1.907743e-15 1.832057e-15 1.797450e-15 1.663448e-15 1.677708e-15 
1.072884e+01 7.037422e-10 7.438727e-10 7.661381e-10 8.927848e-10 8.969489e-10 9.831075e-10 1.027346e-09 1.087803e-09 1.862775e-15 1.788934e-15 1.700550e-15 1.869030e-15 1.681784e-15 1.682372e-15 1.677004e-15 1.627207e-15 
1.096725e+01 6.971412e-10 6.514394e-10 8.007539e-10 8.391651e-10 1.147552e-09 1.001914e-09 1.110553e-09 1.111325e-09 1.845302e-15 1.566642e-15 1.777385e-15 1.756778e-15 2.151665e-15 1.714556e-15 1.812829e-15 1.662393e-15 
1.120567e+01 6.834607e-10 6.459789e-10 7.380793e-10 8.395739e-10 1.050040e-09 1.078048e-09 1.179956e-09 1.156382e-09 1.809091e-15 1.553510e-15 1.638270e-15 1.757634e-15 1.968831e-15 1.844842e-15 1.926121e-15 1.729793e-15 
1.144409e+01 6.158507e-10 6.733586e-10 7.716712e-10 8.807714e-10 1.000636e-09 1.079706e-09 1.182879e-09 1.093167e-09 1.630130e-15 1.619355e-15 1.712832e-15 1.843880e-15 1.876197e-15 1.847679e-15 1.930892e-15 1.635231e-15 
1.168251e+01 6.623522e-10 6.537469e-10 7.628154e-10 8.348701e-10 1.033267e-09 1.069755e-09 1.109157e-09 1.098105e-09 1.753218e-15 1.572191e-15 1.693175e-15 1.747787e-15 1.937381e-15 1.830650e-15 1.810551e-15 1.642618e-15 
1.192093e+01 5.784986e-10 6.713340e-10 8.581469e-10 9.180903e-10 9.971027e-10 9.777908e-10 1.052564e-09 1.132142e-09 1.531261e-15 1.614486e-15 1.904777e-15 1.922007e-15 1.869573e-15 1.673274e-15 1.718171e-15 1.693532e-15 
1.215935e+01 6.704949e-10 7.098009e-10 8.541756e-10 8.125358e-10 8.930969e-10 9.898318e-10 1.089562e-09 1.212530e-09 1.774771e-15 1.706995e-15 1.895962e-15 1.701030e-15 1.674561e-15 1.693879e-15 1.778564e-15 1.813783e-15 
1.239777e+01 6.905762e-10 7.073918e-10 8.026753e-10 7.958065e-10 9.075140e-10 1.065570e-09 1.134373e-09 1.195769e-09 1.827925e-15 1.701201e-15 1.781650e-15 1.666008e-15 1.701593e-15 1.823488e-15 1.851712e-15 1.788710e-15 
1.263618e+01 6.770632e-10 7.737854e-10 6.743970e-10 8.906865e-10 9.936783e-10 1.063233e-09 1.092927e-09 1.297773e-09 1.792157e-15 1.860871e-15 1.496918e-15 1.864637e-15 1.863152e-15 1.819490e-15 1.784057e-15 1.941295e-15 
1.287460e+01 7.672907e-10 7.817167e-10 7.320958e-10 8.758542e-10 9.860899e-10 1.064413e-09 1.120907e-09 1.286715e-09 2.030985e-15 1.879945e-15 1.624989e-15 1.833586e-15 1.848924e-15 1.821509e-15 1.829731e-15 1.924752e-15 
1.311302e+01 6.811034e-10 8.221093e-10 8.715114e-10 9.069522e-10 9.084442e-10 1.049512e-09 1.073149e-09 1.101826e-09 1.802851e-15 1.977085e-15 1.934441e-15 1.898689e-15 1.703337e-15 1.796009e-15 1.751773e-15 1.648184e-15 
1.335144e+01 6.708487e-10 6.895795e-10 7.879052e-10 9.459649e-10 9.806125e-10 9.702547e-10 1.155722e-09 1.117555e-09 1.775708e-15 1.658365e-15 1.748865e-15 1.980362e-15 1.838653e-15 1.660377e-15 1.886561e-15 1.671712e-15 
1.358986e+01 6.921049e-10 7.700179e-10 7.925122e-10 8.284110e-10 9.578960e-10 8.908207e-10 1.142746e-09 1.076853e-09 1.831972e-15 1.851811e-15 1.759091e-15 1.734265e-15 1.796060e-15 1.524444e-15 1.865379e-15 1.610828e-15 
1.382828e+01 6.666778e-10 6.957155e-10 8.008342e-10 7.695156e-10 8.903573e-10 1.039714e-09 1.242869e-09 9.850201e-10 1.764667e-15 1.673121e-15 1.777563e-15 1.610968e-15 1.669424e-15 1.779242e-15 2.028818e-15 1.473458e-15 
1.406670e+01 6.982151e-10 7.149675e-10 7.548380e-10 8.022313e-10 8.397245e-10 1.170720e-09 1.286348e-09 1.045067e-09 1.848145e-15 1.719420e-15 1.675468e-15 1.679458e-15 1.574488e-15 2.003429e-15 2.099790e-15 1.563279e-15 
