A1a          A1b          A2a          A2b          
5.950861e-04 -6.792261e-04 -2.861340e-04 6.939702e-04 
-8.078887e-04 -6.309745e-04 1.755090e-03 1.621614e-03 
-6.945864e-05 -1.898564e-03 -8.129087e-04 1.202585e-04 
2.527462e-04 -2.100738e-04 -5.079112e-04 -4.889696e-04 
1.749533e-04 -6.410975e-04 -2.798155e-04 6.198005e-04 
-2.676907e-04 -8.792504e-04 2.813310e-04 4.089197e-05 
4.597534e-04 3.918000e-04 -8.164167e-04 -6.481578e-04 
NaN NaN NaN NaN 
4.228324e-04 -4.232290e-04 4.284320e-04 -7.163094e-04 
2.270967e-04 -1.938164e-03 -6.969547e-04 6.725751e-04 
2.300116e-04 -5.200168e-04 -1.126585e-03 7.431226e-05 
-4.345429e-04 -9.488084e-05 1.282841e-04 -4.002660e-04 
4.410282e-04 -7.971761e-04 -3.136856e-04 1.415426e-04 
-5.041461e-04 -6.701687e-04 -1.501902e-04 -1.913979e-05 
6.882255e-04 3.089752e-04 -1.039760e-03 -7.426008e-04 
-8.315974e-04 1.198606e-03 -6.721529e-04 -1.059417e-03 
8.821496e-04 -1.309217e-03 -1.643874e-05 1.239729e-03 
-1.801440e-05 1.664355e-05 -4.432070e-04 -7.316647e-04 
-4.268934e-04 3.415587e-04 -2.886597e-04 -2.578445e-04 
6.975295e-04 7.410327e-04 -4.139171e-04 -1.965718e-04 
-9.453135e-05 -1.438779e-04 -2.004450e-05 3.112927e-04 
8.092147e-04 1.603323e-04 -5.016435e-05 9.166234e-05 
-1.575224e-03 3.941002e-04 8.681633e-04 -1.112912e-03 
NaN NaN NaN NaN 
5.945765e-04 3.518116e-04 -4.602324e-04 6.289621e-04 
-1.488216e-04 2.598563e-03 -5.303551e-04 -2.582459e-03 
1.911865e-03 3.222117e-04 -2.158091e-03 -3.393433e-05 
-9.092743e-04 9.733716e-04 8.457241e-04 -1.660353e-03 
2.006548e-03 -1.974877e-03 -9.051596e-04 -9.212447e-04 
3.102120e-03 -2.899471e-03 -1.519227e-03 -4.336811e-03 
1.422782e-03 1.775365e-05 -8.009054e-04 -1.582175e-03 
1.957385e-03 -1.086339e-03 -3.827055e-04 -9.838350e-04 
NaN NaN NaN NaN 
-4.840715e-04 2.601998e-04 -3.143511e-04 -6.021157e-04 
-1.448783e-03 -1.254664e-03 5.764059e-04 6.714249e-04 
-8.222316e-04 7.668676e-04 3.316221e-04 -5.254328e-04 
6.459996e-04 7.321324e-04 -1.283917e-03 -7.468138e-04 
8.916807e-04 -2.147370e-04 -5.619889e-04 6.996035e-04 
2.032793e-04 5.005620e-04 -7.583646e-04 -2.598880e-04 
1.823347e-04 -3.761242e-04 1.467004e-04 8.525951e-04 
1.039244e-03 -3.144079e-04 -7.325920e-04 3.697659e-04 
NaN NaN NaN NaN 
-9.455407e-04 -7.386201e-04 4.010680e-04 8.415260e-04 
-1.738957e-03 -4.710326e-04 2.434905e-05 2.672125e-04 
9.218093e-04 -1.246325e-04 -1.795443e-03 4.074992e-04 
-1.166168e-03 -3.813915e-04 1.560751e-03 4.620928e-04 
-1.240738e-03 1.208779e-03 -1.035809e-04 -1.105288e-03 
2.222508e-04 4.423597e-04 -5.277905e-04 6.159996e-04 
2.404740e-04 6.519101e-04 -4.896670e-04 -1.456736e-03 
NaN NaN NaN NaN 
-8.991329e-04 -3.738261e-04 5.981067e-04 8.565134e-04 
NaN NaN NaN NaN 
-1.327203e-03 6.130790e-04 -5.884284e-04 -4.672459e-04 
3.733356e-04 -1.058678e-03 3.555548e-04 3.350758e-04 
-4.307992e-04 1.275304e-03 -6.513301e-04 -8.766371e-05 
-1.059964e-03 -1.093042e-03 1.250110e-03 1.359721e-03 
-1.147820e-03 7.334876e-04 -1.252561e-04 -1.554233e-03 
4.374896e-04 1.011836e-03 -8.194877e-04 -8.155786e-04 
-1.774382e-03 1.537976e-03 1.377834e-03 -4.136672e-04 
3.243911e-04 -1.673144e-04 7.072775e-05 6.411212e-05 
1.643098e-03 -1.005735e-03 -7.821104e-04 -2.936186e-03 
NaN NaN NaN NaN 
2.076144e-03 -1.343475e-03 -9.235007e-04 -1.980459e-03 
-2.941556e-05 -2.186071e-03 9.663426e-04 4.926503e-04 
NaN NaN NaN NaN 
-8.606395e-04 3.329980e-04 1.244701e-03 1.209126e-03 
