xbinc        data         
-1.130000e+01 -1.514017e+02 
-1.120000e+01 -1.536000e+02 
-1.110000e+01 -1.542892e+02 
-1.100000e+01 -1.512895e+02 
-1.090000e+01 -1.564798e+02 
-1.080000e+01 -1.571235e+02 
-1.070000e+01 -1.620670e+02 
-1.060000e+01 -1.566426e+02 
-1.050000e+01 -1.582211e+02 
-1.040000e+01 -1.591091e+02 
-1.030000e+01 -1.571932e+02 
-1.020000e+01 -1.581244e+02 
-1.010000e+01 -1.585031e+02 
-1.000000e+01 -1.568288e+02 
-9.900000e+00 -1.551018e+02 
-9.800000e+00 -1.578759e+02 
-9.700000e+00 -1.559885e+02 
-9.600000e+00 -1.537772e+02 
-9.500000e+00 -1.562111e+02 
-9.400000e+00 -1.591456e+02 
-9.300000e+00 -1.569033e+02 
-9.200000e+00 -1.467738e+02 
-9.100000e+00 -1.460767e+02 
-9.000000e+00 -1.553746e+02 
-8.900000e+00 -1.487354e+02 
-8.800000e+00 -1.513927e+02 
-8.700000e+00 -1.443710e+02 
-8.600000e+00 -1.437015e+02 
-8.500000e+00 -1.428610e+02 
-8.400000e+00 -1.377236e+02 
-8.300000e+00 -1.394303e+02 
-8.200000e+00 -1.386092e+02 
-8.100000e+00 -1.331042e+02 
-8.000000e+00 -1.318709e+02 
-7.900000e+00 -1.306582e+02 
-7.800000e+00 -1.281251e+02 
-7.700000e+00 -1.196916e+02 
-7.600000e+00 -1.070483e+02 
-7.500000e+00 -1.053222e+02 
-7.400000e+00 -1.029330e+02 
-7.300000e+00 -1.022396e+02 
-7.200000e+00 -8.605770e+01 
-7.100000e+00 -8.653956e+01 
-7.000000e+00 -8.158991e+01 
-6.900000e+00 -7.548406e+01 
-6.800000e+00 -7.174964e+01 
-6.700000e+00 -7.530372e+01 
-6.600000e+00 -6.165789e+01 
-6.500000e+00 -5.686092e+01 
-6.400000e+00 -5.886561e+01 
-6.300000e+00 -5.387699e+01 
-6.200000e+00 -5.894860e+01 
-6.100000e+00 -5.558785e+01 
-6.000000e+00 -5.373051e+01 
-5.900000e+00 -5.468474e+01 
-5.800000e+00 -5.376506e+01 
-5.700000e+00 -4.739425e+01 
-5.600000e+00 -4.753419e+01 
-5.500000e+00 -4.660829e+01 
-5.400000e+00 -4.521232e+01 
-5.300000e+00 -4.443281e+01 
-5.200000e+00 -4.393885e+01 
-5.100000e+00 -4.184432e+01 
-5.000000e+00 -4.098671e+01 
-4.900000e+00 -4.019045e+01 
-4.800000e+00 -3.892812e+01 
-4.700000e+00 -3.934610e+01 
-4.600000e+00 -3.768293e+01 
-4.500000e+00 -3.855613e+01 
-4.400000e+00 -3.790880e+01 
-4.300000e+00 -3.874491e+01 
-4.200000e+00 -3.693781e+01 
-4.100000e+00 -4.021942e+01 
-4.000000e+00 -4.095089e+01 
-3.900000e+00 -3.687711e+01 
-3.800000e+00 -3.700195e+01 
-3.700000e+00 -3.645802e+01 
-3.600000e+00 -3.661015e+01 
-3.500000e+00 -3.638684e+01 
-3.400000e+00 -3.656696e+01 
-3.300000e+00 -3.810680e+01 
-3.200000e+00 -3.789207e+01 
-3.100000e+00 -3.560856e+01 
-3.000000e+00 -3.546921e+01 
-2.900000e+00 -3.435422e+01 
-2.800000e+00 -3.438712e+01 
-2.700000e+00 -3.552931e+01 
-2.600000e+00 -3.430681e+01 
-2.500000e+00 -3.462164e+01 
-2.400000e+00 -3.540767e+01 
-2.300000e+00 -3.474669e+01 
-2.200000e+00 -3.688430e+01 
-2.100000e+00 -3.684018e+01 
-2.000000e+00 -3.655181e+01 
-1.900000e+00 -3.424087e+01 
-1.800000e+00 -3.356928e+01 
-1.700000e+00 -3.272847e+01 
-1.600000e+00 -3.617809e+01 
-1.500000e+00 -3.514359e+01 
-1.400000e+00 -3.434942e+01 
-1.300000e+00 -3.778402e+01 
-1.200000e+00 -3.357567e+01 
-1.100000e+00 -3.295850e+01 
-1.000000e+00 -3.682233e+01 
-9.000000e-01 -3.536010e+01 
-8.000000e-01 -3.530646e+01 
-7.000000e-01 -3.525918e+01 
-6.000000e-01 -3.384497e+01 
-5.000000e-01 -3.587813e+01 
-4.000000e-01 -3.416096e+01 
-3.000000e-01 -3.747197e+01 
-2.000000e-01 -3.585778e+01 
-1.000000e-01 -3.529396e+01 
0.000000e+00 -3.552968e+01 
1.000000e-01 -3.610089e+01 
2.000000e-01 -3.365797e+01 
3.000000e-01 -3.498070e+01 
4.000000e-01 -3.491042e+01 
5.000000e-01 -3.501847e+01 
6.000000e-01 -3.641855e+01 
7.000000e-01 -3.719531e+01 
8.000000e-01 -3.518469e+01 
9.000000e-01 -3.658607e+01 
1.000000e+00 -3.642626e+01 
1.100000e+00 -3.593097e+01 
1.200000e+00 -3.488641e+01 
1.300000e+00 -3.526719e+01 
1.400000e+00 -3.553894e+01 
1.500000e+00 -3.638810e+01 
1.600000e+00 -3.613599e+01 
1.700000e+00 -3.605786e+01 
1.800000e+00 -3.842275e+01 
1.900000e+00 -4.572045e+01 
2.000000e+00 -4.021966e+01 
2.100000e+00 -3.971057e+01 
2.200000e+00 -3.881822e+01 
2.300000e+00 -4.349877e+01 
2.400000e+00 -4.226908e+01 
2.500000e+00 -4.124005e+01 
2.600000e+00 -5.142176e+01 
2.700000e+00 -5.192018e+01 
2.800000e+00 -4.847084e+01 
2.900000e+00 -5.149762e+01 
3.000000e+00 -5.404455e+01 
3.100000e+00 -5.238947e+01 
3.200000e+00 -5.513205e+01 
3.300000e+00 -6.463724e+01 
3.400000e+00 -6.249891e+01 
3.500000e+00 -6.529484e+01 
3.600000e+00 -6.467178e+01 
3.700000e+00 -7.128006e+01 
3.800000e+00 -8.014700e+01 
3.900000e+00 -8.065508e+01 
4.000000e+00 -8.273798e+01 
4.100000e+00 -8.632338e+01 
4.200000e+00 -8.741356e+01 
4.300000e+00 -9.797955e+01 
4.400000e+00 -9.851635e+01 
4.500000e+00 -1.087685e+02 
4.600000e+00 -1.175912e+02 
4.700000e+00 -1.180101e+02 
4.800000e+00 -1.186988e+02 
4.900000e+00 -1.286558e+02 
5.000000e+00 -1.325132e+02 
5.100000e+00 -1.273722e+02 
5.200000e+00 -1.373372e+02 
5.300000e+00 -1.314660e+02 
5.400000e+00 -1.390327e+02 
5.500000e+00 -1.356770e+02 
5.600000e+00 -1.366409e+02 
5.700000e+00 -1.395027e+02 
5.800000e+00 -1.429294e+02 
5.900000e+00 -1.429364e+02 
6.000000e+00 -1.436261e+02 
6.100000e+00 -1.515863e+02 
6.200000e+00 -1.443275e+02 
6.300000e+00 -1.499900e+02 
6.400000e+00 -1.470050e+02 
6.500000e+00 -1.502838e+02 
6.600000e+00 -1.510822e+02 
6.700000e+00 -1.510348e+02 
6.800000e+00 -1.557459e+02 
6.900000e+00 -1.508319e+02 
7.000000e+00 -1.569239e+02 
7.100000e+00 -1.546684e+02 
7.200000e+00 -1.554481e+02 
7.300000e+00 -1.542030e+02 
7.400000e+00 -1.563321e+02 
7.500000e+00 -1.554910e+02 
7.600000e+00 -1.541445e+02 
7.700000e+00 -1.629325e+02 
7.800000e+00 -1.543345e+02 
7.900000e+00 -1.572217e+02 
8.000000e+00 -1.589178e+02 
8.100000e+00 -1.543704e+02 
