f            Pxx          
1.525879e+00 1.183758e-09 
2.288818e+00 1.177406e-09 
3.051758e+00 1.149183e-09 
3.814697e+00 1.145524e-09 
4.577637e+00 1.197605e-09 
5.340576e+00 1.149196e-09 
6.103516e+00 1.093568e-09 
6.866455e+00 1.126498e-09 
7.629395e+00 1.047258e-09 
8.392334e+00 1.048208e-09 
9.155273e+00 1.137159e-09 
9.918213e+00 1.112123e-09 
1.068115e+01 1.071131e-09 
1.144409e+01 1.112916e-09 
1.220703e+01 1.212318e-09 
1.296997e+01 1.117013e-09 
1.373291e+01 1.219745e-09 
1.449585e+01 1.049399e-09 
1.525879e+01 1.142793e-09 
1.602173e+01 1.143131e-09 
1.678467e+01 1.080568e-09 
1.754761e+01 1.028706e-09 
1.831055e+01 1.058358e-09 
1.907349e+01 1.147590e-09 
1.983643e+01 1.172411e-09 
2.059937e+01 1.110104e-09 
2.136230e+01 9.494085e-10 
2.212524e+01 1.055717e-09 
2.288818e+01 9.464829e-10 
2.365112e+01 1.061525e-09 
2.441406e+01 1.071857e-09 
2.517700e+01 1.084361e-09 
2.593994e+01 9.938532e-10 
2.670288e+01 1.126335e-09 
2.746582e+01 9.917066e-10 
2.822876e+01 9.387713e-10 
2.899170e+01 1.023636e-09 
2.975464e+01 1.052985e-09 
3.051758e+01 1.067618e-09 
3.128052e+01 1.048970e-09 
3.204346e+01 1.114954e-09 
3.280640e+01 1.072077e-09 
3.356934e+01 1.083356e-09 
3.433228e+01 1.093876e-09 
3.509521e+01 1.061698e-09 
3.585815e+01 9.994887e-10 
3.662109e+01 9.584245e-10 
3.738403e+01 9.619000e-10 
3.814697e+01 1.068263e-09 
3.890991e+01 1.038777e-09 
3.967285e+01 1.018601e-09 
4.043579e+01 9.603036e-10 
4.119873e+01 1.053835e-09 
4.196167e+01 9.650941e-10 
4.272461e+01 9.929414e-10 
4.348755e+01 1.041067e-09 
4.425049e+01 1.008034e-09 
4.501343e+01 1.087911e-09 
4.577637e+01 1.020923e-09 
4.653931e+01 9.835308e-10 
4.730225e+01 1.024014e-09 
4.806519e+01 1.062281e-09 
4.882813e+01 1.125097e-09 
4.959106e+01 1.054789e-09 
5.035400e+01 1.017301e-09 
5.111694e+01 9.687894e-10 
5.187988e+01 1.054936e-09 
5.264282e+01 1.099602e-09 
5.340576e+01 9.947843e-10 
5.416870e+01 9.315708e-10 
5.493164e+01 9.452106e-10 
5.569458e+01 9.819929e-10 
5.645752e+01 1.018850e-09 
5.722046e+01 1.042224e-09 
5.798340e+01 1.006970e-09 
5.874634e+01 9.700077e-10 
5.950928e+01 1.012558e-09 
6.027222e+01 9.862814e-10 
6.103516e+01 9.898077e-10 
6.179810e+01 9.509639e-10 
6.256104e+01 1.017648e-09 
6.332397e+01 1.066385e-09 
6.408691e+01 9.133367e-10 
6.484985e+01 9.783821e-10 
6.561279e+01 9.176449e-10 
6.637573e+01 9.025772e-10 
6.713867e+01 9.998044e-10 
6.790161e+01 9.536607e-10 
6.866455e+01 9.413183e-10 
6.942749e+01 8.881923e-10 
7.019043e+01 9.033041e-10 
7.095337e+01 9.666227e-10 
7.171631e+01 9.053590e-10 
7.247925e+01 8.334531e-10 
7.324219e+01 8.233832e-10 
7.400513e+01 8.689006e-10 
7.476807e+01 8.832145e-10 
7.553101e+01 1.005618e-09 
7.629395e+01 1.006756e-09 
7.705688e+01 9.191919e-10 
7.781982e+01 8.959298e-10 
7.858276e+01 8.940402e-10 
7.934570e+01 9.893172e-10 
8.010864e+01 8.723311e-10 
8.087158e+01 8.683505e-10 
8.163452e+01 9.421333e-10 
8.239746e+01 9.607702e-10 
8.316040e+01 1.000322e-09 
8.392334e+01 9.012799e-10 
8.468628e+01 8.555975e-10 
8.544922e+01 8.592326e-10 
8.621216e+01 8.530595e-10 
8.697510e+01 8.681512e-10 
8.773804e+01 9.509691e-10 
8.850098e+01 1.034116e-09 
8.926392e+01 8.640935e-10 
9.002686e+01 8.790525e-10 
9.078979e+01 8.701282e-10 
9.155273e+01 8.998503e-10 
9.231567e+01 8.869929e-10 
9.307861e+01 8.289949e-10 
9.384155e+01 8.071394e-10 
9.460449e+01 8.669266e-10 
9.536743e+01 8.023268e-10 
9.613037e+01 8.141357e-10 
9.689331e+01 9.006485e-10 
9.765625e+01 8.592867e-10 
9.841919e+01 7.888507e-10 
9.918213e+01 7.912951e-10 
9.994507e+01 8.698606e-10 
1.007080e+02 9.133540e-10 
1.014709e+02 8.373360e-10 
1.022339e+02 8.156092e-10 
1.029968e+02 8.592073e-10 
1.037598e+02 9.132095e-10 
1.045227e+02 9.497710e-10 
1.052856e+02 9.205327e-10 
1.060486e+02 7.414499e-10 
1.068115e+02 8.777548e-10 
1.075745e+02 8.309987e-10 
1.083374e+02 7.572819e-10 
1.091003e+02 8.164211e-10 
1.098633e+02 7.346940e-10 
1.106262e+02 7.482661e-10 
1.113892e+02 7.358444e-10 
1.121521e+02 8.137692e-10 
1.129150e+02 8.417407e-10 
1.136780e+02 9.077207e-10 
1.144409e+02 8.382667e-10 
1.152039e+02 7.823123e-10 
1.159668e+02 7.823924e-10 
1.167297e+02 8.151133e-10 
1.174927e+02 8.280447e-10 
1.182556e+02 9.745112e-10 
1.190186e+02 9.140040e-10 
1.197815e+02 8.508685e-10 
1.205444e+02 7.951435e-10 
1.213074e+02 7.363482e-10 
1.220703e+02 7.524683e-10 
1.228333e+02 7.663660e-10 
1.235962e+02 8.018243e-10 
1.243591e+02 7.810924e-10 
1.251221e+02 8.078370e-10 
1.258850e+02 7.980830e-10 
1.266479e+02 7.169511e-10 
1.274109e+02 7.809896e-10 
1.281738e+02 8.312023e-10 
1.289368e+02 8.576333e-10 
1.296997e+02 7.379647e-10 
1.304626e+02 7.453755e-10 
1.312256e+02 7.347319e-10 
1.319885e+02 8.174620e-10 
1.327515e+02 7.845071e-10 
1.335144e+02 7.612770e-10 
1.342773e+02 8.122673e-10 
1.350403e+02 7.227996e-10 
1.358032e+02 6.966909e-10 
1.365662e+02 7.842985e-10 
1.373291e+02 8.036807e-10 
1.380920e+02 7.836843e-10 
1.388550e+02 7.315924e-10 
1.396179e+02 7.356480e-10 
1.403809e+02 7.947888e-10 
1.411438e+02 8.589791e-10 
1.419067e+02 7.485826e-10 
1.426697e+02 6.883640e-10 
1.434326e+02 7.885832e-10 
1.441956e+02 7.816390e-10 
1.449585e+02 7.333883e-10 
1.457214e+02 7.785161e-10 
1.464844e+02 7.672727e-10 
1.472473e+02 7.613814e-10 
1.480103e+02 7.573424e-10 
1.487732e+02 8.926725e-10 
1.495361e+02 7.927111e-10 
1.502991e+02 7.001512e-10 
1.510620e+02 7.677121e-10 
1.518250e+02 7.811746e-10 
1.525879e+02 7.849277e-10 
1.533508e+02 7.371515e-10 
1.541138e+02 8.151369e-10 
1.548767e+02 8.220028e-10 
1.556396e+02 7.761872e-10 
1.564026e+02 7.983011e-10 
1.571655e+02 7.178472e-10 
1.579285e+02 7.551767e-10 
1.586914e+02 7.319689e-10 
1.594543e+02 7.302231e-10 
1.602173e+02 7.344513e-10 
1.609802e+02 7.133508e-10 
1.617432e+02 7.467383e-10 
1.625061e+02 7.855097e-10 
1.632690e+02 7.818149e-10 
1.640320e+02 7.005203e-10 
1.647949e+02 7.364830e-10 
1.655579e+02 7.122428e-10 
1.663208e+02 8.054743e-10 
1.670837e+02 8.096956e-10 
1.678467e+02 8.076410e-10 
1.686096e+02 7.710721e-10 
1.693726e+02 7.375550e-10 
1.701355e+02 7.050794e-10 
1.708984e+02 6.204036e-10 
1.716614e+02 6.659689e-10 
1.724243e+02 7.812480e-10 
1.731873e+02 7.969417e-10 
1.739502e+02 7.592196e-10 
1.747131e+02 6.606214e-10 
1.754761e+02 6.591616e-10 
1.762390e+02 6.605435e-10 
1.770020e+02 7.063843e-10 
1.777649e+02 6.860511e-10 
1.785278e+02 7.234754e-10 
1.792908e+02 7.380077e-10 
1.800537e+02 6.948864e-10 
1.808167e+02 7.280541e-10 
1.815796e+02 7.196380e-10 
1.823425e+02 7.210016e-10 
1.831055e+02 7.355099e-10 
1.838684e+02 7.339027e-10 
1.846313e+02 7.058183e-10 
1.853943e+02 6.536085e-10 
1.861572e+02 6.066239e-10 
1.869202e+02 6.694758e-10 
1.876831e+02 6.539169e-10 
1.884460e+02 7.019643e-10 
1.892090e+02 7.204013e-10 
1.899719e+02 7.693646e-10 
1.907349e+02 7.538361e-10 
1.914978e+02 6.897505e-10 
1.922607e+02 6.791580e-10 
1.930237e+02 6.573718e-10 
1.937866e+02 6.617468e-10 
1.945496e+02 6.710893e-10 
1.953125e+02 7.222483e-10 
1.960754e+02 6.918230e-10 
1.968384e+02 7.643858e-10 
1.976013e+02 7.783343e-10 
1.983643e+02 7.079569e-10 
1.991272e+02 6.352602e-10 
1.998901e+02 7.186602e-10 
2.006531e+02 7.194498e-10 
2.014160e+02 7.327591e-10 
2.021790e+02 6.698739e-10 
2.029419e+02 7.036766e-10 
2.037048e+02 6.774793e-10 
2.044678e+02 7.443602e-10 
2.052307e+02 7.489574e-10 
2.059937e+02 7.264938e-10 
2.067566e+02 6.344738e-10 
2.075195e+02 6.557381e-10 
2.082825e+02 6.444905e-10 
2.090454e+02 6.930017e-10 
2.098083e+02 7.447654e-10 
2.105713e+02 7.576260e-10 
2.113342e+02 7.898147e-10 
2.120972e+02 7.836672e-10 
2.128601e+02 7.279744e-10 
2.136230e+02 7.177208e-10 
2.143860e+02 6.820587e-10 
2.151489e+02 7.216450e-10 
2.159119e+02 6.904469e-10 
2.166748e+02 7.242751e-10 
2.174377e+02 7.929833e-10 
2.182007e+02 7.228360e-10 
2.189636e+02 7.024096e-10 
2.197266e+02 6.840935e-10 
2.204895e+02 7.561706e-10 
2.212524e+02 7.142953e-10 
2.220154e+02 7.168497e-10 
2.227783e+02 7.424842e-10 
2.235413e+02 8.155121e-10 
2.243042e+02 7.947387e-10 
2.250671e+02 6.435511e-10 
2.258301e+02 6.876767e-10 
2.265930e+02 7.083720e-10 
2.273560e+02 6.757084e-10 
2.281189e+02 7.206139e-10 
2.288818e+02 6.807894e-10 
2.296448e+02 7.459033e-10 
2.304077e+02 7.586922e-10 
2.311707e+02 7.185404e-10 
2.319336e+02 7.102937e-10 
2.326965e+02 7.227622e-10 
2.334595e+02 6.631354e-10 
2.342224e+02 6.263053e-10 
2.349854e+02 6.823171e-10 
2.357483e+02 6.414300e-10 
2.365112e+02 6.995836e-10 
2.372742e+02 7.606163e-10 
2.380371e+02 7.627368e-10 
2.388000e+02 6.934744e-10 
2.395630e+02 6.806423e-10 
2.403259e+02 6.019703e-10 
2.410889e+02 6.750320e-10 
2.418518e+02 6.935266e-10 
2.426147e+02 7.152249e-10 
2.433777e+02 7.251333e-10 
2.441406e+02 6.787935e-10 
2.449036e+02 6.432116e-10 
2.456665e+02 6.076257e-10 
2.464294e+02 5.483775e-10 
2.471924e+02 6.082619e-10 
2.479553e+02 6.172188e-10 
2.487183e+02 6.351671e-10 
2.494812e+02 7.667601e-10 
2.502441e+02 6.782818e-10 
2.510071e+02 6.588590e-10 
2.517700e+02 6.524983e-10 
2.525330e+02 6.228331e-10 
2.532959e+02 6.313555e-10 
2.540588e+02 6.220633e-10 
2.548218e+02 6.460078e-10 
2.555847e+02 6.060914e-10 
2.563477e+02 6.561099e-10 
2.571106e+02 6.620266e-10 
2.578735e+02 6.972644e-10 
2.586365e+02 7.047629e-10 
2.593994e+02 6.604775e-10 
2.601624e+02 6.780615e-10 
2.609253e+02 6.688300e-10 
2.616882e+02 7.020302e-10 
2.624512e+02 6.391570e-10 
2.632141e+02 6.243539e-10 
2.639771e+02 6.341108e-10 
2.647400e+02 6.714685e-10 
2.655029e+02 6.560652e-10 
2.662659e+02 7.108064e-10 
2.670288e+02 7.668995e-10 
2.677917e+02 6.896370e-10 
2.685547e+02 7.543032e-10 
2.693176e+02 7.058679e-10 
2.700806e+02 5.723262e-10 
2.708435e+02 5.674431e-10 
2.716064e+02 6.133022e-10 
2.723694e+02 6.901108e-10 
2.731323e+02 7.712390e-10 
2.738953e+02 7.016300e-10 
2.746582e+02 6.583279e-10 
2.754211e+02 6.639427e-10 
2.761841e+02 5.813704e-10 
2.769470e+02 6.218621e-10 
2.777100e+02 6.070201e-10 
2.784729e+02 6.415994e-10 
2.792358e+02 7.612312e-10 
2.799988e+02 7.242947e-10 
2.807617e+02 6.634724e-10 
2.815247e+02 6.583683e-10 
2.822876e+02 6.885508e-10 
2.830505e+02 6.426749e-10 
2.838135e+02 6.645876e-10 
2.845764e+02 5.793768e-10 
2.853394e+02 7.155778e-10 
2.861023e+02 7.187248e-10 
2.868652e+02 7.442575e-10 
2.876282e+02 7.401106e-10 
2.883911e+02 6.045300e-10 
2.891541e+02 5.516935e-10 
2.899170e+02 5.939014e-10 
2.906799e+02 6.026442e-10 
2.914429e+02 5.773591e-10 
2.922058e+02 6.136497e-10 
2.929688e+02 7.329904e-10 
2.937317e+02 6.695971e-10 
2.944946e+02 6.426877e-10 
2.952576e+02 6.814159e-10 
2.960205e+02 7.378934e-10 
2.967834e+02 6.450658e-10 
2.975464e+02 6.155303e-10 
2.983093e+02 6.398173e-10 
2.990723e+02 6.676125e-10 
2.998352e+02 6.522394e-10 
3.005981e+02 6.902578e-10 
3.013611e+02 7.242310e-10 
3.021240e+02 6.590510e-10 
3.028870e+02 6.923075e-10 
3.036499e+02 6.085855e-10 
3.044128e+02 6.697881e-10 
3.051758e+02 6.415700e-10 
3.059387e+02 6.630059e-10 
3.067017e+02 6.560956e-10 
3.074646e+02 6.821515e-10 
3.082275e+02 6.475211e-10 
3.089905e+02 6.641496e-10 
3.097534e+02 6.100001e-10 
3.105164e+02 6.674185e-10 
3.112793e+02 6.343952e-10 
3.120422e+02 6.470339e-10 
3.128052e+02 6.049689e-10 
3.135681e+02 6.243914e-10 
3.143311e+02 5.817552e-10 
3.150940e+02 6.228256e-10 
3.158569e+02 6.993874e-10 
3.166199e+02 6.257530e-10 
3.173828e+02 6.091467e-10 
3.181458e+02 5.819868e-10 
3.189087e+02 6.157398e-10 
3.196716e+02 6.555119e-10 
3.204346e+02 6.231917e-10 
3.211975e+02 6.269758e-10 
3.219604e+02 6.710894e-10 
3.227234e+02 6.747185e-10 
3.234863e+02 6.561444e-10 
3.242493e+02 6.425946e-10 
3.250122e+02 6.103698e-10 
3.257751e+02 6.419907e-10 
3.265381e+02 6.331468e-10 
3.273010e+02 6.120138e-10 
3.280640e+02 6.669999e-10 
3.288269e+02 6.745963e-10 
3.295898e+02 6.733895e-10 
3.303528e+02 5.705285e-10 
3.311157e+02 5.553006e-10 
3.318787e+02 7.029945e-10 
3.326416e+02 7.182328e-10 
3.334045e+02 6.767457e-10 
3.341675e+02 6.277240e-10 
3.349304e+02 6.303520e-10 
3.356934e+02 6.817433e-10 
3.364563e+02 6.396737e-10 
3.372192e+02 6.515115e-10 
3.379822e+02 7.076517e-10 
3.387451e+02 6.973766e-10 
3.395081e+02 6.322257e-10 
3.402710e+02 6.198367e-10 
3.410339e+02 5.805951e-10 
3.417969e+02 5.945139e-10 
3.425598e+02 6.044617e-10 
3.433228e+02 7.078941e-10 
3.440857e+02 6.769702e-10 
3.448486e+02 6.049936e-10 
3.456116e+02 5.656400e-10 
3.463745e+02 5.553552e-10 
3.471375e+02 7.085477e-10 
3.479004e+02 6.963820e-10 
3.486633e+02 5.197958e-10 
3.494263e+02 6.163984e-10 
3.501892e+02 6.406771e-10 
3.509521e+02 7.021194e-10 
3.517151e+02 6.580073e-10 
3.524780e+02 6.125525e-10 
3.532410e+02 6.735759e-10 
3.540039e+02 6.614783e-10 
3.547668e+02 6.650443e-10 
3.555298e+02 6.176114e-10 
3.562927e+02 5.591799e-10 
3.570557e+02 5.960305e-10 
3.578186e+02 5.994910e-10 
