below6       6to10        10to100      100up        6up          
1.163110e+00 1.049821e+00 1.006670e+00 1.005565e+00 1.004897e+00 
1.015061e+00 9.585563e-01 9.945208e-01 1.003557e+00 1.000552e+00 
1.356853e+00 1.110209e+00 1.016774e+00 9.986777e-01 1.003752e+00 
1.063711e+00 1.041043e+00 1.003351e+00 1.003091e+00 1.002949e+00 
1.010591e+00 1.034310e+00 9.970215e-01 1.000598e+00 1.000672e+00 
1.045133e+00 1.113390e+00 1.001452e+00 9.941435e-01 9.960226e-01 
1.089375e+00 1.090439e+00 1.074962e+00 1.119258e+00 1.111185e+00 
1.007524e+00 1.027307e+00 9.966994e-01 9.960586e-01 9.956674e-01 
9.844790e-01 9.915765e-01 9.545685e-01 9.482866e-01 9.497778e-01 
1.069882e+00 1.095557e+00 1.002607e+00 9.932623e-01 9.951593e-01 
9.822748e-01 9.254768e-01 9.592806e-01 9.368543e-01 9.394775e-01 
1.066676e+00 1.034855e+00 9.955783e-01 1.000786e+00 9.992838e-01 
9.868306e-01 1.004144e+00 1.009973e+00 1.006545e+00 1.007071e+00 
9.970284e-01 9.383513e-01 9.995297e-01 1.000766e+00 9.997394e-01 
1.043223e+00 1.013865e+00 1.020387e+00 1.004533e+00 1.008482e+00 
1.055036e+00 9.832836e-01 9.951749e-01 1.005030e+00 1.003242e+00 
1.031014e+00 9.665033e-01 1.026665e+00 1.070450e+00 1.064130e+00 
1.042500e+00 9.906540e-01 1.014863e+00 1.044420e+00 1.039595e+00 
1.078140e+00 1.015545e+00 1.006762e+00 1.008649e+00 1.009340e+00 
1.074756e+00 9.687783e-01 1.007339e+00 1.003001e+00 1.003737e+00 
9.915005e-01 1.136732e+00 1.014889e+00 1.005845e+00 1.008400e+00 
1.082419e+00 9.704697e-01 1.000073e+00 9.975697e-01 9.968135e-01 
1.018058e+00 1.050375e+00 1.009380e+00 9.909748e-01 9.950617e-01 
1.092737e+00 1.026058e+00 1.035858e+00 1.019714e+00 1.023085e+00 
1.016694e+00 9.902536e-01 1.019179e+00 1.005794e+00 1.007909e+00 
1.010972e+00 9.835955e-01 1.009793e+00 9.958767e-01 9.971591e-01 
1.026543e+00 1.041442e+00 9.912763e-01 9.949954e-01 9.939202e-01 
1.927101e+00 1.459717e+00 1.074534e+00 9.953484e-01 1.029053e+00 
1.357774e+00 1.379614e+00 1.184232e+00 1.034749e+00 1.098666e+00 
1.007367e+00 1.018949e+00 1.001504e+00 1.007979e+00 1.006562e+00 
1.443984e+00 1.328460e+00 1.049030e+00 1.011204e+00 1.020073e+00 
