gain         noise        
-1.000000e+02 1.573758e-10 
-9.000000e+01 1.622019e-10 
-8.000000e+01 1.660778e-10 
-7.000000e+01 1.680902e-10 
-6.000000e+01 1.699957e-10 
-5.000000e+01 1.721498e-10 
-4.000000e+01 1.729885e-10 
-3.000000e+01 1.737473e-10 
-2.000000e+01 1.752056e-10 
-1.000000e+01 1.778003e-10 
-9.000000e+00 1.782054e-10 
-8.000000e+00 1.786861e-10 
-7.000000e+00 1.806811e-10 
-6.000000e+00 1.816723e-10 
-5.000000e+00 1.837487e-10 
-4.000000e+00 1.835462e-10 
-3.000000e+00 1.884357e-10 
-2.000000e+00 1.904853e-10 
-1.000000e+00 2.049270e-10 
1.000000e+00 1.543605e-10 
2.000000e+00 1.392273e-10 
3.000000e+00 1.349166e-10 
4.000000e+00 1.334058e-10 
5.000000e+00 1.333180e-10 
6.000000e+00 1.327918e-10 
7.000000e+00 1.322230e-10 
8.000000e+00 1.316804e-10 
9.000000e+00 1.315120e-10 
1.000000e+01 1.312310e-10 
2.000000e+01 1.288556e-10 
3.000000e+01 1.271919e-10 
4.000000e+01 1.248227e-10 
5.000000e+01 1.211501e-10 
6.000000e+01 1.141937e-10 
7.000000e+01 1.030308e-10 
8.000000e+01 9.816394e-11 
9.000000e+01 1.081298e-10 
1.000000e+02 1.088391e-10 
