f_model      sPtot_hiG    sPtot_hiPopt 
4.768372e-01 1.790029e-15 1.755033e-15 
7.152557e-01 1.789919e-15 1.754926e-15 
9.536743e-01 1.789766e-15 1.754776e-15 
1.192093e+00 1.789569e-15 1.754583e-15 
1.430511e+00 1.789328e-15 1.754347e-15 
1.668930e+00 1.789044e-15 1.754068e-15 
1.907349e+00 1.788716e-15 1.753747e-15 
2.145767e+00 1.788345e-15 1.753383e-15 
2.384186e+00 1.787931e-15 1.752977e-15 
2.622604e+00 1.787473e-15 1.752528e-15 
2.861023e+00 1.786972e-15 1.752037e-15 
3.099442e+00 1.786427e-15 1.751504e-15 
3.337860e+00 1.785840e-15 1.750928e-15 
3.576279e+00 1.785210e-15 1.750311e-15 
3.814697e+00 1.784537e-15 1.749652e-15 
4.053116e+00 1.783822e-15 1.748951e-15 
4.291534e+00 1.783064e-15 1.748208e-15 
4.529953e+00 1.782264e-15 1.747424e-15 
4.768372e+00 1.781422e-15 1.746599e-15 
5.006790e+00 1.780538e-15 1.745733e-15 
5.245209e+00 1.779613e-15 1.744825e-15 
5.483627e+00 1.778646e-15 1.743878e-15 
5.722046e+00 1.777638e-15 1.742889e-15 
5.960464e+00 1.776588e-15 1.741861e-15 
6.437302e+00 1.774367e-15 1.739684e-15 
6.675720e+00 1.773196e-15 1.738536e-15 
6.914139e+00 1.771985e-15 1.737349e-15 
7.152557e+00 1.770733e-15 1.736123e-15 
7.629395e+00 1.768112e-15 1.733555e-15 
7.867813e+00 1.766743e-15 1.732213e-15 
8.344650e+00 1.763889e-15 1.729416e-15 
8.821487e+00 1.760882e-15 1.726469e-15 
9.059906e+00 1.759322e-15 1.724940e-15 
9.536743e+00 1.756091e-15 1.721773e-15 
1.001358e+01 1.752713e-15 1.718463e-15 
1.049042e+01 1.749192e-15 1.715012e-15 
1.096725e+01 1.745529e-15 1.711423e-15 
1.144409e+01 1.741729e-15 1.707698e-15 
1.192093e+01 1.737794e-15 1.703842e-15 
1.263618e+01 1.731644e-15 1.697815e-15 
1.311302e+01 1.727385e-15 1.693640e-15 
1.382828e+01 1.720763e-15 1.687151e-15 
1.430511e+01 1.716199e-15 1.682678e-15 
1.502037e+01 1.709135e-15 1.675755e-15 
1.573563e+01 1.701821e-15 1.668587e-15 
1.645088e+01 1.694268e-15 1.661185e-15 
1.716614e+01 1.686487e-15 1.653560e-15 
1.811981e+01 1.675777e-15 1.643064e-15 
1.883507e+01 1.667508e-15 1.634961e-15 
1.978874e+01 1.656190e-15 1.623869e-15 
2.074242e+01 1.644560e-15 1.612472e-15 
2.169609e+01 1.632646e-15 1.600795e-15 
2.264977e+01 1.620472e-15 1.588865e-15 
2.384186e+01 1.604930e-15 1.573634e-15 
2.479553e+01 1.592265e-15 1.561223e-15 
2.598763e+01 1.576184e-15 1.545464e-15 
2.717972e+01 1.559868e-15 1.529474e-15 
2.861023e+01 1.540036e-15 1.510040e-15 
2.980232e+01 1.523346e-15 1.493685e-15 
3.123283e+01 1.503179e-15 1.473922e-15 
3.266335e+01 1.482915e-15 1.454064e-15 
3.433228e+01 1.459226e-15 1.430850e-15 
3.600121e+01 1.435559e-15 1.407658e-15 
3.767014e+01 1.411985e-15 1.384558e-15 
3.933907e+01 1.388566e-15 1.361609e-15 
4.124641e+01 1.362060e-15 1.335636e-15 
4.315376e+01 1.335896e-15 1.309998e-15 
4.529953e+01 1.306941e-15 1.281626e-15 
4.720688e+01 1.281681e-15 1.256876e-15 
4.959106e+01 1.250797e-15 1.226614e-15 
5.197525e+01 1.220730e-15 1.197155e-15 
5.435944e+01 1.191519e-15 1.168534e-15 
5.698204e+01 1.160403e-15 1.138047e-15 
5.960464e+01 1.130365e-15 1.108619e-15 
6.246567e+01 1.098830e-15 1.077724e-15 
6.532669e+01 1.068570e-15 1.048078e-15 
6.842613e+01 1.037199e-15 1.017346e-15 
7.176399e+01 1.005010e-15 9.858130e-16 
7.486343e+01 9.765494e-16 9.579333e-16 
7.867813e+01 9.433265e-16 9.253905e-16 
8.225441e+01 9.139004e-16 8.965682e-16 
8.630753e+01 8.824470e-16 8.657618e-16 
9.036064e+01 8.528828e-16 8.368073e-16 
9.441376e+01 8.250806e-16 8.095803e-16 
9.894371e+01 7.959436e-16 7.810479e-16 
1.037121e+02 7.673115e-16 7.530121e-16 
1.084805e+02 7.405999e-16 7.268587e-16 
1.137257e+02 7.132453e-16 7.000782e-16 
1.189709e+02 6.878284e-16 6.751971e-16 
1.244545e+02 6.631388e-16 6.510303e-16 
1.304150e+02 6.382794e-16 6.266999e-16 
1.366138e+02 6.143964e-16 6.033279e-16 
1.430511e+02 5.915062e-16 5.809304e-16 
1.497269e+02 5.696135e-16 5.595118e-16 
1.568794e+02 5.480222e-16 5.383911e-16 
1.642704e+02 5.275203e-16 5.183393e-16 
1.718998e+02 5.080748e-16 4.993238e-16 
1.800060e+02 4.891142e-16 4.807858e-16 
1.885891e+02 4.707322e-16 4.628168e-16 
1.974106e+02 4.534466e-16 4.459231e-16 
2.067089e+02 4.367853e-16 4.296429e-16 
2.164841e+02 4.207919e-16 4.140188e-16 
2.264977e+02 4.058347e-16 3.994103e-16 
2.372265e+02 3.912190e-16 3.851389e-16 
2.484322e+02 3.773222e-16 3.715728e-16 
2.601147e+02 3.641398e-16 3.587074e-16 
2.722740e+02 3.516600e-16 3.465309e-16 
2.851486e+02 3.396530e-16 3.348188e-16 
2.987385e+02 3.281552e-16 3.236066e-16 
3.128052e+02 3.173636e-16 3.130858e-16 
3.273487e+02 3.072404e-16 3.032191e-16 
3.428459e+02 2.974605e-16 2.936895e-16 
3.590584e+02 2.881959e-16 2.846641e-16 
3.759861e+02 2.794375e-16 2.761338e-16 
3.936291e+02 2.711710e-16 2.680841e-16 
4.122257e+02 2.632818e-16 2.604030e-16 
4.315376e+02 2.558629e-16 2.531807e-16 
4.520416e+02 2.487301e-16 2.462375e-16 
4.732609e+02 2.420437e-16 2.397289e-16 
4.954338e+02 2.357066e-16 2.335602e-16 
5.187988e+02 2.296463e-16 2.276604e-16 
5.433559e+02 2.238628e-16 2.220289e-16 
5.688667e+02 2.183992e-16 2.167076e-16 
5.958080e+02 2.131448e-16 2.115883e-16 
6.237030e+02 2.081814e-16 2.067503e-16 
