x0           y0           sigmax       sigmay       theta        rel_amp      
-1.770126e+00 5.034079e+00 6.614434e-01 4.725922e-01 9.438793e-01 9.833712e-01 
1.614466e+00 5.112249e+00 7.438639e-01 4.643264e-01 1.233145e+00 1.056168e+00 
4.982882e+00 5.141223e+00 6.616687e-01 5.001253e-01 9.637307e-01 1.043424e+00 
8.377186e+00 5.193804e+00 6.701691e-01 4.818598e-01 1.099130e+00 1.053114e+00 
1.182201e+01 5.354826e+00 7.925021e-01 4.923540e-01 8.501171e-01 8.511743e-01 
-6.897284e+00 6.801511e+00 7.579134e-01 5.246704e-01 1.027650e+00 9.490041e-01 
-3.480171e+00 6.797101e+00 7.048340e-01 5.639371e-01 8.622509e-01 9.796943e-01 
-1.013159e-01 6.797699e+00 6.504409e-01 5.175707e-01 8.166509e-01 1.025255e+00 
3.290288e+00 6.866557e+00 6.962871e-01 4.905549e-01 1.019958e+00 1.031899e+00 
6.666962e+00 6.946917e+00 6.405431e-01 5.444279e-01 9.322454e-01 1.100517e+00 
1.002867e+01 7.030629e+00 7.420945e-01 5.395801e-01 1.014291e+00 9.920134e-01 
-8.603770e+00 8.539620e+00 7.698427e-01 4.719762e-01 1.193364e+00 7.975570e-01 
-5.212329e+00 8.548944e+00 6.935289e-01 5.388618e-01 8.596709e-01 9.142863e-01 
-1.781459e+00 8.548045e+00 7.315400e-01 5.449456e-01 1.034324e+00 8.837354e-01 
1.578150e+00 8.565021e+00 7.337043e-01 4.686578e-01 1.158237e+00 9.397804e-01 
4.984578e+00 8.673495e+00 6.976427e-01 4.971989e-01 1.014968e+00 8.783611e-01 
8.394376e+00 8.682316e+00 7.404387e-01 5.371994e-01 9.368169e-01 9.423469e-01 
1.178581e+01 8.786253e+00 7.990940e-01 5.111995e-01 1.038250e+00 8.021950e-01 
-8.560472e+00 1.029112e+01 6.624259e-01 6.092185e-01 7.888531e-01 7.383396e-01 
-5.152968e+00 1.031357e+01 7.760768e-01 4.838012e-01 1.250349e+00 8.536919e-01 
-1.815144e+00 1.032549e+01 7.540072e-01 5.159570e-01 1.048984e+00 8.914108e-01 
1.604660e+00 1.035957e+01 6.816280e-01 5.269779e-01 8.869040e-01 8.856241e-01 
4.998916e+00 1.037876e+01 7.431135e-01 4.862746e-01 9.464816e-01 7.787300e-01 
1.177612e+01 1.048601e+01 8.743120e-01 4.998991e-01 1.051746e+00 6.250984e-01 
-1.026216e+01 1.200772e+01 7.834369e-01 6.711677e-01 7.278988e-01 5.391848e-01 
-6.849906e+00 1.199360e+01 7.724518e-01 5.154243e-01 1.004698e+00 7.917263e-01 
-3.437599e+00 1.209441e+01 8.909225e-01 4.835494e-01 1.215299e+00 6.917100e-01 
-1.127730e-01 1.214049e+01 8.497146e-01 5.149903e-01 1.128822e+00 6.050633e-01 
