f            Pxx          
9.536743e-01 1.224717e-09 
1.430511e+00 1.322911e-09 
1.907349e+00 1.204725e-09 
2.384186e+00 1.160496e-09 
2.861023e+00 9.924083e-10 
3.337860e+00 9.537541e-10 
3.814697e+00 1.101219e-09 
4.291534e+00 1.048238e-09 
4.768372e+00 1.009149e-09 
5.245209e+00 9.581849e-10 
5.722046e+00 1.041911e-09 
6.198883e+00 1.078572e-09 
6.675720e+00 1.044339e-09 
7.152557e+00 9.902181e-10 
7.629395e+00 1.059616e-09 
8.106232e+00 1.024770e-09 
8.583069e+00 1.122546e-09 
9.059906e+00 1.253155e-09 
9.536743e+00 1.147332e-09 
1.001358e+01 1.206703e-09 
1.049042e+01 1.076464e-09 
1.096725e+01 9.998962e-10 
1.144409e+01 9.967099e-10 
1.192093e+01 9.393519e-10 
1.239777e+01 1.032342e-09 
1.287460e+01 1.081452e-09 
1.335144e+01 1.098329e-09 
1.382828e+01 1.086475e-09 
1.430511e+01 1.084657e-09 
1.478195e+01 1.073001e-09 
1.525879e+01 1.073285e-09 
1.573563e+01 9.980939e-10 
1.621246e+01 1.128969e-09 
1.668930e+01 1.123120e-09 
1.716614e+01 1.045806e-09 
1.764297e+01 9.642189e-10 
1.811981e+01 9.640903e-10 
1.859665e+01 1.005166e-09 
1.907349e+01 1.023652e-09 
1.955032e+01 1.059216e-09 
2.002716e+01 1.039166e-09 
2.050400e+01 1.156309e-09 
2.098083e+01 1.104830e-09 
2.145767e+01 1.071600e-09 
2.193451e+01 1.209125e-09 
2.241135e+01 1.111250e-09 
2.288818e+01 1.070887e-09 
2.336502e+01 1.080146e-09 
2.384186e+01 9.887726e-10 
2.431870e+01 9.080253e-10 
2.479553e+01 9.423308e-10 
2.527237e+01 1.023889e-09 
2.574921e+01 1.042521e-09 
2.622604e+01 9.245566e-10 
2.670288e+01 1.061513e-09 
2.717972e+01 1.130508e-09 
2.765656e+01 1.117118e-09 
2.813339e+01 1.059924e-09 
2.861023e+01 1.021736e-09 
2.908707e+01 9.979756e-10 
2.956390e+01 1.091290e-09 
3.004074e+01 1.056990e-09 
3.051758e+01 1.007669e-09 
3.099442e+01 1.041552e-09 
3.147125e+01 1.239157e-09 
3.194809e+01 1.138825e-09 
3.242493e+01 1.051821e-09 
3.290176e+01 1.147454e-09 
3.337860e+01 1.037319e-09 
3.385544e+01 9.219435e-10 
3.433228e+01 9.923918e-10 
3.480911e+01 1.032215e-09 
3.528595e+01 1.040213e-09 
3.576279e+01 9.534789e-10 
3.623962e+01 1.034625e-09 
3.671646e+01 1.019886e-09 
3.719330e+01 1.051938e-09 
3.767014e+01 1.068206e-09 
3.814697e+01 9.972665e-10 
3.862381e+01 9.659163e-10 
3.910065e+01 9.886423e-10 
3.957748e+01 9.396015e-10 
4.005432e+01 9.446504e-10 
4.053116e+01 9.836343e-10 
4.100800e+01 9.326263e-10 
4.148483e+01 1.001258e-09 
4.196167e+01 1.070175e-09 
4.243851e+01 1.042323e-09 
4.291534e+01 1.048633e-09 
4.339218e+01 9.865243e-10 
