row          rat          err          
1.000000e+00 1.292338e+00 6.076305e-02 
2.000000e+00 1.120725e+00 5.239227e-03 
3.000000e+00 1.071248e+00 4.178754e-03 
4.000000e+00 1.071831e+00 3.926761e-02 
5.000000e+00 1.174217e+00 3.941840e-02 
6.000000e+00 1.073564e+00 1.028809e-02 
7.000000e+00 1.086627e+00 3.016542e-02 
8.000000e+00 1.071648e+00 4.307891e-02 
9.000000e+00 1.072785e+00 1.144583e-02 
1.000000e+01 1.092935e+00 5.783159e-02 
1.100000e+01 1.080481e+00 1.593777e-02 
1.200000e+01 1.093031e+00 5.995845e-03 
1.300000e+01 1.103425e+00 4.574105e-03 
1.400000e+01 1.167474e+00 3.421920e-02 
1.500000e+01 1.154318e+00 4.171270e-02 
1.600000e+01 1.182751e+00 3.982838e-03 
1.700000e+01 1.165990e+00 4.858382e-02 
1.800000e+01 1.270098e+00 2.311037e-02 
1.900000e+01 1.139257e+00 7.480998e-03 
2.000000e+01 1.347793e+00 4.895244e-03 
2.100000e+01 1.167384e+00 7.665686e-03 
2.200000e+01 1.140999e+00 8.451937e-02 
2.300000e+01 1.169665e+00 1.060271e-02 
2.400000e+01 NaN NaN 
2.500000e+01 1.141878e+00 2.681406e-02 
2.600000e+01 1.168782e+00 8.222972e-03 
2.700000e+01 1.249721e+00 7.979177e-03 
2.800000e+01 1.125052e+00 6.256423e-03 
2.900000e+01 1.136006e+00 8.448806e-03 
3.000000e+01 1.173732e+00 9.517633e-03 
3.100000e+01 1.159652e+00 4.804766e-03 
3.200000e+01 1.267069e+00 1.446968e-02 
