fs           Pxxs         Pxxnos       
1.430511e+00 1.115014e-17 1.281734e-18 
1.668930e+00 1.080424e-17 1.650798e-18 
1.907349e+00 8.810928e-18 1.452219e-18 
2.145767e+00 5.007901e-18 1.446314e-18 
2.384186e+00 5.278005e-18 1.500746e-18 
2.622604e+00 5.316844e-18 1.495771e-18 
2.861023e+00 4.684572e-18 1.520042e-18 
3.099442e+00 2.743102e-18 1.245630e-18 
3.337860e+00 2.267743e-18 1.313799e-18 
3.576279e+00 2.971743e-18 1.196033e-18 
3.814697e+00 4.821584e-18 1.521440e-18 
4.053116e+00 4.449496e-18 1.300173e-18 
4.291534e+00 5.349005e-18 1.626535e-18 
4.529953e+00 3.324012e-18 1.389078e-18 
4.768372e+00 1.938590e-18 1.106781e-18 
5.006790e+00 2.139666e-18 1.217390e-18 
5.245209e+00 2.403173e-18 1.270115e-18 
5.483627e+00 2.220543e-18 1.347087e-18 
5.722046e+00 2.281154e-18 1.272249e-18 
5.960464e+00 1.879871e-18 1.324931e-18 
6.198883e+00 2.889834e-18 1.044503e-18 
6.437302e+00 1.554431e-18 1.286265e-18 
6.675720e+00 3.017180e-18 1.171079e-18 
6.914139e+00 2.091799e-18 1.254715e-18 
7.152557e+00 1.525877e-18 1.327746e-18 
7.390976e+00 2.754516e-18 1.350794e-18 
7.629395e+00 3.011948e-18 1.244714e-18 
7.867813e+00 2.359116e-18 1.339315e-18 
8.106232e+00 3.046986e-18 1.307161e-18 
8.344650e+00 1.759304e-18 1.075812e-18 
8.583069e+00 1.281608e-18 1.120056e-18 
8.821487e+00 1.555912e-18 1.430327e-18 
9.059906e+00 1.833868e-18 1.411440e-18 
9.298325e+00 3.848335e-18 1.553670e-18 
9.536743e+00 6.743417e-18 1.148964e-18 
9.775162e+00 3.978993e-18 1.232711e-18 
1.001358e+01 1.752472e-18 9.442668e-19 
1.025200e+01 1.316104e-18 1.043356e-18 
1.049042e+01 1.701105e-18 1.103489e-18 
1.072884e+01 2.479445e-18 1.274244e-18 
1.096725e+01 2.994557e-18 1.149440e-18 
1.120567e+01 1.909484e-18 1.221821e-18 
1.144409e+01 1.132430e-18 1.190373e-18 
1.168251e+01 1.459363e-18 1.025399e-18 
1.192093e+01 1.741078e-18 1.245879e-18 
1.215935e+01 1.951901e-18 1.167927e-18 
1.239777e+01 3.567690e-18 1.081408e-18 
1.263618e+01 2.061803e-18 9.960985e-19 
1.287460e+01 1.604839e-18 1.114196e-18 
1.311302e+01 1.254678e-18 1.159015e-18 
1.335144e+01 1.269576e-18 1.325450e-18 
1.358986e+01 1.367490e-18 1.093052e-18 
1.382828e+01 1.067310e-18 1.017048e-18 
1.406670e+01 1.228330e-18 1.189480e-18 
1.430511e+01 2.212161e-18 1.071801e-18 
1.454353e+01 1.803850e-18 1.256081e-18 
1.478195e+01 2.476514e-18 1.606107e-18 
1.502037e+01 2.161281e-18 1.460691e-18 
1.525879e+01 1.304908e-18 1.109379e-18 
1.549721e+01 9.298670e-19 1.055664e-18 
1.573563e+01 1.093112e-18 1.238713e-18 
1.597404e+01 1.450267e-18 1.033932e-18 
1.621246e+01 1.752885e-18 1.420594e-18 
1.645088e+01 1.134822e-18 1.324816e-18 
1.668930e+01 1.678034e-18 1.078989e-18 
1.692772e+01 2.167914e-18 1.059936e-18 
1.716614e+01 1.936274e-18 1.361987e-18 
1.740456e+01 1.925370e-18 9.749364e-19 
1.764297e+01 1.207093e-18 1.063919e-18 
1.788139e+01 1.078636e-18 1.344311e-18 
1.811981e+01 1.417988e-18 1.027878e-18 
1.835823e+01 1.273034e-18 8.451498e-19 
1.859665e+01 1.742761e-18 1.088051e-18 
1.883507e+01 1.470005e-18 1.042504e-18 
1.907349e+01 1.138198e-18 1.226804e-18 
1.931190e+01 1.171621e-18 1.233077e-18 
1.955032e+01 1.164787e-18 1.333678e-18 
1.978874e+01 1.990595e-18 1.131727e-18 
2.002716e+01 1.881865e-18 9.864863e-19 
2.026558e+01 1.739672e-18 9.920446e-19 
2.050400e+01 1.690235e-18 1.154359e-18 
2.074242e+01 1.262776e-18 9.782145e-19 
2.098083e+01 1.091788e-18 9.270492e-19 
2.121925e+01 1.300387e-18 9.009944e-19 
2.145767e+01 1.152654e-18 9.804483e-19 
2.169609e+01 1.548199e-18 1.259315e-18 
2.193451e+01 2.497236e-18 1.147845e-18 
2.217293e+01 1.804555e-18 6.958335e-19 
2.241135e+01 1.377011e-18 7.747010e-19 
2.264977e+01 1.345435e-18 9.205514e-19 
2.288818e+01 1.494232e-18 8.180063e-19 
2.312660e+01 1.388919e-18 9.209076e-19 
2.336502e+01 1.187986e-18 8.991354e-19 
2.360344e+01 1.443328e-18 5.986512e-19 
2.384186e+01 1.307719e-18 6.676099e-19 
2.408028e+01 8.719569e-19 9.195454e-19 
2.431870e+01 1.163344e-18 1.218016e-18 
2.455711e+01 1.172706e-18 1.136560e-18 
2.479553e+01 1.323611e-18 1.030312e-18 
2.503395e+01 1.441988e-18 8.630697e-19 
2.527237e+01 1.430578e-18 8.683226e-19 
2.551079e+01 1.570759e-18 9.263514e-19 
2.574921e+01 1.200269e-18 9.356422e-19 
2.598763e+01 1.306992e-18 8.607765e-19 
2.622604e+01 1.556477e-18 1.106865e-18 
2.646446e+01 1.002226e-18 9.951146e-19 
2.670288e+01 1.017017e-18 7.699155e-19 
2.694130e+01 9.624743e-19 7.142047e-19 
2.717972e+01 9.234561e-19 8.792613e-19 
2.741814e+01 7.481154e-19 9.557828e-19 
2.765656e+01 9.923476e-19 8.631016e-19 
2.789497e+01 1.145432e-18 1.092063e-18 
2.813339e+01 9.650995e-19 1.001028e-18 
2.837181e+01 9.441377e-19 9.540496e-19 
2.861023e+01 1.183291e-18 9.978648e-19 
2.884865e+01 1.337225e-18 9.302107e-19 
2.908707e+01 8.423472e-19 9.191859e-19 
2.932549e+01 6.691725e-19 8.726393e-19 
2.956390e+01 9.856009e-19 7.946452e-19 
2.980232e+01 1.542031e-18 9.242297e-19 
3.004074e+01 1.272844e-18 9.780657e-19 
3.027916e+01 1.210398e-18 7.312252e-19 
3.051758e+01 1.233473e-18 9.435297e-19 
3.075600e+01 1.146101e-18 7.944864e-19 
3.099442e+01 1.194532e-18 9.688737e-19 
3.123283e+01 9.101607e-19 1.019632e-18 
3.147125e+01 8.549931e-19 7.944376e-19 
3.170967e+01 1.001646e-18 8.226348e-19 
3.194809e+01 1.050940e-18 8.561266e-19 
3.218651e+01 1.152042e-18 8.369334e-19 
3.242493e+01 9.712808e-19 8.958160e-19 
3.266335e+01 6.983555e-19 7.642433e-19 
3.290176e+01 9.288040e-19 7.339610e-19 
3.314018e+01 8.431167e-19 7.572254e-19 
3.337860e+01 8.332060e-19 6.162907e-19 
3.361702e+01 9.491341e-19 8.220063e-19 
3.385544e+01 8.918471e-19 9.128940e-19 
3.409386e+01 9.787089e-19 9.918258e-19 
3.433228e+01 9.088200e-19 9.424189e-19 
3.457069e+01 8.349934e-19 9.424798e-19 
3.480911e+01 7.775428e-19 9.069861e-19 
