f            Pxx          
0.000000e+00 2.088723e-19 
7.398201e-01 3.221512e-19 
1.479640e+00 3.378333e-19 
2.219460e+00 3.890910e-19 
2.959280e+00 3.523446e-19 
3.699100e+00 4.575585e-19 
4.438920e+00 3.184439e-19 
5.178741e+00 3.239482e-19 
5.918561e+00 4.695516e-19 
6.658381e+00 3.820023e-19 
7.398201e+00 3.906632e-19 
8.138021e+00 3.382804e-19 
8.877841e+00 3.136834e-19 
9.617661e+00 3.748456e-19 
1.035748e+01 3.695109e-19 
1.109730e+01 3.153589e-19 
1.183712e+01 3.326583e-19 
1.257694e+01 3.351859e-19 
1.331676e+01 3.589168e-19 
1.405658e+01 2.906481e-19 
1.479640e+01 2.488343e-19 
1.553622e+01 2.712090e-19 
1.627604e+01 2.043733e-19 
1.701586e+01 3.812941e-19 
1.775568e+01 3.505620e-19 
1.849550e+01 3.421567e-19 
1.923532e+01 2.617352e-19 
1.997514e+01 2.875436e-19 
2.071496e+01 3.400236e-19 
2.145478e+01 3.099656e-19 
2.219460e+01 3.160948e-19 
2.293442e+01 3.280787e-19 
2.367424e+01 3.667076e-19 
2.441406e+01 2.778425e-19 
2.515388e+01 2.488415e-19 
2.589370e+01 2.530716e-19 
2.663352e+01 2.322774e-19 
2.737334e+01 2.690991e-19 
2.811316e+01 2.051149e-19 
2.885298e+01 1.717044e-19 
2.959280e+01 2.046723e-19 
3.033262e+01 1.928971e-19 
3.107244e+01 1.534527e-19 
3.181226e+01 2.712140e-19 
3.255208e+01 2.776868e-19 
3.329190e+01 2.468601e-19 
3.403172e+01 2.065398e-19 
3.477154e+01 2.167031e-19 
3.551136e+01 2.086502e-19 
3.625118e+01 1.805577e-19 
3.699100e+01 2.142885e-19 
3.773082e+01 2.030877e-19 
3.847064e+01 1.538168e-19 
3.921046e+01 2.026029e-19 
3.995028e+01 1.995211e-19 
4.069010e+01 1.818178e-19 
4.142992e+01 1.938735e-19 
4.216974e+01 1.572903e-19 
4.290956e+01 1.465932e-19 
4.364938e+01 1.626173e-19 
4.438920e+01 1.930085e-19 
4.512902e+01 2.168074e-19 
4.586884e+01 1.545119e-19 
4.660866e+01 1.329407e-19 
4.734848e+01 1.352923e-19 
4.808830e+01 1.287165e-19 
4.882813e+01 1.313596e-19 
4.956795e+01 1.327779e-19 
5.030777e+01 1.159023e-19 
5.104759e+01 1.343409e-19 
5.178741e+01 1.497815e-19 
5.252723e+01 1.638173e-19 
5.326705e+01 1.179102e-19 
5.400687e+01 1.054536e-19 
5.474669e+01 1.355822e-19 
5.548651e+01 1.343273e-19 
5.622633e+01 1.252359e-19 
5.696615e+01 1.431385e-19 
5.770597e+01 1.462086e-19 
5.844579e+01 1.599153e-19 
5.918561e+01 1.536547e-19 
5.992543e+01 1.714375e-19 
6.066525e+01 1.289626e-19 
6.140507e+01 9.467494e-20 
6.214489e+01 1.196743e-19 
6.288471e+01 1.201424e-19 
6.362453e+01 1.504556e-19 
6.436435e+01 1.130785e-19 
6.510417e+01 9.427961e-20 
6.584399e+01 1.000601e-19 
6.658381e+01 1.028077e-19 
6.732363e+01 1.106964e-19 
6.806345e+01 1.142256e-19 
6.880327e+01 1.194980e-19 
6.954309e+01 1.078159e-19 
7.028291e+01 1.001075e-19 
7.102273e+01 8.933831e-20 
7.176255e+01 7.620802e-20 
7.250237e+01 8.958939e-20 
7.324219e+01 9.325735e-20 
7.398201e+01 7.234373e-20 
7.472183e+01 9.338339e-20 
7.546165e+01 8.518146e-20 
7.620147e+01 7.701016e-20 
7.694129e+01 6.502354e-20 
7.768111e+01 5.741266e-20 
7.842093e+01 8.633770e-20 
7.916075e+01 1.230006e-19 
7.990057e+01 9.917792e-20 
8.064039e+01 6.358782e-20 
8.138021e+01 5.070654e-20 
8.212003e+01 7.964415e-20 
8.285985e+01 1.002452e-19 
8.359967e+01 7.801614e-20 
8.433949e+01 7.929552e-20 
8.507931e+01 1.026951e-19 
8.581913e+01 1.113828e-19 
8.655895e+01 8.486998e-20 
8.729877e+01 7.688599e-20 
8.803859e+01 7.131628e-20 
8.877841e+01 7.992179e-20 
8.951823e+01 8.671375e-20 
9.025805e+01 8.126151e-20 
9.099787e+01 7.843858e-20 
9.173769e+01 8.042195e-20 
9.247751e+01 6.424968e-20 
9.321733e+01 6.952255e-20 
9.395715e+01 5.822228e-20 
9.469697e+01 5.977803e-20 
9.543679e+01 9.541762e-20 
9.617661e+01 7.459674e-20 
9.691643e+01 5.929906e-20 
9.765625e+01 7.301074e-20 
9.839607e+01 6.686917e-20 
9.913589e+01 5.989443e-20 
9.987571e+01 5.498623e-20 
1.006155e+02 6.562119e-20 
1.013554e+02 6.847510e-20 
1.020952e+02 6.015776e-20 
1.028350e+02 5.378130e-20 
1.035748e+02 5.911754e-20 
1.043146e+02 5.442320e-20 
1.050545e+02 5.608303e-20 
1.057943e+02 5.444128e-20 
1.065341e+02 6.179987e-20 
1.072739e+02 5.386282e-20 
1.080137e+02 4.807346e-20 
1.087536e+02 4.888209e-20 
1.094934e+02 5.600958e-20 
1.102332e+02 5.663735e-20 
1.109730e+02 7.129603e-20 
1.117128e+02 8.014515e-20 
1.124527e+02 6.628281e-20 
1.131925e+02 5.703952e-20 
1.139323e+02 6.125979e-20 
1.146721e+02 5.807050e-20 
1.154119e+02 4.438663e-20 
1.161518e+02 4.430635e-20 
1.168916e+02 4.194591e-20 
1.176314e+02 4.742315e-20 
1.183712e+02 5.846719e-20 
1.191110e+02 4.370607e-20 
1.198509e+02 4.806888e-20 
1.205907e+02 4.412352e-20 
1.213305e+02 5.355441e-20 
1.220703e+02 6.238398e-20 
1.228101e+02 5.688897e-20 
1.235500e+02 5.549495e-20 
1.242898e+02 4.487556e-20 
1.250296e+02 3.236384e-20 
1.257694e+02 2.349701e-20 
1.265092e+02 4.465336e-20 
1.272491e+02 6.368828e-20 
1.279889e+02 4.035099e-20 
1.287287e+02 4.189540e-20 
1.294685e+02 4.645419e-20 
1.302083e+02 4.020381e-20 
1.309482e+02 5.099421e-20 
1.316880e+02 4.974730e-20 
1.324278e+02 6.037311e-20 
1.331676e+02 5.621304e-20 
1.339074e+02 6.899093e-20 
1.346473e+02 6.053124e-20 
1.353871e+02 5.223976e-20 
1.361269e+02 5.468126e-20 
1.368667e+02 4.089917e-20 
1.376065e+02 3.508225e-20 
1.383464e+02 2.915634e-20 
1.390862e+02 3.643144e-20 
1.398260e+02 3.398070e-20 
1.405658e+02 3.785237e-20 
1.413056e+02 4.317077e-20 
1.420455e+02 4.573061e-20 
1.427853e+02 5.247801e-20 
1.435251e+02 4.654359e-20 
1.442649e+02 3.941188e-20 
1.450047e+02 4.055950e-20 
1.457446e+02 3.266192e-20 
1.464844e+02 4.151086e-20 
1.472242e+02 4.535545e-20 
1.479640e+02 4.334850e-20 
1.487038e+02 3.261920e-20 
1.494437e+02 3.313265e-20 
1.501835e+02 5.074104e-20 
1.509233e+02 4.142625e-20 
1.516631e+02 3.812701e-20 
1.524029e+02 3.411070e-20 
1.531428e+02 3.478717e-20 
1.538826e+02 3.145564e-20 
1.546224e+02 2.762347e-20 
1.553622e+02 4.078759e-20 
1.561020e+02 4.049216e-20 
1.568419e+02 4.221509e-20 
1.575817e+02 4.884152e-20 
1.583215e+02 3.654623e-20 
1.590613e+02 3.153501e-20 
1.598011e+02 3.750643e-20 
1.605410e+02 3.443234e-20 
1.612808e+02 3.199506e-20 
1.620206e+02 3.411678e-20 
1.627604e+02 3.205221e-20 
1.635002e+02 3.497907e-20 
