gain          Noise00      tau00        Noise01      tau01        Noise02      tau02        Noise03      tau03        Noise04      tau04        Noise05      tau05        Noise06      tau06        Noise07      tau07        
-1.000000e+02 1.838957e-10 8.127320e-05 2.276309e-10 1.021109e-04 1.382781e-10 1.806667e-05 1.493480e-10 1.829656e-05 1.287654e-10 3.862764e-05 1.294409e-10 4.040887e-05 1.103659e-10 1.148616e-05 1.105526e-10 6.696383e-10 
-9.000000e+01 1.837329e-10 9.777166e-05 2.342591e-10 1.277253e-04 1.425541e-10 3.096665e-05 1.489034e-10 2.847819e-05 1.319715e-10 5.247529e-05 1.308286e-10 5.180907e-05 1.085498e-10 2.144768e-05 1.090920e-10 1.384041e-05 
-8.000000e+01 1.943629e-10 1.292840e-04 2.346564e-10 1.502177e-04 1.393860e-10 4.054017e-05 1.484951e-10 4.049689e-05 1.271337e-10 6.193863e-05 1.330506e-10 6.917821e-05 1.093107e-10 3.351260e-05 1.071291e-10 2.414287e-05 
-7.000000e+01 1.918860e-10 1.493867e-04 2.292539e-10 1.733109e-04 1.380801e-10 5.496919e-05 1.483297e-10 5.503222e-05 1.317404e-10 8.738472e-05 1.353738e-10 9.098755e-05 1.098114e-10 4.887485e-05 1.081764e-10 3.914613e-05 
-6.000000e+01 1.908933e-10 1.808141e-04 2.400236e-10 2.250767e-04 1.408649e-10 7.704685e-05 1.543587e-10 8.032874e-05 1.338197e-10 1.145206e-04 1.392805e-10 1.197760e-04 1.077893e-10 6.396550e-05 1.076837e-10 5.395002e-05 
-5.000000e+01 1.953566e-10 2.364260e-04 2.416352e-10 2.634854e-04 1.397735e-10 1.008159e-04 1.467002e-10 9.827496e-05 1.324136e-10 1.450171e-04 1.335135e-10 1.450596e-04 1.127731e-10 9.698421e-05 1.080382e-10 7.991664e-05 
-4.000000e+01 1.903044e-10 2.842995e-04 2.450654e-10 3.908198e-04 1.412010e-10 1.479330e-04 1.553030e-10 1.496952e-04 1.319379e-10 1.886039e-04 1.345365e-10 2.002932e-04 1.114565e-10 1.364172e-04 1.088057e-10 1.144460e-04 
-3.000000e+01 1.955693e-10 4.275092e-04 2.218986e-10 4.266502e-04 1.437537e-10 2.189140e-04 1.509989e-10 2.117559e-04 1.348332e-10 2.688563e-04 1.350192e-10 2.772928e-04 1.142885e-10 2.040607e-04 1.143308e-10 1.870129e-04 
-2.000000e+01 1.986896e-10 6.836897e-04 2.422346e-10 7.760581e-04 1.408292e-10 3.380584e-04 1.510553e-10 3.291354e-04 1.434180e-10 4.939845e-04 1.339203e-10 4.369956e-04 1.184295e-10 3.323701e-04 1.174099e-10 3.213848e-04 
-1.000000e+01 2.250464e-10 1.786669e-03 2.106009e-10 1.333892e-03 1.446101e-10 7.410217e-04 1.511754e-10 7.241380e-04 1.444787e-10 9.987918e-04 1.488974e-10 1.066106e-03 1.075820e-10 6.365372e-04 1.137794e-10 7.061736e-04 
-9.000000e+00 2.015964e-10 1.499104e-03 2.356014e-10 1.621081e-03 1.424882e-10 8.099941e-04 1.547964e-10 8.777794e-04 1.403982e-10 1.054309e-03 1.318620e-10 9.749147e-04 1.123236e-10 7.794736e-04 1.065846e-10 6.797845e-04 
-8.000000e+00 2.235234e-10 2.121884e-03 2.346668e-10 2.130280e-03 1.474159e-10 1.002372e-03 1.548988e-10 1.013367e-03 1.553793e-10 1.469408e-03 1.333283e-10 1.196552e-03 1.056739e-10 8.016849e-04 1.068798e-10 7.558510e-04 
-7.000000e+00 2.345596e-10 2.574745e-03 2.306762e-10 2.294166e-03 1.514603e-10 1.164572e-03 1.557717e-10 1.042193e-03 1.592792e-10 1.716526e-03 1.321903e-10 1.356692e-03 1.032175e-10 9.144760e-04 1.195113e-10 1.108448e-03 
-6.000000e+00 2.235913e-10 2.980817e-03 2.645812e-10 3.375234e-03 1.421080e-10 1.229038e-03 1.525374e-10 1.122135e-03 1.599060e-10 1.966317e-03 1.397457e-10 1.651153e-03 1.112550e-10 1.177000e-03 1.097833e-10 1.185820e-03 
-5.000000e+00 2.278964e-10 2.785158e-03 2.092515e-10 2.659174e-03 1.485702e-10 1.623434e-03 1.593956e-10 1.573563e-03 1.450083e-10 1.975646e-03 1.305604e-10 1.845738e-03 1.034740e-10 1.289010e-03 1.067173e-10 1.267087e-03 
