t            exact        filtered     fit 
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.200000e-01 7.688365e-02 2.105466e-02 6.297081e-02 
6.400000e-01 1.478562e-01 5.577939e-02 1.219763e-01 
9.600000e-01 2.133721e-01 9.893632e-02 1.772662e-01 
1.280000e+00 2.738510e-01 1.468369e-01 2.290744e-01 
1.600000e+00 3.296800e-01 1.969086e-01 2.776202e-01 
1.920000e+00 3.812166e-01 2.473815e-01 3.231090e-01 
2.240000e+00 4.287909e-01 2.970607e-01 3.657334e-01 
2.560000e+00 4.727076e-01 3.451617e-01 4.056737e-01 
2.880000e+00 5.132477e-01 3.911923e-01 4.430989e-01 
3.200000e+00 5.506710e-01 4.348657e-01 4.781674e-01 
3.520000e+00 5.852171e-01 4.760396e-01 5.110276e-01 
3.840000e+00 6.171071e-01 5.146710e-01 5.418186e-01 
4.160000e+00 6.465453e-01 5.507849e-01 5.706707e-01 
4.480000e+00 6.737202e-01 5.844509e-01 5.977059e-01 
4.800000e+00 6.988058e-01 6.157671e-01 6.230387e-01 
5.120000e+00 7.219627e-01 6.448489e-01 6.467763e-01 
5.440000e+00 7.433392e-01 6.718205e-01 6.690190e-01 
5.760000e+00 7.630722e-01 6.968099e-01 6.898612e-01 
6.080000e+00 7.812881e-01 7.199443e-01 7.093909e-01 
6.400000e+00 7.981035e-01 7.413483e-01 7.276908e-01 
6.720000e+00 8.136260e-01 7.611416e-01 7.448383e-01 
7.040000e+00 8.279551e-01 7.794386e-01 7.609060e-01 
7.360000e+00 8.411826e-01 7.963472e-01 7.759620e-01 
7.680000e+00 8.533930e-01 8.119693e-01 7.900698e-01 
8.000000e+00 8.646647e-01 8.264000e-01 8.032893e-01 
8.320000e+00 8.750698e-01 8.397282e-01 8.156763e-01 
8.640000e+00 8.846749e-01 8.520369e-01 8.272834e-01 
8.960000e+00 8.935415e-01 8.634030e-01 8.381595e-01 
9.280000e+00 9.017264e-01 8.738979e-01 8.483507e-01 
9.600000e+00 9.092820e-01 8.835879e-01 8.579002e-01 
9.920000e+00 9.162568e-01 8.925343e-01 8.668483e-01 
1.024000e+01 9.226953e-01 9.007939e-01 8.752330e-01 
1.056000e+01 9.286387e-01 9.084192e-01 8.830897e-01 
1.088000e+01 9.341252e-01 9.154588e-01 8.904516e-01 
1.120000e+01 9.391899e-01 9.219576e-01 8.973500e-01 
1.152000e+01 9.438652e-01 9.279571e-01 9.038139e-01 
1.184000e+01 9.481811e-01 9.334954e-01 9.098708e-01 
1.216000e+01 9.521651e-01 9.386081e-01 9.155463e-01 
1.248000e+01 9.558428e-01 9.433279e-01 9.208645e-01 
1.280000e+01 9.592378e-01 9.476848e-01 9.258477e-01 
1.312000e+01 9.623717e-01 9.517068e-01 9.305171e-01 
1.344000e+01 9.652647e-01 9.554197e-01 9.348925e-01 
1.376000e+01 9.679353e-01 9.588471e-01 9.389924e-01 
1.408000e+01 9.704006e-01 9.620110e-01 9.428341e-01 
1.440000e+01 9.726763e-01 9.649317e-01 9.464339e-01 
1.472000e+01 9.747770e-01 9.676279e-01 9.498070e-01 
1.504000e+01 9.767163e-01 9.701167e-01 9.529677e-01 
1.536000e+01 9.785064e-01 9.724142e-01 9.559293e-01 
1.568000e+01 9.801589e-01 9.745351e-01 9.587045e-01 
1.600000e+01 9.816844e-01 9.764930e-01 9.613049e-01 
1.632000e+01 9.830925e-01 9.783003e-01 9.637416e-01 
1.664000e+01 9.843924e-01 9.799686e-01 9.660248e-01 
1.696000e+01 9.855924e-01 9.815087e-01 9.681642e-01 
1.728000e+01 9.867001e-01 9.829304e-01 9.701690e-01 
1.760000e+01 9.877227e-01 9.842427e-01 9.720474e-01 
1.792000e+01 9.886666e-01 9.854542e-01 9.738076e-01 
1.824000e+01 9.895379e-01 9.865725e-01 9.754570e-01 
1.856000e+01 9.903423e-01 9.876049e-01 9.770025e-01 
1.888000e+01 9.910848e-01 9.885579e-01 9.784507e-01 
1.920000e+01 9.917703e-01 9.894376e-01 9.798076e-01 
1.952000e+01 9.924030e-01 9.902497e-01 9.810792e-01 
1.984000e+01 9.929871e-01 9.909993e-01 9.822706e-01 
2.016000e+01 9.935263e-01 9.916913e-01 9.833871e-01 
2.048000e+01 9.940240e-01 9.923301e-01 9.844332e-01 
2.080000e+01 9.944834e-01 9.929198e-01 9.854134e-01 
2.112000e+01 9.949076e-01 9.934642e-01 9.863320e-01 
2.144000e+01 9.952991e-01 9.939667e-01 9.871927e-01 
2.176000e+01 9.956605e-01 9.944305e-01 9.879991e-01 
2.208000e+01 9.959942e-01 9.948587e-01 9.887549e-01 
2.240000e+01 9.963021e-01 9.952540e-01 9.894630e-01 
2.272000e+01 9.965864e-01 9.956189e-01 9.901265e-01 
2.304000e+01 9.968489e-01 9.959557e-01 9.907482e-01 
2.336000e+01 9.970912e-01 9.962667e-01 9.913308e-01 
2.368000e+01 9.973148e-01 9.965537e-01 9.918767e-01 
2.400000e+01 9.975212e-01 9.968187e-01 9.923883e-01 
2.432000e+01 9.977118e-01 9.970633e-01 9.928676e-01 
2.464000e+01 9.978877e-01 9.972890e-01 9.933167e-01 
2.496000e+01 9.980501e-01 9.974975e-01 9.937376e-01 
2.528000e+01 9.982001e-01 9.976899e-01 9.941319e-01 
