gain          noise 
-1.000000e+02 1.678008e-10 
-9.000000e+01 1.683921e-10 
-8.000000e+01 1.692991e-10 
-7.000000e+01 1.697430e-10 
-6.000000e+01 1.701427e-10 
-5.000000e+01 1.718410e-10 
-4.000000e+01 1.707370e-10 
-3.000000e+01 1.727452e-10 
-2.000000e+01 1.740840e-10 
-1.000000e+01 1.770111e-10 
-9.000000e+00 1.778388e-10 
-8.000000e+00 1.793126e-10 
-7.000000e+00 1.798423e-10 
-6.000000e+00 1.811625e-10 
-5.000000e+00 1.831515e-10 
-4.000000e+00 1.841239e-10 
-3.000000e+00 1.881075e-10 
-2.000000e+00 1.969666e-10 
-1.000000e+00 2.240156e-10 
1.000000e+00 1.696811e-10 
2.000000e+00 1.455682e-10 
3.000000e+00 1.389898e-10 
4.000000e+00 1.337183e-10 
5.000000e+00 1.347516e-10 
6.000000e+00 1.339069e-10 
7.000000e+00 1.317234e-10 
8.000000e+00 1.322999e-10 
9.000000e+00 1.319195e-10 
1.000000e+01 1.305026e-10 
2.000000e+01 1.278244e-10 
3.000000e+01 1.269339e-10 
4.000000e+01 1.257360e-10 
5.000000e+01 1.246264e-10 
6.000000e+01 1.245511e-10 
7.000000e+01 1.254338e-10 
8.000000e+01 1.283669e-10 
9.000000e+01 1.378467e-10 
1.000000e+02 1.468287e-10 
