R  C tau40        tau50        tau60        
01 1 2.449006e-05 7.261049e-06 1.684932e-09 
02 1 8.517255e-05 1.407617e-04 3.417068e-05 
03 1 1.731285e-04 1.140196e-04 1.088654e-04 
04 1 3.078510e-04 2.833170e-04 1.178383e-04 
05 1 2.178403e-04 2.318253e-04 1.292779e-04 
06 1 1.900348e-04 1.402739e-04 1.220574e-04 
07 1 2.333256e-04 1.449774e-04 1.001028e-04 
08 1 1.776253e-04 2.817335e-04 1.166261e-04 
09 1 1.500051e-04 1.567381e-04 1.067161e-04 
10 1 2.050659e-04 1.508382e-04 9.896461e-05 
11 1 2.133379e-04 2.235351e-04 1.399862e-04 
12 1 2.374724e-04 1.731714e-04 1.186040e-04 
13 1 1.456376e-04 8.220501e-05 8.834212e-05 
14 1 7.286328e-05 6.091410e-05 2.770168e-05 
15 1 1.252358e-04 7.151607e-05 4.597185e-05 
16 1 7.556554e-05 8.466628e-05 3.702591e-05 
17 1 8.187892e-05 7.204001e-05 5.154164e-05 
18 1 1.232239e-04 9.741753e-05 5.224382e-05 
19 1 1.297035e-04 8.130497e-05 5.121189e-05 
20 1 6.964450e-04 7.023365e-04 1.705302e-04 
21 1 7.792195e-05 7.837957e-05 5.061369e-05 
22 1 1.200957e-04 7.018616e-05 5.974713e-05 
23 1 8.294289e-05 7.197874e-05 4.597288e-05 
24 1 2.448317e-04 2.226179e-04 2.015226e-04 
25 1 1.592042e-04 1.352469e-04 8.083473e-05 
26 1 8.406344e-05 1.422119e-04 5.293078e-05 
27 1 1.045954e-04 5.069317e-05 4.343865e-05 
28 1 9.848902e-05 7.545129e-05 5.710649e-05 
29 1 1.080351e-04 8.542924e-05 5.018573e-05 
30 1 8.550969e-05 5.769235e-05 4.294465e-05 
31 1 8.667879e-05 4.026777e-05 3.845762e-05 
32 1 7.689010e-05 3.911527e-05 3.502669e-05 
01 2 2.008351e-04 1.697921e-04 1.602737e-04 
02 2 2.373956e-04 1.580419e-04 1.610004e-04 
03 2 1.918304e-04 1.492836e-04 1.060652e-04 
04 2 2.153530e-04 1.812920e-04 2.239599e-04 
05 2 5.202134e-04 1.760669e-04 2.109976e-04 
06 2 2.795841e-04 2.800654e-04 2.384128e-04 
07 2 2.757633e-04 1.748587e-04 1.561412e-04 
08 2 2.744365e-04 1.594237e-04 1.332039e-04 
09 2 2.586141e-04 1.968843e-04 1.471116e-04 
10 2 2.176528e-04 1.191675e-04 9.364721e-05 
11 2 2.200830e-04 1.216738e-04 1.046749e-04 
12 2 2.804931e-04 2.046174e-04 1.373171e-04 
13 2 1.320197e-04 9.624894e-05 9.159014e-05 
14 2 1.592951e-04 7.412789e-05 4.355337e-05 
15 2 9.517959e-05 6.219819e-05 5.184421e-05 
16 2 5.757522e-05 3.458426e-05 1.572070e-05 
17 2 9.332825e-05 4.903881e-05 3.203023e-05 
18 2 5.645699e-05 4.021336e-05 1.995153e-05 
19 2 6.696713e-05 4.559159e-05 2.104786e-05 
20 2 6.386949e-05 5.881557e-05 2.511611e-05 
21 2 9.170652e-05 6.424708e-05 4.779329e-05 
22 2 7.818456e-05 5.231125e-05 4.155243e-05 
23 2 9.023634e-05 5.946932e-05 3.565373e-05 
24 2 1.688400e-03 5.766949e-05 4.709172e-05 
25 2 1.167159e-04 8.738752e-05 6.783486e-05 
26 2 1.039571e-04 6.264794e-05 3.955517e-05 
27 2 1.009665e-03 5.786517e-05 3.532690e-05 
28 2 1.104598e-04 7.914492e-05 4.892844e-05 
29 2 8.736272e-05 7.332132e-05 4.989372e-05 
30 2 1.235970e-04 6.463229e-05 4.462609e-05 
31 2 9.326427e-05 5.942672e-05 4.220453e-05 
32 2 8.486477e-05 7.836008e-05 5.041755e-05 
01 3 9.307415e-05 5.624890e-05 1.103893e-08 
02 3 9.893598e-05 5.036308e-05 2.710979e-05 
03 3 1.052566e-04 6.142824e-05 3.807134e-05 
04 3 5.445639e-05 3.693281e-05 2.377558e-05 
05 3 1.026550e-04 6.713931e-05 3.664447e-05 
06 3 1.016563e-04 4.016764e-05 2.262464e-05 
07 3 1.330227e-04 4.689443e-05 3.119090e-05 
08 3 6.364567e-05 4.569565e-05 2.443523e-05 
09 3 7.599438e-05 6.528443e-05 3.307641e-05 
10 3 9.923479e-05 5.061934e-05 2.713395e-05 
11 3 5.748529e-05 4.272789e-05 2.734723e-05 
12 3 8.774717e-05 5.076548e-05 2.682766e-05 
13 3 7.006150e-05 5.311333e-05 3.068907e-05 
14 3 8.746542e-05 8.068462e-05 3.275959e-05 
15 3 1.323783e-04 6.616554e-05 3.086529e-05 
16 3 8.441655e-05 8.548470e-05 4.478266e-05 
17 3 8.957315e-05 8.083894e-05 3.568099e-05 
18 3 8.885246e-05 9.433954e-05 4.069620e-05 
19 3 2.170906e-03 8.560787e-05 3.907274e-05 
20 3 8.858178e-05 5.809663e-05 3.636702e-05 
21 3 2.107171e-04 5.821468e-05 3.640064e-05 
22 3 3.691145e-09 6.563974e-05 1.305009e-08 
23 3 7.841816e-05 1.087967e-04 3.741529e-05 
24 3 8.282959e-05 6.412588e-05 3.529283e-09 
25 3 7.827806e-05 7.029099e-05 3.342709e-05 
26 3 9.988460e-05 8.332313e-05 4.767964e-05 
27 3 9.825996e-05 7.075311e-05 4.295495e-05 
28 3 9.505955e-05 5.993762e-05 9.286777e-05 
29 3 1.044690e-04 8.405148e-05 5.634368e-05 
30 3 1.693594e-04 8.711177e-05 7.256515e-05 
31 3 1.074555e-04 9.095310e-05 6.440198e-05 
32 3 1.224543e-04 7.210817e-05 5.263431e-05 
01 4 5.742818e-09 6.831867e-10 1.408631e-08 
02 4 9.490113e-05 6.436202e-05 4.221784e-05 
03 4 8.069694e-05 6.460774e-05 3.057255e-05 
04 4 7.915880e-05 4.666849e-05 2.477693e-05 
05 4 6.541134e-05 8.355026e-05 4.060856e-05 
06 4 5.453083e-05 3.253156e-05 2.099247e-05 
07 4 7.605223e-05 4.460283e-05 2.682665e-05 
08 4 5.796942e-05 4.736808e-05 2.259951e-05 
09 4 8.408131e-05 5.302839e-05 3.610987e-05 
10 4 6.215283e-05 4.120433e-05 1.668634e-05 
11 4 1.084033e-04 4.918154e-05 2.908902e-05 
12 4 6.017036e-05 3.649569e-05 3.064225e-05 
13 4 6.182070e-05 4.554554e-05 2.421547e-05 
14 4 8.203296e-05 4.341815e-05 2.790388e-05 
15 4 6.468381e-05 7.681700e-05 3.257511e-05 
16 4 8.296434e-05 5.265308e-05 4.198463e-05 
17 4 1.017433e-04 5.546801e-05 3.000129e-05 
18 4 1.795902e-04 6.341333e-05 3.450971e-05 
19 4 5.667977e-05 4.808753e-05 2.794439e-05 
20 4 1.035828e-04 3.887003e-05 2.759579e-05 
21 4 1.395643e-04 5.641440e-05 3.696828e-05 
22 4 7.470809e-05 6.959165e-05 5.303102e-05 
23 4 7.638746e-05 5.383089e-05 4.027067e-05 
24 4 8.655074e-05 6.115718e-05 3.928466e-05 
25 4 6.694960e-05 4.899471e-05 3.627693e-05 
26 4 8.494896e-05 3.844604e-05 3.976666e-05 
27 4 7.465227e-05 6.523865e-05 2.946480e-05 
28 4 8.513064e-05 5.231122e-05 3.596096e-05 
29 4 1.702266e-04 4.697388e-05 3.126158e-05 
30 4 9.395350e-05 6.666559e-05 4.259466e-05 
31 4 2.847097e-03 9.601217e-05 4.559595e-05 
32 4 1.378856e-04 9.191505e-05 6.867069e-05 
01 5 1.622847e-04 7.092195e-05 5.103633e-05 
02 5 1.131199e-04 5.926061e-05 4.062749e-05 
03 5 1.536686e-04 7.239704e-05 4.868660e-05 
04 5 7.772277e-05 7.017923e-05 2.807095e-05 
05 5 4.912702e-05 7.247100e-05 8.033080e-04 
06 5 1.002383e-04 7.547196e-05 3.655440e-05 
07 5 1.336691e-05 5.715051e-05 3.581197e-05 
08 5 1.022043e-04 5.085482e-05 3.271257e-05 
09 5 7.549834e-05 4.415351e-05 2.497106e-05 
10 5 6.277860e-05 9.371024e-05 3.609842e-05 
11 5 7.428604e-05 5.660700e-05 3.644320e-05 
12 5 1.797504e-04 4.890108e-05 3.574461e-05 
13 5 6.407503e-05 4.287700e-05 3.756218e-05 
14 5 8.647986e-05 4.814819e-05 3.348736e-05 
15 5 1.132827e-04 8.216834e-05 5.441007e-05 
16 5 3.244742e-03 6.400840e-05 4.238192e-05 
17 5 1.067238e-04 4.788080e-05 3.155548e-05 
18 5 1.058678e-04 5.614553e-05 3.016360e-05 
19 5 1.344585e-04 5.478315e-05 2.897736e-05 
20 5 1.046313e-04 6.110550e-05 2.749917e-05 
21 5 7.586392e-05 4.735503e-05 3.457014e-05 
22 5 1.362724e-04 4.342291e-05 4.446956e-05 
23 5 8.919436e-05 4.852599e-05 2.706918e-05 
24 5 8.466538e-05 4.079282e-05 2.641007e-05 
25 5 6.755809e-05 6.803820e-05 3.456707e-05 
26 5 5.275378e-05 6.583148e-05 3.135973e-05 
27 5 5.342120e-05 6.258004e-05 3.266730e-05 
28 5 1.544032e-04 6.490882e-05 5.642777e-05 
29 5 6.408839e-05 5.378908e-05 3.005490e-05 
30 5 6.397972e-05 3.826524e-05 3.155689e-05 
31 5 6.738644e-05 5.316180e-05 3.266876e-05 
32 5 2.574016e-04 1.905133e-04 1.388596e-04 
01 6 8.408285e-05 4.921763e-05 3.335997e-05 
02 6 8.219823e-05 6.387125e-05 3.093407e-05 
03 6 8.093778e-05 2.955836e-03 3.429431e-05 
04 6 8.761746e-05 5.394392e-05 3.330666e-05 
05 6 6.478340e-05 5.363614e-05 2.460039e-05 
06 6 9.016337e-05 6.031618e-05 2.484772e-05 
07 6 8.969205e-05 5.228798e-05 3.141689e-05 
08 6 6.820332e-05 8.708432e-05 3.768464e-05 
09 6 5.638786e-05 4.718080e-05 3.799844e-05 
10 6 1.695054e-04 5.897045e-05 3.433560e-05 
11 6 8.799273e-05 4.951240e-05 3.214161e-05 
12 6 8.360934e-05 5.651291e-05 3.554560e-05 
13 6 7.946998e-05 2.359250e-03 3.065984e-05 
14 6 9.135237e-05 5.047288e-05 2.849807e-05 
15 6 1.195352e-04 2.911450e-03 4.186799e-05 
16 6 8.302726e-05 7.829990e-05 4.552267e-05 
17 6 1.531439e-04 5.580594e-05 4.653476e-05 
18 6 8.544305e-05 4.207017e-05 5.005665e-05 
19 6 9.477703e-05 4.301482e-05 3.650442e-05 
20 6 8.759781e-05 3.897907e-05 2.874173e-05 
21 6 6.724160e-05 7.497386e-05 3.950669e-05 
22 6 1.261601e-03 9.073127e-05 2.901258e-05 
23 6 8.054046e-05 6.052371e-05 3.351438e-05 
24 6 2.118102e-03 5.177845e-05 3.688369e-05 
25 6 7.135618e-05 4.900782e-05 3.575960e-05 
26 6 6.672664e-05 4.448820e-05 3.337990e-05 
27 6 7.639998e-05 5.538133e-05 2.951875e-05 
28 6 8.852796e-05 4.534754e-05 3.418150e-05 
29 6 8.148534e-05 5.109669e-05 3.536018e-05 
30 6 1.166286e-04 5.715725e-05 2.704892e-05 
31 6 7.348637e-05 5.217194e-05 3.632482e-05 
32 6 2.266998e-04 1.727494e-04 1.294134e-04 
01 7 5.596477e-05 3.535542e-05 4.274164e-06 
02 7 6.958287e-05 3.022418e-05 6.260386e-06 
03 7 5.449005e-05 3.576135e-05 1.619182e-05 
04 7 7.421447e-05 3.148711e-05 1.729705e-05 
05 7 4.767379e-05 2.703889e-05 1.955933e-05 
06 7 7.187985e-05 4.453965e-05 2.572474e-05 
07 7 7.431500e-05 3.494429e-05 1.116293e-05 
08 7 4.595541e-05 2.707799e-05 1.244729e-05 
09 7 7.174159e-05 5.152233e-05 2.523674e-05 
10 7 6.162369e-05 3.679411e-05 2.525389e-05 
11 7 5.549788e-05 5.062088e-05 1.970523e-05 
12 7 7.093855e-05 6.311826e-05 3.309191e-05 
13 7 5.943222e-05 4.894459e-05 3.469926e-05 
14 7 1.419473e-04 6.904225e-05 5.377987e-05 
15 7 1.240797e-04 6.158152e-05 5.896155e-05 
16 7 1.393121e-04 1.066681e-04 7.811993e-05 
17 7 1.331911e-04 6.156452e-05 6.628944e-05 
18 7 1.081897e-04 5.493691e-05 4.583891e-05 
19 7 1.217825e-04 5.120151e-05 3.358531e-05 
20 7 1.374275e-04 1.038385e-04 4.060962e-05 
21 7 1.150204e-04 6.415209e-05 5.391226e-05 
22 7 1.006823e-04 5.494731e-05 3.894820e-05 
23 7 8.216735e-05 8.083547e-05 3.496875e-05 
24 7 1.347580e-04 6.573010e-05 3.661861e-05 
25 7 9.138640e-05 5.335473e-05 3.097565e-05 
26 7 7.775370e-05 4.688799e-05 4.204166e-05 
27 7 9.113202e-05 6.993638e-05 5.423763e-05 
28 7 1.177967e-04 4.766060e-05 4.724388e-05 
29 7 6.173043e-05 4.736287e-05 2.825193e-05 
30 7 7.138276e-05 5.694193e-05 3.787943e-05 
31 7 7.633422e-05 5.523448e-05 3.789368e-05 
32 7 9.867324e-05 6.095282e-05 4.203175e-05 
01 8 4.845016e-05 1.310470e-05 7.631083e-10 
02 8 4.454542e-05 2.188173e-05 3.922422e-11 
03 8 4.560434e-05 1.774160e-05 4.992594e-09 
04 8 4.929999e-05 3.741354e-05 2.123456e-08 
05 8 4.576445e-05 3.631757e-05 1.391843e-05 
06 8 5.544655e-05 1.781468e-05 1.762378e-06 
07 8 4.976330e-05 2.427257e-05 6.439697e-06 
08 8 4.473704e-05 3.144620e-05 4.713564e-06 
09 8 1.424863e-04 2.611461e-05 1.324844e-05 
10 8 4.779949e-05 3.618619e-05 1.793382e-05 
11 8 5.082510e-05 2.181450e-05 6.582503e-09 
12 8 5.717855e-05 3.526178e-05 2.103060e-05 
13 8 8.278821e-05 3.818166e-05 1.480678e-05 
14 8 1.127748e-04 4.368603e-05 5.210354e-05 
15 8 8.746144e-05 6.617568e-05 3.812406e-05 
16 8 8.284352e-05 7.002690e-05 4.416098e-05 
17 8 7.122455e-05 6.226419e-05 2.817118e-05 
18 8 8.223710e-05 4.990827e-05 3.428618e-05 
19 8 6.470777e-05 4.221071e-05 2.937274e-05 
20 8 9.148624e-05 5.282803e-05 3.173135e-05 
21 8 7.706008e-05 3.474692e-05 3.521454e-05 
22 8 5.427593e-05 4.887680e-05 2.589282e-05 
23 8 7.357115e-05 4.482960e-05 3.165388e-05 
24 8 6.053089e-05 8.418516e-05 2.255589e-05 
25 8 5.788109e-05 3.149396e-05 1.498136e-05 
26 8 7.613378e-05 4.545129e-05 2.515391e-05 
27 8 7.860394e-05 4.807042e-05 3.693834e-05 
28 8 7.980198e-05 6.095790e-05 4.259939e-05 
29 8 7.229509e-05 3.642271e-05 2.246102e-05 
30 8 1.079703e-04 4.695885e-05 6.977816e-05 
31 8 5.490328e-05 4.534273e-05 3.415291e-05 
32 8 7.795261e-05 8.158750e-06 1.347792e-08 
