R  C tau40        tau50        tau60        
01 4 5.742818e-09 6.831867e-10 1.408631e-08 
02 4 9.490113e-05 6.436202e-05 4.221784e-05 
03 4 8.069694e-05 6.460774e-05 3.057255e-05 
04 4 7.915880e-05 4.666849e-05 2.477693e-05 
05 4 6.541134e-05 8.355026e-05 4.060856e-05 
06 4 5.453083e-05 3.253156e-05 2.099247e-05 
07 4 7.605223e-05 4.460283e-05 2.682665e-05 
08 4 5.796942e-05 4.736808e-05 2.259951e-05 
09 4 8.408131e-05 5.302839e-05 3.610987e-05 
10 4 6.215283e-05 4.120433e-05 1.668634e-05 
11 4 1.084033e-04 4.918154e-05 2.908902e-05 
12 4 6.017036e-05 3.649569e-05 3.064225e-05 
13 4 6.182070e-05 4.554554e-05 2.421547e-05 
14 4 8.203296e-05 4.341815e-05 2.790388e-05 
15 4 6.468381e-05 7.681700e-05 3.257511e-05 
16 4 8.296434e-05 5.265308e-05 4.198463e-05 
17 4 1.017433e-04 5.546801e-05 3.000129e-05 
18 4 1.795902e-04 6.341333e-05 3.450971e-05 
19 4 5.667977e-05 4.808753e-05 2.794439e-05 
20 4 1.035828e-04 3.887003e-05 2.759579e-05 
21 4 1.395643e-04 5.641440e-05 3.696828e-05 
22 4 7.470809e-05 6.959165e-05 5.303102e-05 
23 4 7.638746e-05 5.383089e-05 4.027067e-05 
24 4 8.655074e-05 6.115718e-05 3.928466e-05 
25 4 6.694960e-05 4.899471e-05 3.627693e-05 
26 4 8.494896e-05 3.844604e-05 3.976666e-05 
27 4 7.465227e-05 6.523865e-05 2.946480e-05 
28 4 8.513064e-05 5.231122e-05 3.596096e-05 
29 4 1.702266e-04 4.697388e-05 3.126158e-05 
30 4 9.395350e-05 6.666559e-05 4.259466e-05 
31 4 2.847097e-03 9.601217e-05 4.559595e-05 
32 4 1.378856e-04 9.191505e-05 6.867069e-05 
