x            teff         teff_err     
5.228019e+02 8.837402e+00 9.698330e-02 
4.582103e+02 8.923452e+00 1.090731e-01 
5.512212e+02 8.830605e+00 8.738237e-02 
7.918627e+02 8.642155e+00 5.177352e-02 
1.282960e+03 8.057392e+00 2.847037e-02 
1.658061e+03 7.648055e+00 1.986002e-02 
1.861259e+03 7.413791e+00 1.645360e-02 
2.018373e+03 7.211945e+00 1.441134e-02 
2.241298e+03 6.994239e+00 1.365528e-02 
2.423527e+03 6.775889e+00 1.216622e-02 
2.540689e+03 6.636788e+00 1.249788e-02 
2.643966e+03 6.604898e+00 1.277562e-02 
2.688194e+03 6.470494e+00 1.365323e-02 
2.785080e+03 6.470257e+00 2.020935e-02 
2.833575e+03 6.202848e+00 1.685269e-02 
2.915027e+03 6.241289e+00 1.349961e-02 
2.984982e+03 6.098031e+00 1.375605e-02 
3.025420e+03 6.095843e+00 1.470988e-02 
3.059772e+03 6.123250e+00 1.205755e-02 
3.100287e+03 6.081047e+00 1.360264e-02 
3.089243e+03 6.059100e+00 1.535410e-02 
3.079083e+03 6.116686e+00 2.255617e-02 
3.086167e+03 5.981446e+00 1.479307e-02 
3.066107e+03 6.107320e+00 1.666885e-02 
3.095402e+03 6.078079e+00 1.831018e-02 
3.093059e+03 6.034243e+00 1.703346e-02 
3.116515e+03 6.163124e+00 2.471798e-02 
3.110606e+03 6.018350e+00 1.111413e-02 
3.137235e+03 6.003303e+00 2.071087e-02 
3.153106e+03 5.996475e+00 1.286523e-02 
3.205476e+03 5.918212e+00 1.333749e-02 
3.312138e+03 5.873300e+00 1.591767e-02 
3.354369e+03 5.775164e+00 1.529735e-02 
